Key,Spanish
resource.hop,Lúpulo
resource.rye,Centeno
resource.steel,Acero
resource.meat,Carne
resource.sweden,Colinabo
resource.herb,Hierbas
resource.producted_store,"En los <hint=hint_building_stores>almacenes</hint> de producción, hay ahora mismo: {count} (el número gris junto al icono)"
resource.on_fields_now,Madurando en los campos: {count} (el número gris junto al icono)
resource.caravan_cost,La Caravana Sagrada vende este recurso por <hint=hint_resource_gold>{cost_buy}</hint> y lo compra por <hint=hint_resource_gold>{cost_sell}</hint>.
screen_ui.day,Día {day}
statistics.for_5_days,Durante 5 días
statistics.for_today,Hoy
statistics.for_yesterday,Ayer
time.hours,{hours} h
time.minutes,{minutes} min
work.melter,Fundidor
work.alchemist,Alquimista
work.miller,Molinero
work.pig_farmer,Porquero
work.armorsmith,Forja de armaduras
work.barman,Tabernero
work.drug_dealer,Traficante de drogas
work.brewer,Cervecero
work.builder,Constructor
work.caravaneer,Caravanero
work.carpenter,Carpintero
work.coal_furnace,Carbonero
work.farmer,Granjero
work.herbalist,Herbolario
work.inspector,Inspector
work.jobless,Desempleado
work.miner,Minero
work.paper_factory,Fabricante de papel
work.patrol,Patrulla
work.priest,Sacerdote
work.salesman,Mercader
work.servant,Sirviente
work.weaponsmith,Herrero
work.woodcutter,Leñador
work.clerk,Funcionario
work.gallows_inspector,Inspector de patíbulos
work.chancellery_inspector,Canciller
work.trainer,Entrenador
social_class.dummy,Campesino
actor.loyalty_change_reason.happy,Buen humor
actor.loyalty_change_reason.unhappy,Mal humor
actor.loyalty_change_reason.satisfied,Humor normal
actor.loyalty_change_reason.gift,Ha recibido una recompensa
actor.loyalty_change_reason.threat,Ha recibido amenazas
actor.loyalty_change_reason.bribe,Ha recibido un soborno
actor.loyalty_change_reason.terror,Terror
actor.loyalty_change_reason.donate,Obligado a dar anillos
actor.loyalty_change_reason.bad_relation_to_king,Malas relaciones con el monarca
actor.loyalty_change_reason.good_relation_to_king,Buenas relaciones con el monarca
actor.loyalty_change_reason.seduced,Seducido
actor.loyalty_change_reason.seduce_task,Forzado a seducir
actor.loyalty_change_reason.seduced_me,Me han seducido
actor.loyalty_change_reason.bad_day,Mal día
battle_squad.no_orders,Sin órdenes
battle_squad.caption,Escuadra de {commander_name}
battle_squad.bandits_squad,Escuadra de bandidos
battle_squad.average_mood,Humor medio
battle_squad.average_skill,Habilidad media
battle_squad.equipment,Equipo
battle_squad.on_legs,Sigue en pie
knowledge.title,Conocimiento
knowledge.title_second,Y sus propietarios
knowledge.technology,Tecnologías
knowledge.dogmas,Dogmas
knowledge.holders,POSEEDORES DE CONOCIMIENTO
knowledge.usual,Tecnología ordinaria
knowledge.advanced,Tecnología avanzada
knowledge.ultra,Tecnología ultra
knowledge.study,Aprender
knowledge.write,Escribir
knowledge.rewrite,Reescribir
knowledge.book.good_info,Estudiándose en el menú de conocimiento
knowledge.book.need_level,"Para estudiar, se recomienda al menos nivel {level} de <hint=hint_skill_knowledge>Inteligencia</hint>."
knowledge.book.dialect,<b>El libro está escrito en {dialect}</b>.
knowledge.book.dialect_speakers,Hablantes del idioma: {speakers}
menu.knowledge.interaction,INTERACCIÓN
menu.knowledge.empty_menu,"No hay conocimiento para la interacción.
Puede adquirirse de un mercader."
menu.knowledge.actor,PERSONAJE
menu.knowledge.no_knowledge,Sin conocimiento
menu.knowledge.level,(nv. {lvl})
tech.building,{building_name}
tech.building_2,{building_name} y {building_name_2}
tech.building_resource,{building_name} y {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: mejora
tech.efficiency,{building_name}: eficiencia
tech.soil,Fertilización de campos eficiente
tech.wood,Tala eficiente
tech.survive,Cuidado de plantas
tech.pigfarm,Alimentación adecuada de cerdos
tech.repair,{building_name}. Reparaciones económicas.
tech.save.res,{building_name}. Ahorro de recursos.
tech.no.break,{building_name}. Funcionamiento sin averías.
tech.no.fire,{building_name}. Medidas antiincendio.
tech.no.trauma,{building_name}. Medidas de seguridad.
tech.fast.building,Construcción rápida
tech.fast.build.less.wood,Madera. Construcción económica.
tech.fast.build.less.iron,Hierro. Construcción económica.
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Trampas disuasorias
tech.loyalist_more,Fundamentos de la lealtad
tech.preach_better,Prédica efectiva
tech.slaves_happiness,Felicidad de los prisioneros
tech.tanya_paper,Papel tanaya
tech.crevav_swede,Estofado de colinabo
tech.drought_fight,Combatir la sequía
tech.longevity,Longevidad
tech.addiction_resist,Cómo tratar la adicción
tech.fanatic_pretend,Fanatismo falso
tech.marah_ale,Ale makha
tech.right_nectar,El néctar adecuado
tech.fertilize_cost_less,Fertilización correcta
tech.tree_more_wood,Tala correcta
tech.better_meat,Cocinar carne
tech.flirt_art,El arte del flirteo
tech.voruns_moonshine,Licor varn
tech.dialect,Diccionario de {dialect_name}
tech.cutter,Decapitador
tech.axe_mastery,Dominio del hacha
tech.handfighter,Combate cuerpo a cuerpo
tech.tanya_shield,Escudos tanaya
tech.bow_mastery,Dominio de las cuerdas de arco
tech.mace_stun,Aturdimiento con la maza
tech.heavy_armor_wear,Llevar armadura
tech.polite_trade,Comercio educado
tech.sin_mind_reducer,Cómo evitar preocuparse por los pecados
tech.tome,Vol. {number}
tech.common_good,El bien común
tech.joy_of_education,La alegría de la revelación
dialect.common,Idioma imperial
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Signo equipado
decor.bonfire,Hoguera
decor.sign,Signo
decor.sign_with_scull,Signo de calavera
decor.stone,Piedra
decor.pile_of_skulls,Montón de huesos
decor.bush_1,Arbusto 1
decor.bush_2,Arbusto 2
decor.bush_3,Arbusto 3
decor.floor_remove,Eliminar camino
decor.sub.statue,Estatuas
decor.sub.torch,Iluminación
decor.sub.floor,Suelos
decor.sub.other,Otro
decor.sub.trees,Plantas
decor.banner,Estandarte
decor.statue,Estatua
decor.floor_1,Piedra clara
decor.floor_2,Piedra oscura
decor.floor_3,Madera clara
decor.floor_4,Madera oscura
decor.stone_arch,Arco de piedra
decor.torch,Antorcha
decor.plant,Planta
decor.bag,Saco
decor.box,Caja
decor.barrel,Barril
restrictions.activity.beer,Consumo de alcohol
restrictions.activity.nectar,Consumo de néctar
restrictions.activity.dice,Partida de dados
restrictions.activity.weapon,Manejo de armas
restrictions.activity.armor,Vestir armadura
restrictions.eat.meat,Consumo de carne
actor.hint.slave.age,Edad: {age} años
actor.hint.slave.past,Pasado:
actor.culture,Cultura: {culture}
actor.hint.slave.combat_skill,Habilidad Combate: {skill}
actor.hint.slave.traums,Lesiones:
actor.hint.slave.will_to_be_free,Anhelo de libertad
building.chancellery.need_charge,"Para que la cancillería empiece a funcionar, tienes que suministrarle papel."
building.chancellery.charging,Los trabajadores están transportando el papel.
building.chancellery.charged,"La cancillería está funcionando.
El papel durará {day} d."
building.chacnellery.charge_abort,Cancelar carga de papel
building.chacnellery.charge,Carga con papel
inspection.hint.today,Se ha inspeccionado hoy
inspection.hint.yesterday,Se inspeccionó ayer
inspection.hint.not,No se ha inspeccionado
inspection.closest_time,Las inspecciones acabarán en {day} d {hour} h.
inspection.time,{day} d {hour} h
inspection.remain_hours,{hour} h
actor.loyalty.log,Cambio de lealtad
menu.peoples.advice,Consejos:
menu.sodliers.lack_of_equipment,Falta de equipo:
menu.migration.terror,La <hint=hint_migration>inmigración</hint> <red>se ha detenido</red> mientras el <hint=hint_terror_peasants>terror</hint> <red>reina</red> en la ciudad.
menu.migration.one_village_burned,La <hint=hint_migration>inmigración</hint> <red>se ha reducido</red> ya que un pueblo de la provincia ha quedado arrasado. El pueblo se recuperará en unos días.
menu.migration.all_village_burned,La <hint=hint_migration>inmigración</hint> <red>se ha detenido</red> ya que todos los pueblos de la provincia han quedado arrasados. Los pueblos se recuperarán en unos días.
menu.migration,$ <hint=hint_migration>Inmigrantes</hint> esperados hoy: {peasant_migrants_today}
menu.migration.increased,<green>La inmigración ha aumentado</green>. El efecto durará {days} d más.
menu.migration.decreased,<red>La inmigración se ha reducido</red>. El efecto durará {days} d más.
actor.hint.no_sins,Sin pecados
social_strata.dummy,Campesinos
social_strata.slaves,Prisioneros
social_strata.soldiers,Guerreros
social_strata.lords,Señores
social_strata.animal,Animal
building.social_availability,DISPONIBLE PARA
building.market_good_not_sell,NO VENDER
menu.trade.slave_final_cost,Precio final
menu.trade.slave_base_cost,Precio base
menu.trade.slave_fertility_cost,Fertilidad
menu.trade.slave_free_mind_cost,Doesn't miss loved ones
menu.trade.slave_combat_cost,Habilidades de combate
menu.trade.slave_age_cost,Edad
menu.trade.slave_disability_cost,Discapacidad
menu.trade.slave_slowdown_cost,Ralentizado
menu.trade.slave_faction_cost,Multiplicador
actor.matching.agree_to_sex,{lord_name} aceptará tener una cita con este señor.
actor.part_of_nature.heir,Heredero
actor.part_of_nature.commander,Comandante
actor.part_of_nature.queen,Cónyuge del gobernante
actor.name.hired_bandits,Criminal a sueldo
actor.personality_trait_locked,Sin descubrir. Sube la habilidad {skill_name} a nivel 15 para desbloquear este rasgo.
king_role.strong_supporter,Partidario del poder
king_role.trader,Materialista
king_role.religious,Religioso
king_role.order_supporter,Defensor del orden
king_role.suggestable,Influenciable
king_role.liberator,Liberador
king_role.lick,Igualitario
king_role.intriguant,Intrigante
king_role.scientist,Sabio
menu.missing_equipment.no_problems,Sin problemas
actor.deep_social.evil_joke,Burla
actor.deep_social.good_joke,Chiste
actor.deep_social.deep_talk,Conversación sincera
actor.deep_social.abuse,Insulto
actor.deep_social.slight,Ignorar
actor.deep_social.intrigue,Intriga
actor.deep_social.flattery,Adulación
actor.deep_social.sorry,Disculpa
actor.deep_social.rumors,Rumores
actor.inspection_queue,Cola de inspección
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} residentes en la ciudad
knowledge.blocked_reason.knowledge_required,Se ha desbloqueado {knowledge_name}.
knowledge.blocked_reason.building_required,"Edificio ""{building_name}"" construido."
knowledge.blocked_reason.play_days,La ciudad lleva existiendo {days} días.
knowledge.blocked_reason.no,Se cumplen las condiciones.
ceremony.wedding,Boda
ceremony.funeral,Funeral
ceremony.coronation,Coronación
menu.choose_province.climate,Clima:
menu.choose_province.safety,Seguridad:
menu.choose_province.forest,Bosque:
menu.choose_province.villages,Pueblos:
menu.choose_province.resources,Recursos:
menu.choose_province.moderate,Medio
menu.choose_province.many,Mucho
menu.choose_province.high,Alto
menu.playtest.welcome_caption,¡Te damos la bienvenida!
menu.demo.welcome,"¡Te damos la bienvenida!

Esta demo muestra el juego al completo, aunque limitado a {demo_days_count} días en el juego.

Hay muchas cosas que aún estamos implementando, así que te pedimos disculpas por cualquier problema que puedas encontrarte.

<right>Gracias.
El equipo de Long Jaunt</right>"
menu.demo.alpha,"<b>Acceso anticipado</b>

Muchos aspectos del juego, como:

$ algunos idiomas,
$ posibles bugs,
$ optimización,
$ etc.

están aún por terminar y serán mejorados."
menu.playtest.welcome,"Gracias por aceptar nuestra invitación a jugar a la versión de prueba de Norland.

El juego todavía se cuelga de vez en cuando, contiene errores y las interfaces están sin actualizar, pero funcionalmente esta es la versión que queremos publicar en el acceso anticipado.

Te rogamos que te tomes dos minutos para <b>dejarnos tus comentarios</b> al final de la partida (botón en el menú principal).

Esta versión tiene un límite de {demo_days_count} días de juego.

<right>Gracias.
El equipo de Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Prueba beta
menu.story,"Norland, año 2898 desde la creación del mundo.

Han transcurrido doscientos años desde que el gran <b>Imperio Carmesí</b> fue pasto de las llamas de la guerra religiosa. Sus antiguas provincias se han convertido en reinos bárbaros, cuya destrucción mutua solo impide la todopoderosa <b>Iglesia de la Madre Sophia</b>.

Mientras los santos profetas hablan de un fin del mundo inminente, en uno de los pequeños reinos, el sueño del nacimiento de un nuevo imperio está tomando forma..."
menu.new_game_story,"Tras un largo y agotador viaje, {soul_uuid_king} llegó a casa, esperando ver a su mujer esperándolo en las puertas del salón. Sin embargo, en su lugar, su hermano se acercó a él. La expresión de su rostro no presagiaba nada bueno.

""Mi rey, no te traigo noticias alegres"".
""¿Qué ha pasado, {soul_uuid_brother}? No te demores, dime la verdad"".
Incapaz de mirar al rey a los ojos, {soul_uuid_brother} tartamudeó al empezar a hablar:
""Los bandidos nos atacaron anoche. Intentamos defendernos, pero había demasiados. Han raptado a tu mujer y ahora exigen un rescate"".
""¡Pues ordena a un mensajero que entregue lo que sea que piden!"".
""Pero, mi rey, estamos rodeados de enemigos. Aunque de momento nos encontramos bajo la protección del vasallaje, sabes que el viejo rey tiene los días contados. Si no contamos con suficiente oro y recursos, no podremos aguantar. Necesitamos un ejército"".
""¿Qué me quieres decir, que abandonemos a {soul_uuid_wife} a su suerte?"".
""Mientras tengan esperanzas de recibir el rescate, no le harán daño"".
""Necesito tiempo para pensarlo. Vete y espera mis instrucciones""."
menu.new_game_story_header,El principio de la historia
menu.demo.finish.header,Fin de la historia
menu.demo.finish,"La demo de Norland acaba aquí...

Puedes probar a jugar con una configuración inicial más difícil o con unas habilidades diferentes.

¡Gracias por jugar!"
menu.demo.finish.back_to_menu,Volver al menú
menu.settings.change_resolution.apply.header,Cambiar la configuración
menu.settings.change_resolution.apply.body,"La configuración de la resolución de pantalla ha cambiado.
Para aplicar estos cambios, pulsa ""{accept_button_caption}""; en caso contrario, los cambios se cancelarán en {time_remain_seconds} segundos."
menu.hack_detected.header,Se ha detectado una modificación en la partida guardada
menu.hack_detected,"No podemos garantizar el correcto funcionamiento del juego tras efectuar modificaciones de terceros en las partidas guardadas.

Recibimos los informes de errores, pero no podemos determinar con certeza si el error ocurrió debido a un fallo del juego o a la interferencia de terceros con los ficheros.

Esto nos obliga a invertir tiempo en buscar errores inexistentes, en lugar de corregir los que sí existen, lo que afecta negativamente a la calidad del juego.

Debido a esto, nos vemos en la tesitura de prohibir la modificación de partidas guardadas hasta el lanzamiento del juego."
resource.not_available.by_synod,Mejora tu <hint=hint_relations_matriarch>relación con la matriarca</hint> hasta {number} para que la Caravana Sagrada empiece a venderte este producto.
text.preposition,o
menu.ambition.screen_title,Ambiciones del monarca
menu.ambition.text,El monarca decide que es el momento de anunciar las ambiciones que determinarán el futuro de tu familia noble.
ambition.conquer,Conquistar
ambition.allias,Formar alianzas
ambition.populate_city,Fundar una ciudad
ambition.gain_population,Aumentar la población
ambition.produce_goods,Producir recursos
menu.ambition.complete_title,¡Ambiciones conseguidas!
menu.ambition.complete,"¡Tu monarca ha conseguido sus objetivos, y ahora todos lo conocen como {soul_uuid_1} <b>{name}</b>!

Sin embargo, la ambición de los monarcas no conoce límites, y pronto su mente se verá invadida por otras..."
ambtion.button.ok,Aceptar
ambition.checkbox.conquer,<b>Conquistador</b>. El poder lleva a la prosperidad de la dinastía. Añade <b>{vas_num} vasallos o aliados</b> a tu estado.
ambition.checkbox.allias,<b>Unificador</b>. Solo con la colaboración mutua podemos ser fuertes. Expande tu alianza de ciudades libres a <b>{all_num} provincias</b>.
ambition.checkbox.populate_city,Sobre fundar ciudades
ambition.checkbox.gain_population,"<b>Fértil</b>. Cuanta más población haya, más fuertes seremos. Aumenta la población de la provincia en <b>{pop_num} personas</b>."
ambition.checkbox.produce_goods,<b>Economista</b>. La economía lo decide todo. Consigue una <b>producción diaria</b> de mercancías con un valor de <b><hint=hint_resource_gold>{prod_num}</hint></b> (ahora <hint=hint_resource_gold>{now}</hint>).
menu.battle.auto_battle,Batalla automática
menu.battle.retreat,"Tu ejército se retirará de la batalla. Esto se considera una derrota y afectará mucho al humor de los guerreros, pero salvarán la vida."
menu.battle.manually_battle,Batalla en el mapa
ambition.title.conquer,Espada afilada
ambition.title.allias,Puño de hierro
ambition.title.gain_population,Gran nido
ambition.title.produce_goods,Libro de graneros
ambition.resume,Continuar con la ambición previa
menu.resource_statistics.legend.title,Significado de las estadísticas
menu.resource_statistics.legend.in_store,Cuál era la cantidad de recursos en el almacén de la ciudad.
menu.resource_statistics.legend.production,Cuántos recursos se han producido en un día laboral.
menu.resource_statistics.legend.used,"Cuántos recursos se han gastado en producir otros recursos y construir edificios, y en el caso de la comida y el alcohol, cuánto han consumido señores y esclavos."
menu.resource_statistics.legend.in_use,Cuántos recursos quedan en los almacenes de los edificios de producción y en el inventario de los guerreros.
menu.resource_statistics.legend.in_local_market,"Cuánto se ha vendido hoy en los mercados, tabernas y antros locales."
menu.resource_statistics.legend.caravan,Los resultados de comerciar con la Caravana Sagrada
menu.resource_statistics.header.in_store,Almacenados
menu.resource_statistics.header.production,Producción
menu.resource_statistics.header.used,Usados
menu.resource_statistics.header.in_use,En los almacenes de los edificios y guerreros
menu.resource_statistics.header.in_local_market,Mercado local
menu.resource_statistics.header.caravan,Comercio con la Caravana Sagrada
menu.resource_statistics.no_data,Las estadísticas aparecerán mañana
study.complex,Entrenamiento general
soul.tab.logs,HISTORIA
tech.war_logistic,"Logística militar, vol. {vol}"
tech.prisoners,Cautivos
building.menu.lvl,Nv. {lvl}
building.menu.resources,ALMACENAMIENTO
building.menu.workers_road_time,TIEMPO DE VIAJE
building.menu.to_workplace,Al lugar de trabajo:
building.menu.to_warehouse,Al almacén:
building.menu.priority,Prioridad
building.menu.produced,PRODUCIDO
building.menu.workers_bonus,Bonificación de los trabajadores:
building.menu.manager_bonus,Bonificación del gestor:
building.menu.workers,TRABAJADORES
building.menu.instructions,INSTRUCCIONES
building.menu.set_inspector,Nombrar gestor
"building.menu,inspection_bonus",Bonificación:
building.menu.builld_first,Construir esto antes
building.menu.upgrade,Mejorar
building.menu.ship_now,"Enviar las mercancías
producidas ya"
options_menu.audio.voice_volume,VOLUMEN: VOCES
building.prefer.noone,Sin prioridad
building.prefer.nectar,Adicto al néctar
building.prefer.slaves,Prisioneros
building.prefer.loyalist,Fieles al régimen
building.prefer.culture,{culture}
building.prefer.all,Automáticamente
display_event.communication_lost,{faction_name}: comunicación perdida
building.menu.terror_all,Todo {count}
building.menu.terror_no,No
building.menu.terror_culture,{culture} {count}
building.menu.execution,EJECUCIÓN
building.menu.terror,Terror
building.menu.daily_statistic,ESTADÍSTICAS DIARIAS
building.menu.intimidations,Intimidaciones
building.menu.path_calculation,Calculando
building.menu.path_cant_find,No se ha encontrado
time.hour_minut,{hour} h {minut} min
time.minut,{minut} min
actor.social_strata.dummy,Plebeyo
notification.sex_treason_with_dummy,{name_initiator} engaña a su cónyuge con alguien de clase baja.
building.menu.building_resources,RECURSOS DEL EDIFICIO
chancellery.inspection_bonus,La bonificación de producción proveniente de las inspecciones es equivalente al nivel de la habilidad Gestión del señor al cargo de la cancillería: {bonus} %.
menu.army.new_army.warriors_count,{warriors_count} guerreros
menu.army.new_army.weapons_count,{weapons_count} armas
tech.poisoner,Secretos de venenos
menu.building.church.morning_service_stat,ESTADÍSTICAS DEL ÚLTIMO SERMÓN
menu.building.church.gathering_time,Tiempo de reunión:
menu.building.church.congregation,Congregación:
menu.building.church.sermons,SERMONES
menu.buidling.church.fanatics,Fanáticos: +{count}
menu.buidling.church.agnostics,Agnósticos: +{count}
building.menu.workplace.clerks,FUNCIONARIOS
building.menu.refill_auto,Rellenar automáticamente
building.menu.inspections_delivered,Instrucciones dadas: {count}
building.menu.living.residents,RESIDENTES({current}/{max})
building.menu.sold_today,VENDIDO HOY
building.menu.guards,GUARDIAS
family.son_of,Hijo de
family.daughter_of,Hija de
display_event.mountains_bandits_prepare_to_attack,Los saqueadores se están preparando para atacar tu ciudad.
actor.mood,Humor
building.description.library,Aquí los señores trabajan con el conocimiento.
building.description.decor,Agradable a la vista
building.description.altar,Lugar de ceremonias e incineraciones
building.menu.crimes_prevented,Crímenes evitados
norland.plot_day_4_header,El nuevo imperio
norland.plot_day_4_body,"La civilización desaparece gradualmente. El proceso puede durar siglos y los ciudadanos de a pie no se dan cuenta de nada hasta el mismo final. Pero un gobernante conocedor de la historia debe entender que solo si consigue unir a los reinos en guerra, podrá evitar la llegada del oscurantismo.

Norland se encuentra ahora en una encrucijada. Hace tiempo que la Iglesia es incapaz de lidiar con los distintos desafíos a los que se enfrenta su pueblo. Las guerras, el hambre y la enfermedad son el pan de cada día. Las tecnologías y el conocimiento aún no se han perdido, pero si no se actúa, no tardarán en desaparecer, y con ellos, la civilización se desvanecerá.

Siempre hay esperanza, pero para eso debes:

$ Unir <b>{goal_number}</b> provincias de Norland bajo tu control, ya sea como monarca de un estado vasallo o como líder de una alianza de ciudades libres.
$ Proclamarte nuevo emperador y desafiar a la Inquisición de la Iglesia."
norland.plot.end_game_header,El nuevo imperio: la batalla final
norland.plot.end_game,"""El mapa de Norland se extiende frente a mí. En él hay {goal_number} monarcas que me obedecen y respetan. Es hora de ceñirme la corona del imperio y desafiar a la Iglesia de la Madre Sophia. Cuando la Inquisición se estrelle contra mi ejército, el mundo entero me reconocerá como emperador y la Piedra de la Fe caerá a mis pies. La prueba final aguarda"".

$ Cuando estés listo, proclámate emperador del nuevo imperio (acción de monarca).
$ Derrota a la Santa Inquisición en el campo de batalla para garantizarte el título y gana la partida."
ambitions.province_under_control,"<b>El nuevo imperio</b>
Une a <b>{goal_number}</b> provincias de Norland, ya sea como monarca de un reino vasallo o como líder de una alianza de estados libres.

Provincias bajo control: {under_control} de {total_province}."
display_event.global_map_ai_ask_help,"{king_name}, monarca de {faction_name}, te pide ayuda contra {danger_faction_name}."
display_event.global_map_ai_declare_peace,"{king_name}, monarca de {faction_name}, te propone un tratado de paz."
display_event.global_map_ai_invite_to_alliance,"{king_name}, monarca de {faction_name}, te ofrece unirte a la alianza."
main_menu.continue_without_tutorial,Empezar sin el tutorial
display_event.build_library,Construye una biblioteca
main_menu.warning,¡Atención!
display_event.retrieve_bishop,El obispo abandona la provincia.
display_event.holy_family_below_zero,¡Has perdido el favor de la matriarca!
resource.product_requirement.technology,Estudia la tecnología <b>{technology}</b>.
resource.product_requirement.building,Construye un edificio: <b>{building}</b>.
main_menu.continue_start_tutorial,Empezar con el tutorial
main_menu.new_game.family.members.default,Dos hermanos y una esposa
actor.faction_from,de {town}
new_game.province_difficulty.easy,Fácil
new_game.province_difficulty.normal,Normal
new_game.province_difficulty.hard,Difícil
new_game.province_difficulty.recommended,Recomendado para jugadores principiantes
display_event.loan_will_be_expired_soon,Tienes que devolver el dinero a {faction_name} pronto.
main_menu.new_game.family.recommended_for_newbs,Configuración de habilidades recomendada para una partida equilibrada
new_game.province_difficulty.header,Dificultad:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Las relaciones con los vecinos no se deteriorarán</green>.
building.menu.terror_fanatics,Fanáticos: {count}
global_map.relation_aftermath,$ Relación con los vecinos´: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Relación con {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Consecuencias:</b>
tech.kaiden_army,Ejército kaiden
tech.makha_trade,Comercio makha
tech.makha_fanatic_terror,Terror contra los fanáticos
tech.econom_writing,Escritura rentable
tech.faith_defender,Defensa de la fe
tech.kaiden_training,Entrenamiento kaiden
tech.kaiden_loyalist,Fieles al régimen eternos
tech.makha_secret_deals,Tratos secretos
display_event.holy_protection_will_removed_soon,¡Pronto perderás la protección de la Familia Feliz!
display_event.holy_protection_was_removed,¡Has perdido la protección de la Familia Feliz!
display_event.holy_protection,¡Has perdido la protección de la Familia Feliz!
display_event.swede_typh_allowed,Tifus de colinabo
tutorial_events.disabled,Desactivado
tutorial_events.articles_only,Solo artículos
tutorial_events.articles_and_advices,Artículos y consejos
soul.from_faction,{soul_uuid} de {faction_uuid}
gui.living_place.appoint.header,Población
actor.loyalty_2,Lealtad
actor.important_persons,PERSONAS IMPORTANTES
encyclopedia.popup_window.okay,Entendido
encyclopedia.popup_window.read_full,Siguiente
actor.opinion.interest_simple,Interés
free_lord.first_hire,{first_hire_discount} % de descuento en la primera contratación
menu.knowledge.longer_time,"Debido a sus bajas habilidades de aprendizaje, se tarda más en aprender.

Nivel de conocimiento {tech_level}
Nivel del señor {lord_level}"
menu.knowledge.write_time,Se tardará <b>{learn_time} h</b> en escribir un libro.
menu.knowledge.learn_time,$ Se tardará <b>{learn_time} h</b> en estudiar este libro.
building.patrol_sign_day,Patrulla diurna
tech.slaves_contain,Retener prisioneros
time.days,{days} d
actor.action_task.spent_time_diplomacy,Visita del enviado
display_event.culture_approve,{culture} aprueba las acciones del monarca.
menu.trade.less_tax_for_amy,"*Gracias al conocimiento Defensa de la fe, los impuestos se reducen un {discount} %."
menu.army.tax_for_soldier,"<b>Contratar a este guerrero</b>
$ En función de su habilidad Combate, el <hint=hint_tutorial_church_tax>impuesto de la Iglesia sobre tu ejército</hint> aumentará en <hint=hint_resource_gold>{soldier_tax}</hint>. El impuesto total es ahora de <hint=hint_resource_gold>{overal_tax}</hint> al día."
options_menu.game.camera_speed,VELOCIDAD DE LA CÁMARA
actor.action_task.wise_talk,Conversar sabiamente
display_event.senility_begin,{name}: ¡está sufriendo demencia senil!
display_event.character_loss_skill_trait,"{name}: como resultado de la degradación de la habilidad {skill_name}, el talento {trait_name} se ha perdido."
display_event.character_loss_knowledge,"{name}: como resultado del envejecimiento, ha olvidado {knowledge}."
knowledge.unavailable_knowledge,Conocimiento no disponible
building.menu.mine_resources,RESERVAS
building.menu.mine_mined,Hierro extraído: {mined}/{limit}
display_event.mine.limit_reached,Las reservas de la mina se han agotado.
display_event.mine.limit_soon,La mina se está agotando.
display_event.fetility_loss_from_tree,La fertilidad del suelo ha disminuido.
statistics_menu.province.resources,Recursos de la provincia
statistics_menu.province.trees_cuted,Bosques talados:
statistics_menu.province.ground_fertility,Fertilidad del suelo:
statistics_menu.province.iron_mines,Depósito de hierro
statistics_menu.province.no_mine,La mina no se ha construido:
trade_agreements.header,Acuerdos comerciales
trade_agreements.today_balance,Comercio hoy:
trade_agreements.auto_trade,Comerciar automáticamente
trade_agreements.no_trade_agreements,No tienes contratos comerciales activos.
statistics_menu.province.mine_n,Mina {n}:
statistics_menu.province.not_builded,Sin construir
knowledge.category.economic,Economista
knowledge.category.textbooks,Libros de texto
knowledge.category.cultural_knowledge,Conocimiento cultural
display_event.character_loss_skill,{name}: la habilidad {skill_name} se ha degradado al nivel {level} debido al envejecimiento.
menu.tools.hint.trade_agreements,Comercio
display_event.trade_agreements_result,Informe de comercio exterior
menu.trade.market_saturation.header,Saturación del mercado
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Saturación del mercado</hint>:
menu.trade.market_saturation.price,El impacto de la saturación en el precio:
menu.trade.market_saturation.relaxaction,Consumo diario:
menu.trade.market_saturation.warning,"<red>La oferta ha superado la <hint=hint_market_volume>demanda local</hint>, lo que ha llevado a la saturación del mercado y a una reducción del precio.</red>"
display_event.new_prophecy,Matriarca: nueva profecía
display_event.prophecy_started,¡La profecía se ha hecho realidad! {prophecy}
prophecy.wolf_attack,Invasión de lobos devoradores
prophecy.bandits_capm,Ejército de desertores
prophecy.fields_sick_one,Infección de las cosechas
prophecy.cholera_epidemy,Epidemia de viruela
prophecy.xenophoby,Brote de xenofobia
prophecy.crocks_wave,Invasión de vagabundos
prophecy.fanatics_wave,Fanáticos amarillos
prophecy.fields_sick_all,Días de hambruna
prophecy.tree_bug,Escarabajo de la madera
prophecy.rats_invasion,Invasión de ratas
display_event.prophecy_soon,La profecía se hará realidad pronto: {prophecy}
display_event.prophecy_complete,El desastre ha terminado: {prophecy}
prophecy.matriarch.soon_prophecy_1,"La matriarca predice que dentro de {d1}-{d2} días, tu provincia sufrirá un desastre: <b>{prophecy}</b>."
prophecy.matriarch.soon_prophecy_2,"La matriarca predice que dentro de {d2} días, tu provincia sufrirá un desastre: <b>{prophecy}</b>."
prophecy.matriarch.letter_caption,Profecía
