Key,Czech
knowledge.book.dialect,<b>Kniha je napsána v nářečí {dialect}</b>.
knowledge.book.dialect_speakers,Mluvčí jazyka: {speakers}
menu.knowledge.interaction,INTERAKCE
menu.knowledge.empty_menu,"Na interakci chybí znalosti.
Můžeš je získat od kupce."
menu.knowledge.actor,POSTAVA
menu.knowledge.no_knowledge,Žádné znalosti
menu.knowledge.level,({lvl}. úr.)
tech.building,{building_name}
tech.building_2,{building_name} a {building_name_2}
tech.building_resource,{building_name} a {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: Vylepšení
tech.efficiency,{building_name}: Efektivita
tech.soil,Efektivní hnojení polí
tech.wood,Efektivní kácení stromů
tech.survive,Péče o rostliny
tech.pigfarm,Správné krmení prasat
tech.repair,{building_name}. Hospodárné opravy
tech.save.res,{building_name}. Šetření surovinami
tech.no.break,{building_name}. Práce bez poruch
tech.no.fire,{building_name}. Požární bezpečnostní opatření
tech.no.trauma,{building_name}. Bezpečnostní opatření
tech.fast.building,Rychlá stavba
tech.fast.build.less.wood,Dřevo: hospodárná stavba
tech.fast.build.less.iron,Železo: hospodárná stavba
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Zastrašování tuláků
tech.loyalist_more,Základy věrnosti
tech.preach_better,Efektivní kázání
tech.slaves_happiness,Spokojenost vězňů
tech.tanya_paper,Tanajský papír
tech.crevav_swede,Pečený tuřín
tech.drought_fight,Boj se suchem
tech.longevity,Dlouhověkost
tech.addiction_resist,Boj se závislostí
tech.fanatic_pretend,Falešný fanatismus
tech.marah_ale,Makhský ležák
tech.right_nectar,Správný nektar
tech.fertilize_cost_less,Správné hnojení
tech.tree_more_wood,Správné sekání
tech.better_meat,Vaření masa
tech.flirt_art,Umění flirtu
tech.voruns_moonshine,Varnská pálenka
tech.dialect,Slovník jazyka {dialect_name}
tech.cutter,Sekač hlav
tech.axe_mastery,Zdatnost se sekerou
tech.handfighter,Boj ruky proti ruce
tech.tanya_shield,Tanajské štíty
tech.bow_mastery,Zdatnost s tětivou
tech.mace_stun,Omráčení palcátem
tech.heavy_armor_wear,Nošení zbroje
tech.polite_trade,Slušné obchodování
tech.sin_mind_reducer,Jak si nedělat starosti kvůli hříchům
tech.tome,– {number}. díl
tech.common_good,Obecné blaho
tech.joy_of_education,Radost z osvícení
dialect.common,Říšský jazyk
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Vybavená cedule
decor.bonfire,Táborák
decor.sign,Cedule
decor.sign_with_scull,Cedule s lebkou
decor.stone,Kámen
decor.pile_of_skulls,Hromada lebek
decor.bush_1,Křoví 1
decor.bush_2,Křoví 2
decor.bush_3,Křoví 3
decor.floor_remove,Odstranit cestu
decor.sub.statue,Sochy
decor.sub.torch,Nasvícení
decor.sub.floor,Podlahy
decor.sub.other,Ostatní
decor.sub.trees,Rostliny
decor.banner,Zástava
decor.statue,Socha
decor.floor_1,Světlý kámen
decor.floor_2,Tmavý kámen
decor.floor_3,Světlé dřevo
decor.floor_4,Tmavé dřevo
decor.stone_arch,Kamenný oblouk
decor.torch,Louč
decor.plant,Rostlina
decor.bag,Pytel
decor.box,Bedna
decor.barrel,Sud
restrictions.activity.beer,Spotřeba alkoholu
restrictions.activity.nectar,Spotřeba nektaru
restrictions.activity.dice,Hra v kostky
restrictions.activity.weapon,Používání zbraní
restrictions.activity.armor,Nošení zbroje
restrictions.eat.meat,Spotřeba masa
actor.hint.slave.age,Věk: {age} let
actor.hint.slave.past,Minulost:
actor.culture,Kultura: {culture}
actor.hint.slave.combat_skill,Bojová schopnost: {skill}
actor.hint.slave.traums,Zranění:
actor.hint.slave.will_to_be_free,Touha po svobodě
building.chancellery.need_charge,"Práci v kancléřství zahájíš tak, že zajistíš zásoby papíru"
building.chancellery.charging,Dělníci přenášejí papír
building.chancellery.charged,"Kancléřství pracuje
Papír vydrží na {day} d."
building.chacnellery.charge_abort,Zrušit zásobování papírem
building.chacnellery.charge,Zásobit papírem
inspection.hint.today,Inspekce dnes
inspection.hint.yesterday,Inspekce včera
inspection.hint.not,Bez inspekce
inspection.closest_time,Inspekce začne končit za {day} d. {hour} hod.
inspection.time,{day} d. {hour} hod.
inspection.remain_hours,{hour} hod.
actor.loyalty.log,Změna věrnosti
menu.peoples.advice,Tipy:
menu.sodliers.lack_of_equipment,Nedostatek vybavení:
menu.migration.terror,"<hint=hint_migration>Migrace</hint> <red>ustala</red>, zatímco ve městě <red>vládne</red> <hint=hint_terror_peasants>teror</hint>."
menu.migration.one_village_burned,"<hint=hint_migration>Migrace</hint> <red>se snížila</red>, protože v provincii byla vypálena vesnice. Vesnice bude za pár dní obnovena."
menu.migration.all_village_burned,"<hint=hint_migration>Migrace</hint> <red>se zastavila</red>, protože všechny vesnice v provincii byly vypáleny. Vesnice budou za pár dní obnoveny."
menu.migration,$ Očekávaní <hint=hint_migration>přistěhovalci</hint> dnes: {peasant_migrants_today}
menu.migration.increased,<green>Migrace se zvýšila</green>. Efekt potrvá ještě {days} d.
menu.migration.decreased,<red>Migrace se snížila</red>. Efekt potrvá ještě {days} d.
actor.hint.no_sins,Žádné hříchy
social_strata.dummy,Rolníci
social_strata.slaves,Vězni
social_strata.soldiers,Válečníci
social_strata.lords,Lordi
social_strata.animal,Zvíře
building.social_availability,DOSTUPNÉ PRO
building.market_good_not_sell,NEPRODÁVAT
menu.trade.slave_final_cost,Konečná cena
menu.trade.slave_base_cost,Základní cena
menu.trade.slave_fertility_cost,Plodnost
menu.trade.slave_free_mind_cost,Doesn't miss loved ones
menu.trade.slave_combat_cost,Bojové schopnosti
menu.trade.slave_age_cost,Věk
menu.trade.slave_disability_cost,Postižení
menu.trade.slave_slowdown_cost,Zpomalení
menu.trade.slave_faction_cost,Násobič
actor.matching.agree_to_sex,{lord_name} bude souhlasit se schůzkou s tímto lordem
actor.part_of_nature.heir,Dědic
actor.part_of_nature.commander,Velitel
actor.part_of_nature.queen,Vládcova choť
actor.name.hired_bandits,Najatý hrdlořez
actor.personality_trait_locked,"Nezveřejněno. Tento rys odemkneš, když rozvineš schopnost {skill_name} na 15. úroveň."
king_role.strong_supporter,Podporovatel moci
king_role.trader,Materialista
king_role.religious,Pobožnost
king_role.order_supporter,Obránce řádu
king_role.suggestable,Ovlivnitelnost
king_role.liberator,Osvoboditel
king_role.lick,Rovnostář
king_role.intriguant,Pletichář
king_role.scientist,Mudrc
menu.missing_equipment.no_problems,Žádné problémy
actor.deep_social.evil_joke,Výsměch
actor.deep_social.good_joke,Vtip
actor.deep_social.deep_talk,Upřímný rozhovor
actor.deep_social.abuse,Urážka
actor.deep_social.slight,Ignorace
actor.deep_social.intrigue,Intriky
actor.deep_social.flattery,Lichotka
actor.deep_social.sorry,Omluva
actor.deep_social.rumors,Drby
actor.inspection_queue,Fronta inspekce
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} obyvatel ve městě
knowledge.blocked_reason.knowledge_required,Odemkni znalosti „{knowledge_name}“
knowledge.blocked_reason.building_required,Postav budovu „{building_name}“
knowledge.blocked_reason.play_days,Tvé město musí přežít {days} d.
knowledge.blocked_reason.no,Podmínky jsou splněné
ceremony.wedding,Svatba
ceremony.funeral,Pohřeb
ceremony.coronation,Korunovace
menu.choose_province.climate,Podnebí:
menu.choose_province.safety,Bezpečí:
menu.choose_province.forest,Les:
menu.choose_province.villages,Vesnice:
menu.choose_province.resources,Suroviny:
menu.choose_province.moderate,Mírné
menu.choose_province.many,Hodně
menu.choose_province.high,Vyšší
menu.playtest.welcome_caption,Vítej!
menu.demo.welcome,"Vítej!

Toto demo zahrnuje kompletní herní zážitek omezený na {demo_days_count} dnů.

Řada věcí ještě není finální, takže se předem omlouváme za chyby či problémy, na které můžeš narazit.

<right>Děkujeme
tým Long Jaunt</right>"
menu.demo.alpha,"<b>Předběžný přístup</b>

Spousta aspektů hry jako:

$ některé jazyky
$ možné chyby
$ optimalizace
$ atd.

jsou stále ve vývoji a budou se zlepšovat."
menu.playtest.welcome,"Děkujeme za přijetí naší pozvánky k hraní testovací verze hry Norland.

Hra stále ještě občas padá, obsahuje chyby a postrádá aktualizovaná rozhraní, ale pokud jde o funkčnost, tuto verzi chceme vydat v rámci předběžného přístupu.

Po skončení hry nám prosím napiš <b>zpětnou vazbu</b>, zabere to jen 2 minuty (tlačítko v hlavní nabídce).

Tato verze je omezena {demo_days_count} herními dny.

<right>Děkujeme
tým Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Testovací beta
menu.story,"Norland, rok 2898 po stvoření světa.

Dvě stě let uplynulo od doby, co <b>Karmínová říše</b> shořela v plamenech náboženské války. Z jejích někdejších provincií se stala barbarská království, kterým ve vzájemném zničení zabránila pouze všemocná <b>církev Matky Sofie</b>.

Přestože svatí proroci mluví o blížícím se konci světa, v jednom z malých království se utváří sen o zrození nové říše..."
menu.new_game_story,"Po dlouhé a vyčerpávající cestě se {soul_uuid_king} vrátil domů a očekával, že spatří svou manželku, jak čeká u dveří síně. Místo ní však k němu přistoupil jeho bratr. Výraz na jeho tváři nevěštil nic dobrého.

„Můj králi, mám pro tebe neveselou novinu.“
„Co se stalo, {soul_uuid_brother}? Neotálej, řekni mi pravdu.“
{soul_uuid_brother} se králi nedokázal podívat do očí, a tak začal koktavě mluvit:
„V noci nás napadli zbojníci. Snažili jsme se bránit, ale bylo jich příliš. Unesli tvou manželku a nyní požadují výkupné.“
„Pak pošli posla, aby jim doručil, co žádají!“
„Ale, můj králi, jsme obklíčeni nepřáteli. I když nás zatím chrání vazalství, víš, že starému králi dochází čas. Když nebudeme mít dost zlata a surovin, ten nápor neustojíme. Potřebujeme vojsko.“
„Takže navrhuješ, aby {soul_uuid_wife} zůstala napospas těm zbojníkům?“
„Dokud budou mít naději, že to výkupné dostanou, neublíží jí.“
„Musím si to všechno promyslet. Běž a očekávej moje pokyny.“"
menu.new_game_story_header,Začátek příběhu
menu.demo.finish.header,Konec příběhu
menu.demo.finish,"Tady demo verze hry Norland končí...

Můžeš se pokusit zahrát si hru s náročnějším nastavením začátku či různými schopnostmi lordů.

Děkujeme za hraní!"
menu.demo.finish.back_to_menu,Zpět na nabídku
menu.settings.change_resolution.apply.header,Změna nastavení
menu.settings.change_resolution.apply.body,"Nastavení rozlišení obrazovky se změnilo.
Pokud chceš tyto změny použít, stiskni „{accept_button_caption}“, jinak se nastavení automaticky vrátí za {time_remain_seconds} sek."
menu.hack_detected.header,Úprava úložného souboru
menu.hack_detected,"Nemůžeme zaručit správné fungování hry po externích úpravách úložných souborů.

Hlášení o chybách se nám odesílají, ale nemůžeme s jistotou zjistit, jestli k problému došlo kvůli chybě ve hře, anebo kvůli externím zásahům do souborů.

Musíme kvůli tomu trávit čas hledáním neexistujících chyb namísto toho, abychom opravovali ty stávající, což má negativní dopad na kvalitu hry.

Proto jsme nuceni zakázat úpravu úložných souborů až do vydání hry."
resource.not_available.by_synod,"Vylepši si <hint=hint_relations_matriarch>vztah s matriarchou</hint> na {number}, aby ti svatá karavana začala prodávat tento produkt."
text.preposition,nebo
menu.ambition.screen_title,Královy ambice
menu.ambition.text,"Král dochází k názoru, že je čas oznámit ambice, které rozhodnou o osudu jeho urozené rodiny."
ambition.conquer,Dobytí
ambition.allias,Utvoření spojenectví
ambition.populate_city,Osídlení města
ambition.gain_population,Zvýšení populace
ambition.produce_goods,Výroba surovin
menu.ambition.complete_title,Ambice byly splněny!
menu.ambition.complete,"Tvůj král dosáhl svých cílů a nyní bude pro všechny znám jako {soul_uuid_1} <b>{name}!</b> 

Ambice králů však nezná hranic a jeho ctižádost si brzo najde nový cíl..."
ambtion.button.ok,Přijmout
ambition.checkbox.conquer,"<b>Dobyvatel.</b> Moc vede k prosperující dynastii. Přidej ke svému státu <b>vazaly nebo spojence</b>, konkrétně {vas_num}."
ambition.checkbox.allias,"<b>Sjednotitel.</b> Silní můžeme být pouze tehdy, pokud si budeme vzájemně pomáhat. Rozšiř svou alianci svobodných měst do <b>{all_num} provincií</b>."
ambition.checkbox.populate_city,Tady jde o osídlování měst.
ambition.checkbox.gain_population,"<b>Plodnost.</b> Čím větší populace, tím větší síla. Zvyš populaci provincie o <b>{pop_num} lidí</b>."
ambition.checkbox.produce_goods,<b>Hospodárnost.</b> Ekonomika rozhoduje o všem. Dosáhni <b>denní výroby</b> zboží v hodnotě <b><hint=hint_resource_gold>{prod_num}</hint></b>. (Nyní <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Automatická bitva
menu.battle.retreat,"Tvoje vojsko se stáhne z bitvy – tento krok se bude považovat za porážku a bude mít velký dopad na náladu válečníků, ale zachráníš tím jejich životy."
menu.battle.manually_battle,Bitva na mapě
ambition.title.conquer,Ostrý meč
ambition.title.allias,Železná pěst
ambition.title.gain_population,Velké hnízdo
ambition.title.produce_goods,Hospodářská kniha
ambition.resume,Pokračovat v předchozí ambici
menu.resource_statistics.legend.title,Význam statistik
menu.resource_statistics.legend.in_store,Jaké množství surovin bylo v městském skladišti
menu.resource_statistics.legend.production,Kolik surovin se vyrobilo za pracovní den
menu.resource_statistics.legend.used,Kolik surovin se utratilo za výrobu dalších surovin a stavbu budov – a kolik jídla a alkoholu spotřebovali lordi a otroci
menu.resource_statistics.legend.in_use,Kolik surovin zůstává ve skladištích výrobních budov a v inventáři válečníků
menu.resource_statistics.legend.in_local_market,"Kolik se dnes prodalo na místních trzích, v krčmách a drogových doupatech"
menu.resource_statistics.legend.caravan,Výsledky obchodování se svatou karavanou
menu.resource_statistics.header.in_store,V obchodě
menu.resource_statistics.header.production,Výroba
menu.resource_statistics.header.used,Použito
menu.resource_statistics.header.in_use,Ve skladištích budov a válečníků
menu.resource_statistics.header.in_local_market,Místní trh
menu.resource_statistics.header.caravan,Obchod se svatou karavanou
menu.resource_statistics.no_data,Statistiky se objeví zítra
study.complex,Obecné školení
soul.tab.logs,HISTORIE
tech.war_logistic,"Vojenská logistika, {vol}. díl"
tech.prisoners,Zajatci
building.menu.lvl,{lvl}. úr
building.menu.resources,SKLAD BUDOVY
building.menu.workers_road_time,DOBA DĚLNÍKŮ NA CESTĚ
building.menu.to_workplace,Na pracoviště:
building.menu.to_warehouse,Do skladiště:
building.menu.priority,Priorita
building.menu.produced,VYROBENO
building.menu.workers_bonus,Bonus za dělníky:
building.menu.manager_bonus,Bonus za správce:
building.menu.workers,DĚLNÍCI
building.menu.instructions,POKYNY
building.menu.set_inspector,Ustanovit správce
"building.menu,inspection_bonus",Bonus:
building.menu.builld_first,Postavit přednostně
building.menu.upgrade,Vylepšit
building.menu.ship_now,"Odeslat vyrobené
zboží hned"
options_menu.audio.voice_volume,HLASITOST DABINGU
building.prefer.noone,Žádná priorita
building.prefer.nectar,Závislý na nektaru
building.prefer.slaves,Vězni
building.prefer.loyalist,Loajalisté
building.prefer.culture,{culture}
building.prefer.all,Automaticky
display_event.communication_lost,{faction_name}: Komunikace byla přerušena
building.menu.terror_all,Všichni {count}
building.menu.terror_no,Ne
building.menu.terror_culture,{culture} {count}
building.menu.execution,POPRAVA
building.menu.terror,Teror
building.menu.daily_statistic,DENNÍ STATISTIKA
building.menu.intimidations,Zastrašování
building.menu.path_calculation,Počítá se...
building.menu.path_cant_find,Nelze nalézt
time.hour_minut,{hour} hod. {minut} min.
time.minut,{minut} min.
actor.social_strata.dummy,Prostý občan
notification.sex_treason_with_dummy,{name_initiator} podvádí svou choť s prostým občanem
building.menu.building_resources,STAVEBNÍ SUROVINY
chancellery.inspection_bonus,"Bonus k výrobě za inspekce se rovná úrovni schopnosti Správcovství lorda, který má na kancléřství právě na starosti: {bonus} %."
menu.army.new_army.warriors_count,Válečníci: {warriors_count}
menu.army.new_army.weapons_count,Zbraně: {weapons_count}
tech.poisoner,Jedová tajemství
menu.building.church.morning_service_stat,DENNÍ STATISTIKY PRO RANNÍ BOHOSLUŽBU
menu.building.church.gathering_time,Doba shromáždění:
menu.building.church.congregation,Shromáždění:
menu.building.church.sermons,KÁZÁNÍ
menu.buidling.church.fanatics,Fanatici: +{count}
menu.buidling.church.agnostics,Agnostici: +{count}
building.menu.workplace.clerks,ÚŘEDNÍCI
building.menu.refill_auto,Doplňovat automaticky
building.menu.inspections_delivered,Přijaté pokyny: {count}
building.menu.living.residents,OBYVATELÉ ({current} / {max})
building.menu.sold_today,PRODÁNO DNES
building.menu.guards,STRÁŽE
family.son_of,Syn –
family.daughter_of,Dcera –
display_event.mountains_bandits_prepare_to_attack,Nájezdníci chystají útok na tvoje město
actor.mood,Nálada
building.description.library,Zde pracují lordi se znalostmi.
building.description.decor,Příjemný vzhled.
building.description.altar,Místo obřadů a upalování.
building.menu.crimes_prevented,Zabráněné zločiny
norland.plot_day_4_header,Nová říše
norland.plot_day_4_body,"Civilizace postupně mizí. Tento proces může trvat staletí a obyčejní obyvatelé si toho do samotného konce nemusí ani všimnout. Vládce, který se vyzná v historii, však musí pochopit, že příchodu období temna může zabránit pouze sjednocením válčících království.

Norland nyní stojí na rozcestí. Církev už dlouhodobě nedokáže držet krok s rozmanitými výzvami, kterým čelí lidé. Časté války, hladomor a nemoci jsou čím dál běžnější. Technologie a znalosti ještě nejsou ztracené, ale pokud se nic nestane, brzo se vytratí a spolu s nimi zmizí i civilizace.

Vždycky existuje naděje, ale kvůli tomu budeš muset:

$ Sjednotit <b>{goal_number}</b> provincií Norlandu pod svou kontrolu – buď jako král vazalského státu, nebo jako vůdce aliance svobodných měst.
$ Prohlásit se za nového císaře a vyzvat inkvizici církve."
norland.plot.end_game_header,Nová říše: Poslední bitva
norland.plot.end_game,"„Přede mnou leží mapa Norlandu. Na ní je {goal_number} králů, kteří mě poslouchají a uznávají. Je čas vzít si říšskou korunu a vyzvat církev Matky Sofie. Když si inkvizice vyláme zuby na mém vojsku, celý svět mě uzná jako císaře a Kamenná víra mi padne k nohám. Takže mě čeká poslední zkouška.“

$ Až budeš moct, prohlas se za císaře nové říše (králova akce).
$ Poraz svatou inkvizici na bojišti, získej titul a vyhraj hru."
ambitions.province_under_control,"<b>Nová říše</b>

Sjednoť <b>{goal_number}</b> provincií Norlandu – buď jako král vazalského království, nebo jako vůdce aliance svobodných států.

Provincie pod kontrolou: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,Král {king_name} z rodu {faction_name} žádá o pomoc proti frakci {danger_faction_name}
display_event.global_map_ai_declare_peace,Král {king_name} z rodu {faction_name} navrhuje mírovou smlouvu
display_event.global_map_ai_invite_to_alliance,Král {king_name} z rodu {faction_name} nabízí připojení k alianci
main_menu.continue_without_tutorial,Začít bez výuky
display_event.build_library,Postav knihovnu
main_menu.warning,Pozor!
display_event.retrieve_bishop,Biskup odchází z provincie
display_event.holy_family_below_zero,Přicházíš o přízeň matriarchy!
resource.product_requirement.technology,Nastudovat technologii <b>{technology}</b>
resource.product_requirement.building,Postavit budovu <b>{building}</b>
main_menu.continue_start_tutorial,Začít s výukou
main_menu.new_game.family.members.default,Dva bratři a manželka
actor.faction_from,z města {town}
new_game.province_difficulty.easy,Nízká
new_game.province_difficulty.normal,Normální
new_game.province_difficulty.hard,Vysoká
new_game.province_difficulty.recommended,Doporučeno pro začínající hráče
display_event.loan_will_be_expired_soon,Musí brzo zaplatit frakci {faction_name}
main_menu.new_game.family.recommended_for_newbs,Doporučené nastavení pro vyváženou hru.
new_game.province_difficulty.header,Obtížnost:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Vztahy se sousedy se nezhorší</green>.
building.menu.terror_fanatics,Fanatici {count}
global_map.relation_aftermath,$ Vztahy se sousedy: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Vztah s králem {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Následky</b>:
tech.kaiden_army,Kaidenské vojsko
tech.makha_trade,Makhský obchod
tech.makha_fanatic_terror,Teror fanatiků
tech.econom_writing,Efektivní psaní
tech.faith_defender,Obrana víry
tech.kaiden_training,Kaidenský výcvik
tech.kaiden_loyalist,Věční loajalisté
tech.makha_secret_deals,Tajné dohody
display_event.holy_protection_will_removed_soon,Ochrana Milující rodiny bude brzo zrušena!
display_event.holy_protection_was_removed,Ochrana Milující rodiny byla zrušena!
display_event.holy_protection,Ochrana Milující rodiny
display_event.swede_typh_allowed,Tuřínový tyfus
tutorial_events.disabled,Vypnuto
tutorial_events.articles_only,Pouze články
tutorial_events.articles_and_advices,Články a rady
soul.from_faction,{soul_uuid} z {faction_uuid}
gui.living_place.appoint.header,Zabydlet
actor.loyalty_2,Věrnost
actor.important_persons,DŮLEŽITÉ OSOBY
encyclopedia.popup_window.okay,Chápu
encyclopedia.popup_window.read_full,Další
actor.opinion.interest_simple,Zájem
free_lord.first_hire,{first_hire_discount}% sleva při prvním najmutí
menu.knowledge.longer_time,"Kvůli nízkým učebním dovednostem trvá učení déle!

Úroveň znalostí {tech_level}
Lordova úroveň {lord_level}"
menu.knowledge.write_time,Psaní knihy zabere <b>{learn_time} hod.</b>
menu.knowledge.learn_time,$ Studování knihy zabere <b>{learn_time} hod.</b>
building.patrol_sign_day,Denní hlídka
tech.slaves_contain,Věznice
time.days,{days} d.
actor.action_task.spent_time_diplomacy,Návštěva vyslance
display_event.culture_approve,{culture} schvaluje královy činy
menu.trade.less_tax_for_amy,*Díky znalostem Obrana víry se daň snižuje o {discount} %.
menu.army.tax_for_soldier,"<b>Když si najmeš tohoto válečníka:</b>
$ Podle jeho bojových schopností se <hint=hint_tutorial_church_tax>církevní daň z vojska</hint> zvýší o <hint=hint_resource_gold>{soldier_tax}</hint>. Celková daň je nyní <hint=hint_resource_gold>{overal_tax}</hint> za den."
options_menu.game.camera_speed,RYCHLOST KAMERY
actor.action_task.wise_talk,Moudrý rozhovor
display_event.senility_begin,{name}: propadá stařecké demenci!
display_event.character_loss_skill_trait,{name}: kvůli zhoršení schopnosti {skill_name} přichází o talent {trait_name}
display_event.character_loss_knowledge,{name}: kvůli stáří zapomíná znalosti {knowledge}
knowledge.unavailable_knowledge,Nedostupné znalosti
building.menu.mine_resources,ZÁSOBY
building.menu.mine_mined,Vytěžené železo: {mined} / {limit}
display_event.mine.limit_reached,Zásoby železa jsou vyčerpané
display_event.mine.limit_soon,Důl se vyčerpává
display_event.fetility_loss_from_tree,Úrodnost půdy se zhoršila
statistics_menu.province.resources,Suroviny provincie
statistics_menu.province.trees_cuted,Pokácené lesy:
statistics_menu.province.ground_fertility,Úrodnost půdy:
statistics_menu.province.iron_mines,Naleziště železa
statistics_menu.province.no_mine,Důl není postaven:
trade_agreements.header,Obchodní dohody
trade_agreements.today_balance,Obchod dnes:
trade_agreements.auto_trade,Obchodovat automaticky
trade_agreements.no_trade_agreements,Nemáš žádné aktivní obchodní smlouvy
statistics_menu.province.mine_n,Důl {n}:
statistics_menu.province.not_builded,Nepostaveno
knowledge.category.economic,Hospodárnost
knowledge.category.textbooks,Učebnice
knowledge.category.cultural_knowledge,Kulturní znalosti
display_event.character_loss_skill,{name}: schopnost {skill_name} se zhoršila na {level}. úroveň kvůli stáří
menu.tools.hint.trade_agreements,Obchod
display_event.trade_agreements_result,Hlášení o zahraničním obchodu
menu.trade.market_saturation.header,Nasycenost trhu
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Nasycenost trhu</hint>:
menu.trade.market_saturation.price,Dopad nasycenosti na cenu:
menu.trade.market_saturation.relaxaction,Denní spotřeba:
menu.trade.market_saturation.warning,"<red>Nabídka překročila <hint=hint_market_volume>místní poptávku</hint>, což vedlo k nasycení trhu a snížení ceny!</red>"
display_event.new_prophecy,Matriarcha: Nové proroctví
display_event.prophecy_started,Proroctví se naplnilo! {prophecy}
prophecy.wolf_attack,Invaze hladových vlků
prophecy.bandits_capm,Armáda zběhů
prophecy.fields_sick_one,Nakažené plodiny
prophecy.cholera_epidemy,Epidemie neštovic
prophecy.xenophoby,Nárůst xenofobie
prophecy.crocks_wave,Invaze pobudů
prophecy.fanatics_wave,Žlutí fanatici
prophecy.fields_sick_all,Hladové dny
prophecy.tree_bug,Červotoč
prophecy.rats_invasion,Invaze krys
display_event.prophecy_soon,Proroctví se brzo naplní: {prophecy}
display_event.prophecy_complete,Pohroma skončila: {prophecy}
prophecy.matriarch.soon_prophecy_1,Matriarcha předpovídá že do {d1}–{d2} dnů tvoji provincii stihne pohroma <b>{prophecy}</b>
prophecy.matriarch.soon_prophecy_2,Matriarcha předpovídá že do {d2} dnů tvoji provincii stihne pohroma <b>{prophecy}</b>
prophecy.matriarch.letter_caption,Proroctví
prophecy.matriarch.letter_text,Církevní jasnovidci do {d1}–{d2} dnů předpovídají ve tvých zemích tuto pohromu:
display_event.prophecy_soon_unknown,Zvěsti o blížící se pohromě
opinion_mind.interest_to,Zájem o osobu {name_2}:
opinion_mind.interest_of_me,Zájem osoby {name_2} o mě:
opinion_mind.interest_sex_ready,<center>{name_1} <green>může</green> jít na rande s osobou {name_2} (zájem {interest_sign} <green>{interest_threshold}</green>)</center>
opinion_mind.interest_sex_not_ready,<center>{name_1} <red>nemůže</red> jít na rande s osobou {name_2} (zájem {interest_sign} <red>{interest_threshold}</red>).</center>
display_event.market_depth_increased,Objem trhu pro veškeré zboží se zvýšil
building.menu.escape_prevented,Zabráněné útoky
mutator.no_prophecy,Žádná proroctví
display_notification.auto_trade,Posílání poslů kvůli obchodním dohodám
knowledge.blocked_reason.production_building_count,Postavené výrobní budovy: {count}
display_tooltip.pause,POZASTAVENÍ
menu.knowledge.culture_knowledge,Znalosti kultury {culture_name}.
statistics_menu.province.market_depth.header,Externí tržiště
statistics_menu.province.market_depth.additional_depth,Dodatečný <hint=hint_market_volume_bonus>objem trhu</hint>: {percent} %
display_event.old_age_begin,{name}: stárne
display_event.contraband_begin,Byla odhalena spekulace
statistics_menu.contraband_label,Spekulace
decor.dark_altar,Popravčí kámen
decor.dark_cage,Klec
decor.dark_garbage,Krvavý hadr
decor.dark_stake_with_head,Hlava na kůlu
decor.dark_statue_sculls,Totem pokárání
decor.dark_statue_skeleton,Totem Mrtvého boha
decor.dark_statue_wolf,Totem
decor.dark_tree,Strom s lebkami
decor.dark_tree_2,Holý strom
decor.dark_tree_3,Pařez
decor.sub.dark,Zastrašování
options_menu.audio.master_volume,CELKOVÁ HLASITOST
options_menu.audio.video_volume,HLASITOST VIDEÍ
decor.sub.dark_2,Kosti
actor.part_of_nature.trader,Obchodník
display_event.forest_bandits_will_attack_soon,Zvěsti: lesní zbojníci plánují útok
menu.trade.vassal_tax_from_player,"Populace: {pop} lidí

<b>Celková výše daní za den:</b> <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,"{faction_uuid}: populace {pop} lidí, daň <hint=hint_resource_gold>{sum}</hint>
"
menu.trade.vassal_tax_to_player_result,<b>Celková výše daní za den:</b> <hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,Tato postava se zaručeně probudí kvůli vlastnosti <hint=hint_anxious>úzkost</hint>.
actor.hint.injury.courage_threshold,<hint=hint_moral_level>Práh odvahy:</hint> {number}
video.sub1,Uplynulo skoro dvě stě let
video.sub2,od konce ničivé náboženské války.
video.sub3,Říše padla
video.sub4,a z jejích někdejších provincií se stala barbarská království.
video.sub5,Církvi se podařilo znovu oživit naději
video.sub6,a nad troskami bývalé civilizace zavládl mír a prosperita.
video.sub7,Vliv církve postupem času stále rostl.
video.sub8,Jenže historie se opakuje a síla nemůže zůstat v jedněch rukou příliš dlouho.
video.sub9,A tak mezi královstvími propuká jedna válka po druhé.
video.sub10,Hlad a chudoba nutí lidi opustit domov
video.sub11,a hledat útočiště v sousedních osadách.
video.sub12,Dokáže tvoje dynastie sjednotit království
video.sub13,a zastavit postup období temna?
