Key,Hungarian
menu.migration.one_village_burned,"A <hint=hint_migration>bevándorlás</hint> <red>csökkent</red>, mivel az egyik falut felégették a tartományban. A falu néhány napon belül áll helyre."
menu.migration.all_village_burned,"A <hint=hint_migration>bevándorlás</hint> <red>szünetel</red>, mivel minden falut felégettek a tartományban. A falvak néhány napon belül állnak helyre."
menu.migration,$ A <hint=hint_migration>bevándorlók</hint> várható száma ma: {peasant_migrants_today}
menu.migration.increased,<green>A bevándorlás nőtt</green>. A hatás még {days} napig tart.
menu.migration.decreased,<red>A bevándorlás csökkent</red>. A hatás még {days} napig tart.
actor.hint.no_sins,Nincsenek vétkei
social_strata.dummy,Parasztok
social_strata.slaves,Foglyok
social_strata.soldiers,Harcosok
social_strata.lords,Nemesek
social_strata.animal,Állat
building.social_availability,ELÉRHETŐ:
building.market_good_not_sell,NE ADD EL
menu.trade.slave_final_cost,Végső ár
menu.trade.slave_base_cost,Alapár
menu.trade.slave_fertility_cost,Termékenység
menu.trade.slave_free_mind_cost,Nem hiányolja a szeretteit
menu.trade.slave_combat_cost,Harc képességek
menu.trade.slave_age_cost,Életkor
menu.trade.slave_disability_cost,Fogyatékosság
menu.trade.slave_slowdown_cost,Lassabb
menu.trade.slave_faction_cost,Szorzó
actor.matching.agree_to_sex,{lord_name} készségesen randevúzna ezzel a nemessel
actor.part_of_nature.heir,Örökös
actor.part_of_nature.commander,Parancsnok
actor.part_of_nature.queen,Uralkodó házastársa
actor.name.hired_bandits,Felbérelt briganti
actor.personality_trait_locked,Nem ismert. A jellemvonás feloldásához növeld a(z) {skill_name} képességet 15. szintre.
king_role.strong_supporter,A rezsim támogatója
king_role.trader,Anyagias
king_role.religious,Vallásos
king_role.order_supporter,A rend védelmezője
king_role.suggestable,Befolyásolható
king_role.liberator,Felszabadító
king_role.lick,Egalitárius
king_role.intriguant,Cselszövő
king_role.scientist,Bölcs
menu.missing_equipment.no_problems,Nincs probléma
actor.deep_social.evil_joke,Gúny
actor.deep_social.good_joke,Tréfa
actor.deep_social.deep_talk,Meghitt beszélgetés
actor.deep_social.abuse,Sértés
actor.deep_social.slight,Mellőzés
actor.deep_social.intrigue,Cselszövés
actor.deep_social.flattery,Hízelgés
actor.deep_social.sorry,Bocsánatkérés
actor.deep_social.rumors,Pletykák
actor.inspection_queue,Ellenőrzési sor
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} lakos a városban
knowledge.blocked_reason.knowledge_required,{knowledge_name} feloldva
knowledge.blocked_reason.building_required,{building_name} épület építés alatt
knowledge.blocked_reason.play_days,A város {days} napig létezik
knowledge.blocked_reason.no,A feltételek teljesülnek.
ceremony.wedding,Esküvő
ceremony.funeral,Temetés
ceremony.coronation,Koronázás
menu.choose_province.climate,Éghajlat:
menu.choose_province.safety,Biztonság:
menu.choose_province.forest,Erdő:
menu.choose_province.villages,Falvak:
menu.choose_province.resources,Nyersanyagok:
menu.choose_province.moderate,Mérsékelt
menu.choose_province.many,Sok
menu.choose_province.high,Magas
menu.playtest.welcome_caption,Üdv!
menu.demo.welcome,"Üdvözlünk!

Ez a demó a teljes játékélményt tartalmazza, azonban csak {demo_days_count} játékbeli nap erejéig.

Rengeteg dolog van még fejlesztés alatt, ezért az esetleges hibákért és problémákért előre is elnézést kérünk.

<right>Köszönjük:
A Long Jaunt csapata</right>"
menu.demo.alpha,"<b>Korai hozzáférés</b>

A játék számos elemei, mint:

$ egyes nyelvek,
$ a lehetséges hibák,
$ az optimalizáció
$ stb.

még fejlesztés alatt állnak és javulni fognak."
menu.playtest.welcome,"Köszönjük, hogy elfogadtad a meghívásunkat, hogy játssz a Norland játék tesztverziójával.

A játék időnként még összeomlik, vannak hibái, és a felület helyenként nem a legfrissebb, de a funkciókat tekintve ezt a verziót tervezzük majd kiadni korai hozzáférésben.

Kérjük, szánj rá két percet a játék végén, hogy <b>visszajelzést adj nekünk</b> (gomb a főmenüben).

Ez a verzió le van korlátozva legfeljebb {demo_days_count} játéknapra.

<right>Köszönjük:
A Long Jaunt csapata</right>"
menu.demo.under_logo,Demó
menu.playtest.under_logo,Béta játékteszt
menu.story,"Norland, a 2898. esztendő a világ teremtése óta.

Kétszáz év telt el azóta, hogy a hatalmas <b>Bíbor Birodalmat</b> a vallásháború lángjai felemésztették. A korábbi tartományok barbár királyságokká lettek, és csak a mindenható <b>Szófia Anya Egyháza</b> gátolja meg, hogy kölcsönösen elpusztítsák egymást.

Miközben a szent próféták a közelgő világvégéről beszélnek, a kis királyságok egyikében egy új világ kialakulásának álma van születőben…"
menu.new_game_story,"Hosszú és fárasztó útja után {soul_uuid_king} hazaérkezett, azt várva, hogy felesége a palota kapujában várja majd. Felesége helyett azonban saját fivére fogadta. Az arca nem sok jót ígért.

– Királyom, nem örömteli híreket hozok.
– Mi történt, {soul_uuid_brother}? Ne késlekedj, mondd meg az igazat.
 {soul_uuid_brother} nem mert a király szemébe nézni, és akadozva fogott bele:
– Banditák támadtak ránk tegnap este. Próbáltunk védekezni, de túl sokan voltak. A hitvesedet elrabolták, és most váltságdíjat követelnek érte.
– Akkor parancsold meg egy Hűbéradónek, hogy vigye el nekik, amit kérnek!
– De királyom, ellenségek vesznek körül bennünket! Bár egyelőre még hűbérurunk védelme alatt állunk, jól tudod, hogy az öreg király élte rohamosan fogyatkozik. Ha nincs elég aranyunk és nyersanyagunk, nem fogunk kitartani. Szükségünk van egy hadseregre.
– Tehát azt javaslod, hogy {soul_uuid_wife} maradjon sorsára?
– Amíg bíznak benne, hogy megkapják a váltságdíjat, nem fognak ártani neki.
– Időre van szükségem, hogy átgondoljam az egészet. Most menj, és várd a parancsaimat!"
menu.new_game_story_header,A történet kezdete
menu.demo.finish.header,Történet vége
menu.demo.finish,"A Norland demóverziója itt véget ér…

Kipróbálhatod a játékot nehezebb induló beállításokkal vagy eltérő nemesi képességekkel is.

Köszönjük, hogy végigjátszottad!"
menu.demo.finish.back_to_menu,Vissza a menübe
menu.settings.change_resolution.apply.header,Beállítások módosítása
menu.settings.change_resolution.apply.body,"A képernyőfelbontás beállításai módosultak.
A beállítások alkalmazásához nyomd meg a(z) {accept_button_caption} gombot, ellenkező esetben a beállítások {time_remain_seconds} másodpercen belül automatikusan visszaállnak."
menu.hack_detected.header,Játékmentés módosítása észlelve
menu.hack_detected,"A játékmentések külső módosítása esetén a játék megfelelő működését nem tudjuk garantálni.

A hibajelentéseket megkapjuk, de nem tudjuk biztosan megállapítani, hogy a problémát a játék hibája vagy a fájlok külső módosítása okozta.

Így a létező hibák javítása helyett nem létező hibák keresésére kell az időt fordítanunk, ami negatívan befolyásolja a játék minőségét.

Ezért kénytelenek voltunk a játékmentések módosítását a játék megjelenéséig letiltani."
resource.not_available.by_synod,"Javítsd <hint=hint_relations_matriarch>kapcsolatodat a Mátriárkával</hint> {number} értékre, hogy a megvehesd ezt a terméket a szent karavántól."
text.preposition,vagy
menu.ambition.screen_title,Az uralkodó ambíciói
menu.ambition.text,"Az uralkodó úgy döntött, ideje bejelenteni a törekvéseit, amelyek meghatározzák nemesi családod jövőjét."
ambition.conquer,Hódítás
ambition.allias,Szövetségek kötése
ambition.populate_city,Városalapítás
ambition.gain_population,Népességnövekedés
ambition.produce_goods,Nyersanyagtermelés
menu.ambition.complete_title,A törekvések megvalósultak!
menu.ambition.complete,"Az uralkodód elérte céljait, és most mindenki {soul_uuid_1} <b>{name} néven fogja ismerni!</b> 

Az uralkodók ambíciói azonban nem ismernek határokat, és hamarosan újabb célok fészkelik be magukat a fejébe…"
ambtion.button.ok,Elfogad
ambition.checkbox.conquer,<b>Hódító.</b> A hatalom a dinasztia felvirágoztatásának a kulcsa. Növeld <b>{vas_num} vazallussal</b> az államod.
ambition.checkbox.allias,<b>Egyesítő.</b> Csak egymást segítve maradhatunk erősek. Terjeszd ki a szabad városok alkotta szövetséged <b>{all_num} tartományra</b>.
ambition.checkbox.populate_city,A városok alapításáról.
ambition.checkbox.gain_population,"<b>Termékeny.</b> Minél nagyobb a népesség, annál nagyobb az ereje. Növeld a tartomány népességét <b>{pop_num} fővel</b>."
ambition.checkbox.produce_goods,<b>Gazdasági.</b> A gazdaság határoz meg mindent. Érj el <b><hint=hint_resource_gold>{prod_num}</hint></b> értékű <b>napi árutermelést</b>. (most <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Automatikus csata
menu.battle.retreat,"A sereged visszavonul a csatából – ez vereségnek minősül, és erősen lerontja a harcosok hangulatát, de legalább életben maradnak."
menu.battle.manually_battle,Csata a térképen
ambition.title.conquer,Éles kard
ambition.title.allias,Vasököl
ambition.title.gain_population,Tágas fészek
ambition.title.produce_goods,Csűrjegyzék
ambition.resume,Korábbi cél folytatása
menu.resource_statistics.legend.title,Statisztikák jelentése
menu.resource_statistics.legend.in_store,Mennyi nyersanyag volt a város raktárában
menu.resource_statistics.legend.production,Mennyi nyersanyagot állítanak elő egy munkanap alatt
menu.resource_statistics.legend.used,"Mennyi nyersanyagot költöttél más nyersanyagok előállítására és épületek építésére, valamint mennyi élelmet és alkoholt fogyasztottak a nemesek és a foglyok"
menu.resource_statistics.legend.in_use,Mennyi nyersanyag marad a termelőépületek raktáraiban és a harcosok készleteiben
menu.resource_statistics.legend.in_local_market,"Mennyi kelt ma el a helyi piacokon, kocsmákban és lebujokban"
menu.resource_statistics.legend.caravan,A Szent Karavánnal folytatott kereskedés eredményei
menu.resource_statistics.header.in_store,A raktárban
menu.resource_statistics.header.production,Termelés
menu.resource_statistics.header.used,Felhasználva
menu.resource_statistics.header.in_use,Épületek és harcosok raktáraiban
menu.resource_statistics.header.in_local_market,Helyi piac
menu.resource_statistics.header.caravan,Kereskedés a Szent Karavánnal
menu.resource_statistics.no_data,A statisztikák holnap jelennek majd meg
study.complex,Általános kiképzés
soul.tab.logs,ELŐZMÉNYEK
tech.war_logistic,Hadi logisztika {vol}. kötet
tech.prisoners,Hadifoglyok
building.menu.lvl,{lvl}. szt.
building.menu.resources,ÉPÜLETRAKTÁR
building.menu.workers_road_time,MUNKÁSOK MENETIDEJE
building.menu.to_workplace,A munkahelyre:
building.menu.to_warehouse,A raktárba:
building.menu.priority,Prioritás
building.menu.produced,TERMELT
building.menu.workers_bonus,Munkásbónusz:
building.menu.manager_bonus,Intézőbónusz:
building.menu.workers,MUNKÁSOK
building.menu.instructions,UTASÍTÁSOK
building.menu.set_inspector,Intéző kinevezése
"building.menu,inspection_bonus",Bónusz:
building.menu.builld_first,Először ezt építsd meg
building.menu.upgrade,Fejlesztés
building.menu.ship_now,"Szállítsd el most
a megtermelt árut"
options_menu.audio.voice_volume,BESZÉD HANGEREJE
building.prefer.noone,Nincs prioritás
building.prefer.nectar,Nektárfüggők
building.prefer.slaves,Foglyok
building.prefer.loyalist,Lojalisták
building.prefer.culture,{culture}
building.prefer.all,Automatikus
display_event.communication_lost,{faction_name}: Megszűnt a kommunikáció
building.menu.terror_all,Mind a(z) {count}
building.menu.terror_no,Nem
building.menu.terror_culture,{culture} {count}
building.menu.execution,KIVÉGZÉS
building.menu.terror,Terror
building.menu.daily_statistic,NAPI STATISZTIKÁK
building.menu.intimidations,Megfélemlítések
building.menu.path_calculation,Számítás folyamatban
building.menu.path_cant_find,Nem található
time.hour_minut,{hour} ó. {minut} p.
time.minut,{minut} p.
actor.social_strata.dummy,Közember
notification.sex_treason_with_dummy,{name_initiator} megcsalja a hitvesét egy közemberrel
building.menu.building_resources,ÉPÍTÉSI NYERSANYAGOK
chancellery.inspection_bonus,A felügyeletből származó termelési bónusz a kancelláriavezető Felügyelet képességének szintjével egyezik: {bonus}%.
menu.army.new_army.warriors_count,{warriors_count} harcos
menu.army.new_army.weapons_count,{weapons_count} fegyver
tech.poisoner,Mérgek titkai
menu.building.church.morning_service_stat,A LEGUTÓBBI MISE STATISZTIKÁI
menu.building.church.gathering_time,Gyülekezési idő:
menu.building.church.congregation,Gyülekezet:
menu.building.church.sermons,PRÉDIKÁCIÓK
menu.buidling.church.fanatics,Fanatikusok: +{count}
menu.buidling.church.agnostics,Agnosztikusok: +{count}
building.menu.workplace.clerks,HIVATALNOKOK
building.menu.refill_auto,Automatikus feltöltés
building.menu.inspections_delivered,Kézbesített utasítások: {count}
building.menu.living.residents,LAKOSOK ({current} / {max})
building.menu.sold_today,MA ELADVA
building.menu.guards,ŐRSÉG
family.son_of,Apa:
family.daughter_of,Apa:
display_event.mountains_bandits_prepare_to_attack,Martalócok készülnek a városra támadni
actor.mood,Hangulat
building.description.library,A nemesek itt szereznek ismereteket
building.description.decor,Szemgyönyörködtető
building.description.altar,Szertartások és égetések helye
building.menu.crimes_prevented,Megelőzött bűnök
norland.plot_day_4_header,Az Új Birodalom
norland.plot_day_4_body,"A civilizáció fokozatosan elhal. A folyamat évszázadokig is eltarthat, és az átlagpolgár semmit sem vesz észre egész a végéig. De a történelemben jártas uralkodónak meg kell értenie, hogy a sötét korok beköszöntét csakis a háborúzó királyságok egyesítésével akadályozhatja meg.

Norland válaszút előtt áll. Az egyház régóta képtelen a népet érő különféle kihívásokkal megbirkózni. A gyakori háborúk, ínségidők és betegségek mindennapossá váltak. A technológiák és az ismeretek még nem vesztek el, ám ha nem történik valami, hamarosan eltűnnek, és velük együtt a civilizáció is.

Mindig van remény, de ehhez a következők szükségesek:

$ Egyesítsd Norland <b>{goal_number}</b> tartományát az irányításod alatt – egy vazallusállam uralkodójaként vagy egy szabad városszövetség vezetőjeként.
$ Kiáltsd ki magad az új császárnak, és szállj szembe az egyházi inkvizícióval."
norland.plot.end_game_header,Az Új Birodalom: A végső csata
norland.plot.end_game,"„Itt fekszik előttem Norland térképe. És rajta {goal_number} uralkodó, akik tisztelnek és engedelmeskednek nekem. Ideje, hogy fejemre tegyem a császári koronát, és letörjem Szófia Anya egyházát. Mikor seregem elmorzsolja az Inkvizíciót, az egész világ elismer majd császárnak, és a Hit Köve a lábam elé hull. Előttem tehát az utolsó próbatétel.”

$ Ha készen állsz, kiáltsd ki magad az új birodalom császárának (uralkodói cselekedet).
$ Győzd le a Szent Inkvizíciót a harcmezőn, hogy bebiztosítsd a címed, és megnyerd a játékot."
ambitions.province_under_control,"<b>Az Új Birodalom</b>

Egyesítsd Norland <b>{goal_number}</b> tartományát az irányításod alatt – egy vazallusállam uralkodójaként vagy egy szabad városszövetség vezetőjeként.

Az irányításod alatt álló tartományok: {under_control}/{total_province}"
display_event.global_map_ai_ask_help,"{king_name}, {faction_name} uralkodója a segítséged kéri {danger_faction_name} ellen"
display_event.global_map_ai_declare_peace,"{king_name}, {faction_name} uralkodója békét ajánl"
display_event.global_map_ai_invite_to_alliance,"{king_name}, {faction_name} uralkodója szeretne belépni a szövetségbe"
main_menu.continue_without_tutorial,Indulás oktatójáték nélkül
display_event.build_library,Építs egy könyvtárat
main_menu.warning,Figyelmeztetés!
display_event.retrieve_bishop,A püspök elhagyja a tartományt
display_event.holy_family_below_zero,Kiestél a Mátriárka kegyéből!
resource.product_requirement.technology,Tanulmányozd a technológiát: <b>{technology}</b>
resource.product_requirement.building,Építs egy épületet: <b>{building}</b>
main_menu.continue_start_tutorial,Indulás oktatójátékkal
main_menu.new_game.family.members.default,Két fivér és egy feleség
actor.faction_from,innen: {town}
new_game.province_difficulty.easy,Könnyű
new_game.province_difficulty.normal,Normál
new_game.province_difficulty.hard,Nehéz
new_game.province_difficulty.recommended,Kezdő játékosoknak ajánlott
display_event.loan_will_be_expired_soon,Hamarosan törleszteni kell {faction_name} tartománynak
main_menu.new_game.family.recommended_for_newbs,Javasolt képességbeállítások a kiegyensúlyozott játékhoz
new_game.province_difficulty.header,Nehézség:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>A szomszédi kapcsolatok nem romlanak meg</green>.
building.menu.terror_fanatics,Fanatikusok: {count}
global_map.relation_aftermath,$ Kapcsolat a szomszédokkal: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de}</red>
global_map.aftermath,<b>Következmények</b>:
tech.kaiden_army,Kaiden sereg
tech.makha_trade,Makha kereskedelem
tech.makha_fanatic_terror,Fanatikusterror
tech.econom_writing,Költséghatékony írás
tech.faith_defender,Hitvédelem
tech.kaiden_training,Kaiden kiképzés
tech.kaiden_loyalist,Örök lojalisták
tech.makha_secret_deals,Titkos alkuk
display_event.holy_protection_will_removed_soon,A Szerető Család Védelme hamarosan megszűnik!
display_event.holy_protection_was_removed,A Szerető Család Védelme megszűnt!
display_event.holy_protection,A Szerető Család Védelme
display_event.swede_typh_allowed,Karórépaláz
tutorial_events.disabled,Kikapcsolva
tutorial_events.articles_only,Csak cikkek
tutorial_events.articles_and_advices,Cikkek és tanácsok
soul.from_faction,{soul_uuid} {faction_uuid} tartományból
gui.living_place.appoint.header,Sokasodás
actor.loyalty_2,Hűség
actor.important_persons,FONTOS SZEMÉLYEK
encyclopedia.popup_window.okay,Értem
encyclopedia.popup_window.read_full,Tovább
actor.opinion.interest_simple,Érdeklődés
free_lord.first_hire,{first_hire_discount}% kedvezmény az első felfogadásból
menu.knowledge.longer_time,"Az alacsony tanulási képességek miatt tovább tart a tanulás!

Ismeret szintje: {tech_level}.
Nemes szintje: {lord_level}."
menu.knowledge.write_time,Egy könyv megírása: <b>{learn_time} ó.</b>
menu.knowledge.learn_time,$ Ennek a könyvnek a tanulmányozása <b>{learn_time} órát</b> tart.
building.patrol_sign_day,Nappali járőr
tech.slaves_contain,Foglyok tartása
time.days,{days} nap
actor.action_task.spent_time_diplomacy,Küldött látogatása
display_event.culture_approve,{culture} egyetért az uralkodó beavatkozásaival.
menu.trade.less_tax_for_amy,*A hitvédelem ismeretnek köszönhetően az adó {discount}%-kal csökken.
menu.army.tax_for_soldier,"<b>A harcos felfogadása esetén</b>
$ A Harc képessége alapján <hint=hint_tutorial_church_tax>a hadseregre kivetett egyházi adó</hint> <hint=hint_resource_gold>{soldier_tax}</hint> összeggel nő. A teljes adó most <hint=hint_resource_gold>{overal_tax}</hint> naponta."
options_menu.game.camera_speed,KAMERASEBESSÉG
actor.action_task.wise_talk,Bölcs beszélgetés
display_event.senility_begin,{name}: szenilis lett!
display_event.character_loss_skill_trait,{name}: a(z) {skill_name} képesség romlása következtében a(z) {trait_name} tehetsége elveszett
display_event.character_loss_knowledge,{name}: az öregedés következtében elfelejtette a(z) {knowledge} ismeretet
knowledge.unavailable_knowledge,Nem elérhető ismeret
building.menu.mine_resources,TARTALÉK
building.menu.mine_mined,Kibányászott vas: {mined} / {limit}
display_event.mine.limit_reached,A bánya tartalékai kimerültek
display_event.mine.limit_soon,A bánya kimerül
display_event.fetility_loss_from_tree,A talaj termékenysége csökkent
statistics_menu.province.resources,Tartományi nyersanyagok
statistics_menu.province.trees_cuted,Kiirtott erdők:
statistics_menu.province.ground_fertility,Talaj termékenysége:
statistics_menu.province.iron_mines,Vaslelőhely
statistics_menu.province.no_mine,A bánya nem épült meg:
trade_agreements.header,Kereskedelmi megállapodások
trade_agreements.today_balance,Mai kereskedés:
trade_agreements.auto_trade,Automatikus kereskedés
trade_agreements.no_trade_agreements,Nincsenek aktív kereskedelmi szerződéseid
statistics_menu.province.mine_n,{n}. bánya:
statistics_menu.province.not_builded,Nem épült meg
knowledge.category.economic,Gazdasági
knowledge.category.textbooks,Tankönyvek
knowledge.category.cultural_knowledge,Kulturális ismeret
display_event.character_loss_skill,{name}: az öregkor miatt a(z) {skill_name} képessége {level}. szintre csökkent.
menu.tools.hint.trade_agreements,Kereskedés
display_event.trade_agreements_result,Külkereskedelmi jelentés
menu.trade.market_saturation.header,Piaci telítettség
menu.trade.market_saturation.saturation,A termék <hint=hint_trade_dynamic_prices>piaci telítettsége</hint>:
menu.trade.market_saturation.price,A telítettség hatása az árra:
menu.trade.market_saturation.relaxaction,Napi fogyasztás:
menu.trade.market_saturation.warning,"<red>A kínálat meghaladta a <hint=hint_market_volume>helyi keresletet</hint>, ami a piac telítődésére és árcsökkenésre vezetett!</red>"
display_event.new_prophecy,Mátriárka: Új prófécia
display_event.prophecy_started,A prófécia valóra vált! {prophecy}
prophecy.wolf_attack,Húsfarkas-invázió
prophecy.bandits_capm,Dezertőrök hada
prophecy.fields_sick_one,Terményfertőzés
prophecy.cholera_epidemy,Himlőjárvány
prophecy.xenophoby,Idegengyűlölet kirobbanása
prophecy.crocks_wave,Csavargók inváziója
prophecy.fanatics_wave,Sárga fanatikusok
prophecy.fields_sick_all,Ínséges napok
prophecy.tree_bug,Szú
prophecy.rats_invasion,Patkányinvázió
display_event.prophecy_soon,A prófécia hamarosan valóra válik: {prophecy}
display_event.prophecy_complete,A csapás véget ért: {prophecy}
prophecy.matriarch.soon_prophecy_1,"A Mátriárka azt jósolta, hogy {d1}-{d2} napon belül <b>{prophecy}</b> csapás sújtja tartományodat."
prophecy.matriarch.soon_prophecy_2,"A Mátriárka azt jósolta, hogy {d2} napon belül <b>{prophecy}</b> csapás sújtja tartományodat."
prophecy.matriarch.letter_caption,Prófécia
prophecy.matriarch.letter_text,Az egyház látnokai szerint {d1}-{d2} napon belül a következő csapás sújtja országodat:
display_event.prophecy_soon_unknown,Szóbeszéd a közelgő csapásról
opinion_mind.interest_to,Érdeklődés {name_2} iránt:
opinion_mind.interest_of_me,{name_2} érdeklődése irántam:
opinion_mind.interest_sex_ready,<center>{name_1} <green>kész</green> randevúzni vele: {name_2} (érdeklődés {interest_sign} <green>{interest_threshold}</green>)</center>
opinion_mind.interest_sex_not_ready,<center>{name_1} <red>nem kész</red> randevúzni vele: {name_2} (érdeklődés {interest_sign} <red>{interest_threshold}</red>)</center>
display_event.market_depth_increased,Az összes áru piaci mennyisége nőtt.
building.menu.escape_prevented,Megelőzött szökések
mutator.no_prophecy,Nincs prófécia
display_notification.auto_trade,Hírnökök kiküldése kereskedelmi megállapodások érdekében
knowledge.blocked_reason.production_building_count,{count} termelő épület épült
display_tooltip.pause,SZÜNET
menu.knowledge.culture_knowledge,A(z) {culture_name} kultúra ismerete.
statistics_menu.province.market_depth.header,Külső piac
statistics_menu.province.market_depth.additional_depth,További <hint=hint_market_volume_bonus>piaci mennyiség</hint>: {percent}%
display_event.old_age_begin,{name}: megöregedett.
display_event.contraband_begin,Üzérkedést észleltünk
statistics_menu.contraband_label,Üzérkedés
decor.dark_altar,Akasztófa
decor.dark_cage,Ketrec
decor.dark_garbage,Véres rongy
decor.dark_stake_with_head,Kivégzés
decor.dark_statue_sculls,Elrettentés
decor.dark_statue_skeleton,Halott isten
decor.dark_statue_wolf,Totem
decor.dark_tree,Halott fa
decor.dark_tree_2,Lecsupaszított fa
decor.dark_tree_3,Tönk
decor.sub.dark,Megfélemlítés
options_menu.audio.master_volume,FŐ HANGERŐ
options_menu.audio.video_volume,VIDEÓ HANGEREJE
decor.sub.dark_2,Csontok
actor.part_of_nature.trader,Kereskedő
display_event.forest_bandits_will_attack_soon,Pletykák: az erdei banditák támadást terveznek
menu.trade.vassal_tax_from_player,"Népesség: {pop} fő

<b>Adó összege naponta:</b> <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,"{faction_uuid}: népesség {pop} fő, adó <hint=hint_resource_gold>{sum}</hint>
"
menu.trade.vassal_tax_to_player_result,<b>Adó összege naponta:</b> <hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,A karakter garantáltan felébred a <hint=hint_anxious>szorongó</hint> jellemvonásnak köszönhetően.
actor.hint.injury.courage_threshold,<hint=hint_moral_level>Bátorságküszöb:</hint> {number}
video.sub1,"Közel kétszáz év telt el,"
video.sub2,mióta a pusztító vallásháborúnak vége szakadt.
video.sub3,"A Birodalom összeomlott,"
video.sub4,és egykori tartományai idővel barbár királyságokká lettek.
video.sub5,"Az Egyháznak sikerült feltámasztania a reményt,"
video.sub6,és béke és jólét uralkodott az egykori civilizáció romjain.
video.sub7,Idővel az egyház befolyása egyre nőtt.
video.sub8,"De a történelem ismétli önmagát, és a hatalom nem maradhat sokáig egy kézben."
video.sub9,A királyságok között egymás után törnek ki a háborúk.
video.sub10,"Az éhezés és a szegénység miatt az emberek elhagyják otthonaikat,"
video.sub11,és a szomszédos településeken keresnek menedéket.
video.sub12,"Képes lesz a dinasztiád egyesíteni a királyságokat,"
video.sub13,és megállítani a sötét korszak eluralkodását?
video.sub14,E pillanattól a történelmet te írod.
game.end.body,"A településeden nem maradt felnőtt nemes, aki értelmes utasításokat tudna adni.

Az Egyház minden kiskorú nemest befogad, és a soraiba olvaszt.

Ezzel nemesi családod története lezárul."
game.end.caption,Vesztettél!
building.menu.paper_in_stock,"Készleten lévő papír: 
{current} / {need}"
notification.insight.text,"A karakter hirtelen ráébredt, hogy rendelkezik a következő ismerettel:

<b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,"<red>Ha egy szabad nemest indokolatlanul megbüntetsz, a szomszédok elítélnek majd</red>"
display_event.heir_can_soon_rise,"Az örökös, {name} hamarosan fellázadhat!"
display_event.slaves_can_soon_rise,A foglyok hamarosan felkelést robbanthatnak ki!
display_event.loyalists_can_soon_rage,A lojalisták hamarosan mészárlásba kezdhetnek!
display_event.soldiers_deserting,Harcosaid dezertálnak a városból!
display_event.fanatics_can_soon_rise,A fanatikusok hamarosan felkelést robbanthatnak ki!
display_event.bishop_can_soon_rise,A püspök hamarosan fanatikusfelkelést robbanthat ki!
mind.remain_time,Lejár {remain_time} múlva
unsupported_saves.header,Nem támogatott mentésfájlokat észleltünk
unsupported_saves.body,"A <b>Norlandet</b> aktívan fejlesztjük és folyamatosan javítjuk. Sajnos nem mindig tudjuk megőrizni a kompatibilitást a régebbi mentésfájlokkal, különösen amíg a játék még nem jelent meg korai hozzáférésben.

Minden nem támogatott mentésfájl át lett helyezve az „unsupported_saves” mappába.

Elnézést az esetleges kellemetlenségekért."
menu.construction.category.roads,Utak
tooltip.construction.place_roads,Út lehelyezése
tooltip.construction.remove_roads,Út eltávolítása
tooltip.construction.hold_shift.start,Tartsd nyomva:
tooltip.construction.hold_shift.end,az egyenes vonalhoz
mutator.longlive,Hosszú élet
ambition.recommend_for_start,(Ajánlott)
notification.lord_escaped,{name}: elhagyta a tartományt
notification.messenger_escaped,A hírnök elhagyta a tartományt
notification.messenger_return,A hírnök visszatért a tartományba
actor.status.back_to_home_town,Visszatér a szülővárosába
actor.status.action_task_in_process,{order_name}
army.status.attack_in_process,Megtámadja {target_name} városát
army.status.reinforcement_in_process,Erősítés {target_name} városának
mind.remain_time_exhaustion,Éhhalál beállta: {remain_time_hours} óra.
mind.remain_time_starvation,A fizikai kimerülésig hátralévő idő: {remain_time_hours} óra.
display_event.soul_missing,{name}: Eltűnt
ceremony.emperor_coronation,A császár megkoronázása
statistics.peoples.line.mood,Hangulat
statistics.peoples.line.capital,Főváros
statistics.peoples.line.sick,Betegek
statistics.peoples.line.hungry,Éhezők
statistics.peoples.line.strongly_tired,Súlyosan fáradt
statistics.peoples.line.homeless,Hajléktalanok
statistics.peoples.line.fanatics,Fanatikusok
statistics.peoples.line.nectar_addicted,Nektárfüggők
statistics.peoples.line.loyalists,Lojalisták
statistics.peoples.category.happiness,ELÉGEDETTSÉG
statistics.peoples.category.groups,CSOPORTOK
statistics.peoples.category.cultures,KULTÚRÁK
trade.soldiers_tax.caption,Harcosok adója
trade.vassal_tax.to_player,Hűbéradó a vazallusaidtól
trade.vassal_tax.from_player,Hűbéradó a hűbéruradnak
actor.action_task.emperor_coronation,Kiáltsd ki magad császárnak
statistics.tab.resources,Nyersanyagok
statistics.tab.peoples,Emberek
display_event.emperor_inquizition_soon,Az Inkvizíció úton van
statistics.resources.category.currency,PÉNZ
statistics.resources.category.food_and_drinks,ÉLELEM ÉS ITALOK
statistics.resources.category.extracted,KINYERT NYERSANYAGOK
