Key,Turkish
building.chacnellery.charge,Kâğıt ikmali yap
inspection.hint.today,Bugün teftiş edildi
inspection.hint.yesterday,Dün teftiş edildi
inspection.hint.not,Teftiş edilmedi
inspection.closest_time,Teftiş {day} gün {hour} saat sonra bitecek.
inspection.time,{day} g. {hour} sa.
inspection.remain_hours,{hour} sa.
actor.loyalty.log,Sadakat Değişikliği
menu.peoples.advice,İpuçları:
menu.sodliers.lack_of_equipment,Ekipman eksikliği:
menu.migration.terror,<hint=hint_migration>Göç</hint> <red>durdu</red> ancak <hint=hint_terror_peasants>dehşet</hint> şehirde <red>hüküm sürüyor</red>.
menu.migration.one_village_burned,Vilayette bir köy yandığı için <hint=hint_migration>göç</hint> <red>azaldı</red>. Köy birkaç gün içinde yeniden kurulacak.
menu.migration.all_village_burned,Vilayetteki tüm köyler yandığı için <hint=hint_migration>göç</hint> <red>durdu</red>. Köyler birkaç gün içinde yeniden kurulacak.
menu.migration,$ Bugün beklenen <hint=hint_migration>göçmen</hint>: {peasant_migrants_today}
menu.migration.increased,<green>Göç arttı</green>. Etkileri {days} gün boyunca devam edecek.
menu.migration.decreased,<red>Göç azaldı</red>. Etkileri {days} gün boyunca devam edecek.
actor.hint.no_sins,Günahsız
social_strata.dummy,Köylüler
social_strata.slaves,Mahkûmlar
social_strata.soldiers,Savaşçılar
social_strata.lords,Asilzadeler
social_strata.animal,Hayvan
building.social_availability,MEVCUT
building.market_good_not_sell,SATILMAZ
menu.trade.slave_final_cost,Son Fiyat
menu.trade.slave_base_cost,Taban Fiyat
menu.trade.slave_fertility_cost,Doğurganlık
menu.trade.slave_free_mind_cost,Sevdiklerini özlemiyor
menu.trade.slave_combat_cost,Dövüş Becerileri
menu.trade.slave_age_cost,Yaş
menu.trade.slave_disability_cost,Engel
menu.trade.slave_slowdown_cost,Yavaşladı
menu.trade.slave_faction_cost,Çarpan
actor.matching.agree_to_sex,"{lord_name}, bu asilzade ile randevuya çıkmayı kabul eder."
actor.part_of_nature.heir,Vâris
actor.part_of_nature.commander,Kumandan
actor.part_of_nature.queen,Hükümdarın eşi
actor.name.hired_bandits,Kiralık Eşkıya
actor.personality_trait_locked,Gizli. Bu özelliği açmak için {skill_name} becerisini 15. seviyeye getir.
king_role.strong_supporter,Güç Destekçisi
king_role.trader,Maddiyatçı
king_role.religious,Dindar
king_role.order_supporter,Düzen Savunucusu
king_role.suggestable,Duyarlı
king_role.liberator,Kurtarıcı
king_role.lick,Eşitlikçi
king_role.intriguant,Entrikacı
king_role.scientist,Bilge
menu.missing_equipment.no_problems,Sorun yok
actor.deep_social.evil_joke,Alay
actor.deep_social.good_joke,Şaka
actor.deep_social.deep_talk,Samimi sohbet
actor.deep_social.abuse,Hakaret et
actor.deep_social.slight,Görmezden gel
actor.deep_social.intrigue,Entrika Çevir
actor.deep_social.flattery,Övgü
actor.deep_social.sorry,Özür
actor.deep_social.rumors,Dedikodular
actor.inspection_queue,Teftiş Sırası
knowledge.blocked_reason.population_required,Şehir sakinleri: {number_of_peoples}/{required_peoples}
knowledge.blocked_reason.knowledge_required,{knowledge_name} açıldı.
knowledge.blocked_reason.building_required,"""{building_name}"" binası inşa edildi."
knowledge.blocked_reason.play_days,Kasaba {days} gün önce kuruldu.
knowledge.blocked_reason.no,Şartlar sağlandı.
ceremony.wedding,Düğün
ceremony.funeral,Cenaze
ceremony.coronation,Taç Giyme Töreni
menu.choose_province.climate,İklim:
menu.choose_province.safety,Güvenlik:
menu.choose_province.forest,Orman:
menu.choose_province.villages,Köyler:
menu.choose_province.resources,Kaynaklar:
menu.choose_province.moderate,Ortalama
menu.choose_province.many,Çok
menu.choose_province.high,Yüksek
menu.playtest.welcome_caption,Hoş geldin!
menu.demo.welcome,"Hoş geldin!
 
 Bu deneme sürümü, {demo_days_count} oyun içi gün ile sınırlı olarak oyunu tamamen tecrübe etmene olanak verir.
 
 Birçok özellik hâlâ geliştirme aşamasında olduğundan dolayı karşılaşabileceğin tüm hata ve sorunlardan dolayı şimdiden özür dileriz.
 
 <right>Teşekkürler
 Long Jaunt Ekibi</right>"
menu.demo.alpha,"<b>Erken Erişim</b>
 
 
 
 $ Bazı diller
 $ Olası hatalar
 $ Optimizasyon
 $ vb.
 
 gibi özellikler hâlâ geliştirme aşamasındadır ve iyileştirilecektir."
menu.playtest.welcome,"Norland'ın test sürümünü oynama davetimizi kabul ettiğin için çok teşekkür ederiz.
 
 Oyun bazen çökebiliyor, hatalar var ve arayüzü güncel değil ancak Erken Erişim'e açmak istediğimiz sürümün işlevsel olarak bu sürüm olduğuna karar verdik.
 
 Lütfen oyunun sonunda 2 dakika ayırarak (ana menüdeki butondan) <b>geri bildirimini</b> paylaş.
 
 Bu sürüm {demo_days_count} oyun günüyle sınırlıdır.
 
 <right>Teşekkürler,
 Long Jaunt Ekibi</right>"
menu.demo.under_logo,Deneme Sürümü
menu.playtest.under_logo,Beta Testi Sürümü
menu.story,"Norland, dünyanın yaradılışından 2.898 yıl sonra.
 
 Büyük <b>Kızıl İmparatorluk'un</b>, din savaşlarında yok olmasının üzerinden iki yüz yıl geçti. Eski Kızıl İmparatorluk vilayetleri barbar krallıklara dönüştü ve karşılıklı yıkımlar yüce <b>Sophia Ana Kilisesi</b> sayesinde engellendi.
 
 Kutsal peygamberler dünyanın sonunun geldiğinden bahsederken küçük krallıklardan birinde yüreklerde yeni bir imparatorluğun hayali canlanmakta..."
menu.new_game_story,"Uzun ve yorucu bir yolculuğun ardından {soul_uuid_king} eve geldiğinde karısının onu avlu kapılarında karşılayacağını umuyordu ancak onu, karısı yerine erkek kardeşi karşıladı. Yüzündeki ifade hayra alamet değildi.
 
 ""Hükümdarım, size vahim haberlerle geldim.""
 ""Ne oldu {soul_uuid_brother}? Uzatmadan anlat, neler oluyor?""
 {soul_uuid_brother}, hükümdarın yüzüne bile bakamıyordu. Kekeleyerek kötü haberi verdi:
 ""Dün akşam haydutlar saldırdı. Kendimizi savunmaya çalıştık ama çok kalabalıklardı. Karınızı kaçırdılar ve fidye istiyorlar.""
 ""O zaman hemen bir elçi gönderin ve ne istiyorlarsa verin!""
 ""Hükümdarım, dört yanımız düşmanlarla sarılı. Vasal koruması altında olsak da yaşlı hükümdarın vaktinin azaldığını biliyorsunuz. Yeterli kaynağımız ve altınımız olmazsa bunu kaldıramayız. Bir orduya ihtiyacımız var.
 ""{soul_uuid_wife} için hiçbir şey yapmamamı mı öneriyorsun?""
 ""Fidye alacaklarını düşündükleri müddetçe ona zarar vermeyeceklerdir.""
 ""Düşünmek için zamana ihtiyacım var. Şimdi git ve emirlerimi bekle."""
menu.new_game_story_header,Hikâyenin başlangıcı
menu.demo.finish.header,Hikâyenin sonu
menu.demo.finish,"Norland'ın deneme sürümü burada bitiyor.
 
 Oyunu daha zorlayıcı başlangıç ayarlarıyla veya farklı asilzade becerileri ile oynamayı deneyebilirsin.
 
 Oynadığın için teşekkür ederiz!"
menu.demo.finish.back_to_menu,Menüye geri dön
menu.settings.change_resolution.apply.header,Ayarlar değiştiriliyor
menu.settings.change_resolution.apply.body,"Ekran çözünürlüğü ayarları değiştirildi.
 Değişiklikleri uygulamak için ""{accept_button_caption}"" butonuna tıkla. Aksi takdirde ayarlar {time_remain_seconds} saniye içinde iptal edilir."
menu.hack_detected.header,Kayıt belgesinde değişiklik tespit edildi.
menu.hack_detected,"Kayıt dosyalarında üçüncü parti değişiklikleri olduğunda oyunun düzgün şekilde çalışacağını garanti edemiyoruz.
 
 Hata raporları alıyoruz ancak hatanın oyundan mı yoksa dosyadaki üçüncü parti müdahalesinden mi kaynaklandığını belirleyemiyoruz.
 
 Bu durum, var olan hatalar yerine olmayan hataları bulmak için zaman harcamamıza ve dolayısıyla oyunun kalitesinin düşmesine neden oluyor.
 
 Bu nedenle oyun çıkana kadar kayıt dosyalarında değişiklik yapılmasını yasaklamak zorundayız."
resource.not_available.by_synod,Kutsal Kervan'ın bu ürünü satmaya başlaması için <hint=hint_relations_matriarch>Maderşah ile olan ilişkini</hint> iyileştirerek {number} değerine yükselt.
text.preposition,veya
menu.ambition.screen_title,Hükümdarın Hedefleri
menu.ambition.text,"Hükümdar, asil ailenin geleceğini belirleyecek olan yeni hedefini açıklamanın vaktinin geldiğine hükmetti."
ambition.conquer,Fethet
ambition.allias,İttifak kur
ambition.populate_city,Şehir kur
ambition.gain_population,Nüfusu artır
ambition.produce_goods,Kaynak üret
menu.ambition.complete_title,Hedeflere ulaşıldı!
menu.ambition.complete,"Hükümdarın hedeflerine ulaştı ve artık herkes onu <b>{name}</b> {soul_uuid_1} ismiyle tanıyacak! 
 
 Ancak hükümdarın hırsları bitmek bilmez, yakında yeni hırslar aklını çelecektir."
ambtion.button.ok,Kabul Et
ambition.checkbox.conquer,"<b>Fatih.</b> Güç, hanedanlığını refaha götürür. <b>{vas_num} vasalı</b> krallığına ekle."
ambition.checkbox.allias,<b>Birleştirici.</b> Yalnızca birbirimize yardım ederek güçlü olabiliriz. Özgür şehirlerle olan ittifaklarının sayısını <b>{all_num} vilayete</b> çıkar.
ambition.checkbox.populate_city,Şehir kurmak için ihtiyacın olan her şey burada.
ambition.checkbox.gain_population,<b>Doğurgan.</b> Nüfus ne kadar çok olursa güç de o kadar büyük olur. Vilayetin nüfusunu <b>{pop_num} insana</b> çıkar.
ambition.checkbox.produce_goods,<b>Ekonomi.</b> Ekonomi her şeydir. <b><hint=hint_resource_gold>{prod_num}</hint></b> ürün değerinde <b>günlük üretime</b> ulaş. (Şu anda <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Otomatik Savaş
menu.battle.retreat,"Ordun savaştan çekilecek. Bu durum, mağlubiyet sayılacağından savaşçılarının ruh hâlleri kötü etkilenecek fakat hayatları kurtulacak."
menu.battle.manually_battle,Haritada savaş
ambition.title.conquer,Keskin kılıç
ambition.title.allias,Güçlü kol
ambition.title.gain_population,Büyük yuva
ambition.title.produce_goods,Ahır kitabı
ambition.resume,Önceki hırsa devam et
menu.resource_statistics.legend.title,İstatistiklerin anlamı
menu.resource_statistics.legend.in_store,Şehir ardiyesindeki kaynakların miktarı neydi?
menu.resource_statistics.legend.production,Bir iş gününde ne kadar kaynak üretiliyordu?
menu.resource_statistics.legend.used,Diğer kaynakların üretiminde ve bina inşaatlarında ne kadar kaynak kullanıldı? Üretilen gıdanın ve alkolün ne kadarı asilzade ve köleler tarafından tüketildi?
menu.resource_statistics.legend.in_use,Kaynakların ne kadarı üretim binalarının ardiyelerinde ve ne kadarı savaşçıların envanterinde?
menu.resource_statistics.legend.in_local_market,"Ne kadarı bugün yerel pazarda, tavernalarda ve uyuşturucu batakhanelerinde satıldı?"
menu.resource_statistics.legend.caravan,Kutsal Kervan'la ticaretin sonucu
menu.resource_statistics.header.in_store,Mevcut
menu.resource_statistics.header.production,Üretim
menu.resource_statistics.header.used,Kullanılan
menu.resource_statistics.header.in_use,Bina ve savaşçıların ardiyesinde
menu.resource_statistics.header.in_local_market,Yerel Pazar
menu.resource_statistics.header.caravan,Kutsal Kervan'la ticaret yap
menu.resource_statistics.no_data,İstatistikler yarın belirecektir
study.complex,Genel Eğitim
soul.tab.logs,TARİH
tech.war_logistic,Askerî Lojistik {vol}. Cilt
tech.prisoners,Esirler
building.menu.lvl,{lvl}. seviye
building.menu.resources,İNŞAAT DEPOSU
building.menu.workers_road_time,İŞÇİLERİN ULAŞIM SÜRESİ
building.menu.to_workplace,İş yerine:
building.menu.to_warehouse,Ardiye'ye:
building.menu.priority,Öncelik
building.menu.produced,ÜRETİLEN
building.menu.workers_bonus,İşçi bonusu:
building.menu.manager_bonus,Yönetici bonusu:
building.menu.workers,İŞÇİLER
building.menu.instructions,TALİMATLAR
building.menu.set_inspector,Yönetici Ata
"building.menu,inspection_bonus",Bonus:
building.menu.builld_first,Önce Bunu İnşa Et
building.menu.upgrade,Yükselt
building.menu.ship_now,"Üretilen
 ürünleri hemen gönder"
options_menu.audio.voice_volume,SES DÜZEYİ
building.prefer.noone,Öncelik yok
building.prefer.nectar,Nektar bağımlısı
building.prefer.slaves,Mahkûmlar
building.prefer.loyalist,Rejim Destekçileri
building.prefer.culture,{culture}
building.prefer.all,Otomatik olarak
display_event.communication_lost,{faction_name}: İletişim koptu
building.menu.terror_all,Tümü {count}
building.menu.terror_no,Hayır
building.menu.terror_culture,{count} {culture}
building.menu.execution,İDAM
building.menu.terror,Dehşet
building.menu.daily_statistic,GÜNLÜK İSTATİSTİK
building.menu.intimidations,Gözdağı
building.menu.path_calculation,Hesaplanıyor
building.menu.path_cant_find,Bulunamadı
time.hour_minut,{hour} sa. {minut} dk.
time.minut,{minut} dk.
actor.social_strata.dummy,Avam
notification.sex_treason_with_dummy,"{name_initiator}, eşini bir avamla aldatıyor."
building.menu.building_resources,İNŞAAT KAYNAKLARI
chancellery.inspection_bonus,"Teftişlerden gelen üretim bonusu, Şansölyelik'ten sorumlu asilzadenin Yönetim becerisi seviyesine eş değerdir: %{bonus}."
menu.army.new_army.warriors_count,{warriors_count} Savaşçı
menu.army.new_army.weapons_count,{weapons_count} Silah
tech.poisoner,Zehrin Sırları
menu.building.church.morning_service_stat,SON VAAZ İSTATİSTİKLERİ
menu.building.church.gathering_time,Toplanmaya:
menu.building.church.congregation,Cemaat:
menu.building.church.sermons,VAAZLAR
menu.buidling.church.fanatics,Fanatikler: +{count}
menu.buidling.church.agnostics,Agnostikler: +{count}
building.menu.workplace.clerks,KÂTİPLER
building.menu.refill_auto,Otomatik Olarak Doldur
building.menu.inspections_delivered,Verilen talimatlar: {count}
building.menu.living.residents,SAKİNLER ({current} / {max})
building.menu.sold_today,BUGÜN SATILAN
building.menu.guards,MUHAFIZLAR
family.son_of,Ebeveyn:
family.daughter_of,Ebeveyn:
display_event.mountains_bandits_prepare_to_attack,Yağmacılar şehrine saldırmaya hazırlanıyor.
actor.mood,Ruh Hâli
building.description.library,Burada asilzadeler irfan ile çalışır
building.description.decor,Göze güzel geliyor
building.description.altar,Tören ve yakım yeri
building.menu.crimes_prevented,Önlenen Suçlar
norland.plot_day_4_header,Yeni İmparatorluk
norland.plot_day_4_body,"Medeniyetler yavaş yavaş kaybolur. Bu süreç yüzyıllar sürebilir ve normal bir vatandaş en son raddeye kadar ne olduğunu anlayamaz ancak tarih bilgisi olan bir hükümdar, savaşan krallıkları birleştirmenin karanlık çağların gelişini önleyeceğini bilir.
 
 Norland bir dönüm noktasında. Kilise uzun zamandır halkının yaşadığı türlü zorluklarla mücadele edemiyor. Sürekli yapılan savaşlar, açlık ve hastalıklar basmakalıp kavramlar hâline geldi. Teknoloji ve bilim henüz kaybolmadı ancak hiçbir şey yapılmazsa yok olacaklar ve onlarla birlikte medeniyet de yok olacak.
 
 Her zaman umut vardır ancak umut için:
 
 $ Bir vasal eyaletin hükümdarı veya özgür şehirlerin ittifakının lideri olarak <b>{goal_number}</b> Norland vilayetini kendi kontrolün altında birleştirmen gerekir.
 $ Kendini yeni imparator ilan et ve Kilise Engizisyonu'na meydan oku."
norland.plot.end_game_header,Yeni İmparatorluk: Son Savaş
norland.plot.end_game,"""Norland haritası önümde serili. Üzerinde bana biat eden ve saygı duyan {goal_number} hükümdar yer alıyor. Artık imparatorluk tacını almanın ve Sophia Ana Kilisesi'ne meydan okumanın vakti geldi. Engizisyon orduma yenilirken tüm dünya beni imparator olarak kabul edecek, İnanç Kayası önümde eğilecek. Son mücadele bizi bekliyor.""
 
 $ Hazır olduğunda kendini yeni imparatorluğun imparatoru ilan et (hükümdar eylemi)
 $ Ünvanını almak için savaş meydanında Kutsal Engizisyon'u yen ve oyunu kazan."
ambitions.province_under_control,"<b>Yeni İmparatorluk</b>
 
 Bir vasal krallığın hükümdarı veya özgür şehirler ittifakının lideri olarak <b>{goal_number}</b> Norland vilayetini kendi kontrolün altında birleştir.
 
 Emrin altındaki vilayetler: {under_control}/{total_province}"
display_event.global_map_ai_ask_help,"{faction_name} hükümdarı {king_name}, {danger_faction_name} karşısında yardım talep ediyor."
display_event.global_map_ai_declare_peace,"{faction_name} hükümdarı {king_name}, barış antlaşması önerisi yapıyor."
display_event.global_map_ai_invite_to_alliance,{faction_name} hükümdarı {king_name} ittifaka katılma teklifinde bulundu.
main_menu.continue_without_tutorial,Eğitici olmadan başla
display_event.build_library,Kütüphane inşa et
main_menu.warning,Uyarı!
display_event.retrieve_bishop,Piskopos vilayetten ayrılıyor.
display_event.holy_family_below_zero,Maderşah'ın gözünden düştün!
resource.product_requirement.technology,<b>{technology}</b> teknolojisini çalış
resource.product_requirement.building,<b>{building}</b> binasını inşa et
main_menu.continue_start_tutorial,Eğiticiyle başla
main_menu.new_game.family.members.default,İki erkek kardeş ve bir eş
actor.faction_from,{town} kasabasından
new_game.province_difficulty.easy,Kolay
new_game.province_difficulty.normal,Normal
new_game.province_difficulty.hard,Zor
new_game.province_difficulty.recommended,Yeni oyuncular için önerilir
display_event.loan_will_be_expired_soon,En kısa sürede {faction_name} grubuna geri ödeme yapmalısın.
main_menu.new_game.family.recommended_for_newbs,Dengeli bir oyun için önerilen beceri ayarları
new_game.province_difficulty.header,Zorluk:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Komşuluk ilişkileri kötüye gitmez</green>.
building.menu.terror_fanatics,{count} Fanatik
global_map.relation_aftermath,$ Komşular ile ilişkiler: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ {soul_uuid_king} ile ilişkiler: <red>{rel_de}</red>
global_map.aftermath,<b>Sonuçlar</b>:
tech.kaiden_army,Kaiden Ordusu
tech.makha_trade,Makha Ticareti
tech.makha_fanatic_terror,Fanatik Dehşeti
tech.econom_writing,Uygun Maliyetli Kitap Yazma
tech.faith_defender,İnanç Koruması
tech.kaiden_training,Kaiden Eğitimi
tech.kaiden_loyalist,Sonsuz Rejim Destekçileri
tech.makha_secret_deals,Gizli Anlaşmalar
display_event.holy_protection_will_removed_soon,Sevecen Aile Koruması birazdan kalkacak!
display_event.holy_protection_was_removed,Sevecen Aile Koruması kalktı!
display_event.holy_protection,Sevecen Aile Koruması
display_event.swede_typh_allowed,Şalgam Humması
tutorial_events.disabled,Kapalı
tutorial_events.articles_only,Yalnızca makaleler
tutorial_events.articles_and_advices,Makaleler ve Tavsiye
soul.from_faction,{faction_uuid} grubundan {soul_uuid}
gui.living_place.appoint.header,İskan et
actor.loyalty_2,Sadakat
actor.important_persons,ÖNEMLİ KİŞİ
encyclopedia.popup_window.okay,Anladım
encyclopedia.popup_window.read_full,Sonraki
actor.opinion.interest_simple,İlgi
free_lord.first_hire,İlk işe alımda %{first_hire_discount} indirim
menu.knowledge.longer_time,"Düşük öğrenme becerisi dolayısıyla öğrenmek daha uzun sürer.
 
 İrfan seviyesi {tech_level}
 Asilzadelik seviyesi {lord_level}"
menu.knowledge.write_time,Kitap yazmak <b>{learn_time} sa.</b> sürecek
menu.knowledge.learn_time,$ Bu kitabı okumak <b>{learn_time} sa.</b> sürecek
building.patrol_sign_day,Gündüz Devriyesi
tech.slaves_contain,Mahkûmları Hapsetme
time.days,{days} g.
actor.action_task.spent_time_diplomacy,Elçinin Ziyareti
display_event.culture_approve,"{culture}, hükümdarın davranışlarını onaylıyor."
menu.trade.less_tax_for_amy,*İnanç Koruması irfanı sayesinde vergi miktarı %{discount} azaldı.
menu.army.tax_for_soldier,"<b>Bu savaşçıyı işe aldığında</b>
 $ Dövüş becerilerine göre <hint=hint_tutorial_church_tax>Kilise'nin ordundan aldığı vergi</hint> <hint=hint_resource_gold>{soldier_tax}</hint> oranında artacak. Toplam vergi artık günlük <hint=hint_resource_gold>{overal_tax}</hint>."
options_menu.game.camera_speed,KAMERA HIZI
actor.action_task.wise_talk,Bilge sohbet
display_event.senility_begin,{name}: Bunadı!
display_event.character_loss_skill_trait,{name}: {skill_name} becerisinin körelmesi nedeniyle {trait_name} yeteneği kaybedildi.
display_event.character_loss_knowledge,{name}: Yaşlandığı için {knowledge} irfanını unuttu.
knowledge.unavailable_knowledge,Ulaşılamaz İrfan
building.menu.mine_resources,REZERVLER
building.menu.mine_mined,Çıkarılan demir: {mined} / {limit}
display_event.mine.limit_reached,Maden yatakları tükendi
display_event.mine.limit_soon,Maden tükeniyor
display_event.fetility_loss_from_tree,Toprağın verimliliği azaldı
statistics_menu.province.resources,Vilayet kaynakları
statistics_menu.province.trees_cuted,Kesilen ormanlar:
statistics_menu.province.ground_fertility,Toprak verimliliği:
statistics_menu.province.iron_mines,Demir yatağı
statistics_menu.province.no_mine,Maden inşa edilmedi:
trade_agreements.header,Ticaret Anlaşmaları
trade_agreements.today_balance,Bugünlük Ticaret:
trade_agreements.auto_trade,Otomatik olarak ticaret yap
trade_agreements.no_trade_agreements,Aktif ticaret sözleşmeleri bulunmuyor.
statistics_menu.province.mine_n,{n}. maden:
statistics_menu.province.not_builded,İnşa edilmedi
knowledge.category.economic,Ekonomik
knowledge.category.textbooks,Kitaplar
knowledge.category.cultural_knowledge,Kültür irfanı
display_event.character_loss_skill,{name}: {skill_name} becerisi yaş ile birlikte {level}. seviyeye geriledi.
menu.tools.hint.trade_agreements,Ticaret
display_event.trade_agreements_result,Yabancı Ticaret Raporu
menu.trade.market_saturation.header,Piyasa Doygunluğu
menu.trade.market_saturation.saturation,Ürünün <hint=hint_trade_dynamic_prices>piyasa doygunluğu</hint>:
menu.trade.market_saturation.price,Doygunluğun fiyat üzerindeki etkisi:
menu.trade.market_saturation.relaxaction,Günlük tüketim:
menu.trade.market_saturation.warning,"<red>Teklif, <hint=hint_market_volume>yerel talebi</hint> aşarak piyasa doygunluğuna ve fiyatta azalmaya neden oldu.</red>"
display_event.new_prophecy,Maderşah: Yeni Kehanet
display_event.prophecy_started,Kehanet gerçekleşti! {prophecy}
prophecy.wolf_attack,Etbörü İstilası
prophecy.bandits_capm,Firariler Ordusu
prophecy.fields_sick_one,Ekin Hastalığı
prophecy.cholera_epidemy,Çiçek Hastalığı Salgını
prophecy.xenophoby,Zenofobi Salgını
prophecy.crocks_wave,Avare İstilası
prophecy.fanatics_wave,Sarı Fanatikler
prophecy.fields_sick_all,Aç Günler
prophecy.tree_bug,Ağaç Kurdu
prophecy.rats_invasion,Fare İstilası
display_event.prophecy_soon,Kehanet yakında gerçekleşecek: {prophecy}
display_event.prophecy_complete,Felaket sona erdi: {prophecy}
prophecy.matriarch.soon_prophecy_1,Maderşah {d1}-{d2} gün içerisinde vilayetinin <b>{prophecy}</b> felaketiyle karşı karşıya kalacağını öngörüyor.
prophecy.matriarch.soon_prophecy_2,Maderşah {d2} gün içerisinde vilayetinin <b>{prophecy}</b> felaketiyle karşı karşıya kalacağını öngörüyor.
prophecy.matriarch.letter_caption,Kehanet
prophecy.matriarch.letter_text,"Kilise, {d1}-{d2} gün içerisinde topraklarında bir felaket yaşanacağını öngörüyor:"
display_event.prophecy_soon_unknown,Kaçınılmaz felaket dedikoduları
opinion_mind.interest_to,{name_2} ilgisi:
opinion_mind.interest_of_me,{name_2} tarafından bana olan ilgi:
opinion_mind.interest_sex_ready,"<center>{name_1}, {name_2} ile randevuya çıkmaya </green>hazır<green> (İlgi {interest_sign} <green>{interest_threshold}</green>)</center>"
opinion_mind.interest_sex_not_ready,"<center>{name_1}, {name_2} ile randevuya çıkmaya </red>hazır değil<red> (İlgi {interest_sign} <red>{interest_threshold}</red>)</center>"
display_event.market_depth_increased,Tüm ürünlerin piyasa hacmi arttı.
building.menu.escape_prevented,Önlenen Firarlar
mutator.no_prophecy,Kehanet yok
display_notification.auto_trade,Ticaret anlaşmaları için elçi gönderiliyor
knowledge.blocked_reason.production_building_count,{count} üretim binası inşa edildi
display_tooltip.pause,DURAKLAT
menu.knowledge.culture_knowledge,{culture_name} kültürü irfanı
statistics_menu.province.market_depth.header,Dış Piyasa
statistics_menu.province.market_depth.additional_depth,Ek <hint=hint_market_volume_bonus>piyasa hacmi</hint>: %{percent}
display_event.old_age_begin,{name}: Yaşlandı
display_event.contraband_begin,Vurgunculuk Tespit Edildi
statistics_menu.contraband_label,Vurgunculuk
decor.dark_altar,Darağacı
decor.dark_cage,Kafes
decor.dark_garbage,Kanlı bez
decor.dark_stake_with_head,Cezalı
decor.dark_statue_sculls,İhtar
decor.dark_statue_skeleton,Ölü Tanrı
decor.dark_statue_wolf,Totem
decor.dark_tree,Ölü ağaç
decor.dark_tree_2,Soyulmuş ağaç
decor.dark_tree_3,Kütük
decor.sub.dark,Gözdağı
options_menu.audio.master_volume,ANA SES DÜZEYİ
options_menu.audio.video_volume,VİDEO SES DÜZEYİ
decor.sub.dark_2,Kemikler
actor.part_of_nature.trader,Tüccar
display_event.forest_bandits_will_attack_soon,Dedikodu: Orman haydutları saldırmaya hazırlanıyor.
menu.trade.vassal_tax_from_player,"Nüfus: {pop} kişi
 
 <b>Günlük maksimum vergi miktarı:</b> <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,"{faction_uuid}: Nüfus {pop} kişi, vergi {sum} <hint=hint_resource_gold></hint>"
menu.trade.vassal_tax_to_player_result,<b>Günlük maksimum vergi miktarı:</b> <hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,Karakter <hint=hint_anxious>endişeli</hint> özelliği sayesinde uyanacak.
actor.hint.injury.courage_threshold,<hint=hint_moral_level>Cesaret Eşiği:</hint> {number}
video.sub1,Korkunç din savaşlarından bu yana
video.sub2,neredeyse iki yüz yıl geçti.
video.sub3,İmparatorluk düştü
video.sub4,ve vilayetleri barbar krallıklara dönüştü.
video.sub5,"Kilise, halkı tekrar umutlandırmayı başardı."
video.sub6,Eski medeniyetin kalıntıları üzerinde barış ve rehavet hüküm sürdü.
video.sub7,Zamanla kilise güçlendi.
video.sub8,"Gelgelelim, tarih tekerrürden ibarettir, güç uzun bir süre tek bir elde kalamaz."
video.sub9,Krallıklar arasında birer birer savaşlar başladı.
video.sub10,Açlık ve sefalet yüzünden insanlar evlerini terk etti
video.sub11,ve komşu yerleşkelere sığındı.
video.sub12,Hanedanın krallıkları birleştirerek
video.sub13,karanlık çağın gelişine dur diyebilecek mi?
video.sub14,Bu andan itibaren tarihi sen yazacaksın.
game.end.body,"Yerleşkende sana mantıklı talimatlar verecek yetişkin asilzade yok.
 
 Yaşı tutmayan diğer tüm asilzadeler Kilise tarafından evlat edinildi ve Kilise'nin saflarına katılacak.
 
 Böylelikle asil ailenin hikâyesi de burada bitmiş oldu."
game.end.caption,Kaybettin!
building.menu.paper_in_stock,"Mevcut kâğıt stoku: 
 {current} / {need}"
notification.insight.text,"Karakter birden şu irfana sahip olduğunu fark etti:
 
 <b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,"<red>Özgür bir asilzadenin makul olmayan bir ceza alması, komşularının seni kınamasına neden olacaktır.</red>"
display_event.heir_can_soon_rise,Vâris {name} yakında ayaklanacak!
display_event.slaves_can_soon_rise,Mahkûmlar yakında isyan başlatabilir!
display_event.loyalists_can_soon_rage,Rejim Destekçileri kıyım başlatabilir!
display_event.soldiers_deserting,Savaşçıların şehri terk ediyor!
display_event.fanatics_can_soon_rise,Fanatikler yakında ayaklanabilir!
display_event.bishop_can_soon_rise,Piskopos yakında bir fanatik ayaklanması başlatabilir!
mind.remain_time,{remain_time} içinde sona erecek.
unsupported_saves.header,Desteklenmeyen Kayıt Dosyaları Tespit Edildi
unsupported_saves.body,"<b>Norland</b> aktif olarak geliştiriliyor ve iyileştiriliyor. Oyun henüz erken erişime çıkmamışken maalesef eski kayıt dosyalarını her zaman destekleyemiyoruz.
 
 Desteklenmeyen tüm belgeler ""unsupported_saves"" dosyasına taşındı.
 
 Verdiğimiz rahatsızlıktan dolayı özür dileriz."
menu.construction.category.roads,Yollar
tooltip.construction.place_roads,Yolu yerleştir
tooltip.construction.remove_roads,Yolu kaldır
