Key,Russian
menu.battle_squad.order,ЗАДАНИЕ
menu.battle_squad.is_protect_archers,Защищать лучников
menu.battle_squad.is_commander_stay_in_back,Держаться сзади
name.trader,Торговец
notification.miscarriage,У {name} случился выкидыш
notification.actor_use_medicine,{name} применил Лечебную мазь
notification.character_get_robbed,{name} был атакован грабителями
notification_character.immobilized,{name} не может двигаться
notification.character_close_dead,{name_initiator} -> {name_target}: безутешно скорбит об утрате
notification.character_crime,{name} обвиняется в преступлении!
notification.character_date,{name_initiator} и {name_target} собираются на свидание сегодня
notification.character_dead,{name} скончался
notification.character_disease_hard,{name} серьезно заболел
notification.character_gift,{name_initiator} -> {name_target}: подарил подарок
notification.character_intrigue_full,{name_initiator} -> {name_target}: отношение к {name_third_person} ухудшилось в результате интриги
notification.character_intrigue,{name_target} -> {name_third_person}: отношение к {name_third_person} ухудшилось в результате интриги
notification.character_join_to_player,{name} присоединяется к вашей благородной семье
notification.character_love,{name_initiator} -> {name_target}: влюбился
notification.character_low_loyalty,{name}: Низкая лояльность
notification.character_praise,{name_target} -> {name_third_person}: отношение улучшилось в результате похвалы
notification.character_skill_new_level,{name} получил новый уровень! {skill}: {level}
notification.character_slander,{name_target} -> {name_third_person}: отношение ухудшилось в результате клеветы
notification.character_unconscious,{name} без сознания
notification.character_under_attack,{name} вступил в бой!
notification.character_go_insight,{name} получил озарение: {knowledge_name}
notification.characters_start_fight,{name_initiator} и {name_target} начали драку! 
notification.characters_start_duel,{name_initiator} и {name_target} начинают дуэль! 
notification.date_denied,{name_initiator} -> {name_target}: отказ в свидании
notification.enemy_commander_dead,Командир вражеского отряда убит!
notification.enemy_commander_surrender,Командир вражеского отряда сдался!
notification.enemy_commander_retreat,Командир вражеского отряда бежит!
notification.enemy_commander_unconscious,Командир вражеского отряда без чувств!
notification.guest_bribe_fail,{name}: гость отказался принять подарок от вашего короля
notification.guest_bribe_success,{name}: гость принял подарок вашего короля
notification.guest_attempted_bribe_succes,{name}: принял подарок {iniciator}. Лояльность снизилась
notification.character_start_action_task,{name} приступает к выполнению задания: {action_task}
notification.guest_leaving,{name}: гость уходит из поселения
notification.guest_leaving_danger_wound,{name}: гость уходит из поселения из-за опасной раны
notification.guest_leaving_bad_mood,{name}: гость уходит из поселения из-за наступившей депрессии
notification.guest_arrive,{name}: гость прибыл в поселение
notification.murder_fighting,{name_initiator} в ярости и дерется насмерть!
notification.murder_night_murder,{name_initiator} замышляет убийство
notification.murder_poison_success,{name_target} был отравлен
notification.character_game_of_dice_win,{name_winner} -> {name_looser}: выиграл Золото в кости
notification.character_game_of_dice_loose,{name_looser} -> {name_winner}: проиграл Золото в кости
notification.murder_poison_unsuccess,"{name_initiator} -> {name_target}: пытался отравить врага, но был раскрыт"
notification.reward,{name_initiator} -> {name_target}: наградил
notification.rumors,{name_initiator} -> {name_target}: рассказал слухи про: {name_third_person}
notification.rumors,{name_initiator} -> {name_target}: узнал слухи
notification.sex,{name_initiator} и {name_target} проводят время в постели
notification.sex_treason,{name_initiator} изменяет супругу с {name_target}
notification.tantrum_begin,{name}: нервный срыв!
notification.determination_begin,{name}: решает выполнить желание!
notification.madness_begin,{name}: впал в безумие!
notification.tantrum_high_probability,{name}: высокая вероятность нервного срыва!
notification.tantrum_probability,{name}: вероятность нервного срыва!
notification.threat,{name_initiator} -> {name_target}: угрожал
notification.thugs_burglary,{name}: головорезы взламывают дом!
notification.character_is_pregnant,{name} забеременела от {father_name}.
notification.character_was_born,Родился ребенок: {name}
notification.kid_grow,{name} достиг совершенолетия и становится младшим лордом.
notification.new_desire,{name} обнаружил в себе сильное желание
notification.desire_strong,{name}: желание стало еще сильнее
notification.desire_complete,{name}: желание исполнено!
notification.king_greetings,{name} поприветствовал короля
notification.lord_return,Вернулся в провинцию: {name} 
notification.start_hate,{name_initiator} -> {name_target}: начал ненавидеть
notification.captive_escape,{name} пытается бежать из плена!
notification.captive_welcome,{name} поклялся в верности дому {fraction_name}
notification.game_save,Игра сохранена
notification.got_knowledge_from_talk,{name} во время разговора с {name_2} получил знание: {knowledge}
punishment.blindness,Ослепление
punishment.execution,Казнь
punishment.exile,Изгнание
punishment.mask_of_shame,Маска позора
punishment.enslavement,Взятие в плен
resource.battle_axe,Топоры
resource.ale,Душистый Эль
resource.moonshine,Самогон
resource.beer,Пиво
resource.bow,Луки
resource.coal,Уголь
resource.crossbow,Арбалеты
resource.food,Мука
resource.heavy_armor,Тяжелая броня
resource.instruments,Инструменты
resource.iron,Железо
resource.knife,Кинжал
resource.light_armor,Легкая броня
resource.medicine,Лечебная мазь
resource.nectar,Нектар
resource.paper,Бумага
resource.rune,Святые кольца
resource.shield,Щиты
resource.sword,Мечи
resource.wood,Дерево
resource.wooden_hammer,Булава
resource.wooden_spear,Копья
resource.hop,Хмель
resource.rye,Рожь
resource.steel,Сталь
resource.meat,Мясо
resource.sweden,Брюква
resource.herb,Лесная трава
resource.producted_store,На <hint=hint_building_stores>складах</hint> производственных зданий сейчас: {count} (серое число рядом с иконкой)
resource.on_fields_now,Зреет на полях сейчас: {count} (серое число рядом с иконкой)
resource.caravan_cost,Этот ресурс Святой Караван продает за <hint=hint_resource_gold>{cost_buy}</hint> и покупает за и <hint=hint_resource_gold>{cost_sell}</hint>.
screen_ui.day,День {day}
statistics.for_5_days,За 5 дней
statistics.for_today,За сегодня
statistics.for_yesterday,За вчера
time.hours,{hours} ч.
time.minutes,{minutes} мин.
work.melter,Плавильщик
work.alchemist,Алхимик
work.miller,Мельник
work.pig_farmer,Свинопас
work.armorsmith,Бронник
work.barman,Трактирщик
work.drug_dealer,Барыга
work.brewer,Пивовар
work.builder,Строитель
work.caravaneer,Караванщик
work.carpenter,Плотник
work.coal_furnace,Углежог
work.farmer,Фермер
work.herbalist,Травник
work.inspector,Инспектор
work.jobless,Безработный
work.miner,Шахтер
work.paper_factory,Изготовитель бумаги
work.patrol,Патрульный
work.priest,Священник
work.salesman,Продавец
work.servant,Слуга
work.weaponsmith,Оружейник
work.woodcutter,Лесоруб
work.clerk,Клерк
work.gallows_inspector,Судья
work.chancellery_inspector,Канцлер
work.trainer,Тренер
social_class.dummy,Крестьянин
actor.loyalty_change_reason.happy,Хорошее настроение
actor.loyalty_change_reason.unhappy,Плохое настроение
actor.loyalty_change_reason.satisfied,Нормальное настроение
actor.loyalty_change_reason.gift,Получил награду
actor.loyalty_change_reason.threat,Получил угрозы
actor.loyalty_change_reason.bribe,Получил подкуп
actor.loyalty_change_reason.terror,Террор
actor.loyalty_change_reason.donate,Заставили отдать кольца
actor.loyalty_change_reason.bad_relation_to_king,Плохие отношения с королем
actor.loyalty_change_reason.good_relation_to_king,Хорошие отношения с королем
actor.loyalty_change_reason.seduced,Соблазнили
actor.loyalty_change_reason.seduce_task,Заставили соблазнить
actor.loyalty_change_reason.seduced_me,Меня соблазнили
actor.loyalty_change_reason.bad_day,Плохой день
battle_squad.no_orders,Нет приказов
battle_squad.caption,Отряд {commander_name}
battle_squad.bandits_squad,Отряд бандитов
battle_squad.average_mood,Среднее настроение
battle_squad.average_skill,Средний навык
battle_squad.equipment,Экипировка
battle_squad.on_legs,На ногах
knowledge.title,Знания
knowledge.title_second,И их обладатели
knowledge.technology,Технологии
knowledge.dogmas,Догмы
knowledge.holders,ОБЛАДАТЕЛИ ЗНАНИЯ
knowledge.usual,Обычная Технология
knowledge.advanced,Продвинутая технология
knowledge.ultra,Ультра Технология
knowledge.study,Изучить
knowledge.write,Написать
knowledge.rewrite,Переписать
knowledge.book.good_info,Изучается в меню знаний
knowledge.book.need_level,Для изучения рекомендуется {level} уровень <hint=hint_skill_knowledge>Интеллекта</hint> 
knowledge.book.dialect,<b>Книга написана на языке {dialect}</b>
knowledge.book.dialect_speakers,Носители языка: {speakers}
menu.knowledge.interaction,ВОЗДЕЙСТВИЕ
menu.knowledge.empty_menu,"Нет знаний для взаимодействия.
Приобрести их можно у торговца."
menu.knowledge.actor,ПЕРСОНАЖ
menu.knowledge.no_knowledge,Нет знаний
menu.knowledge.level,(ур.{lvl})
tech.building,{building_name}
tech.building_2,{building_name} и {building_name_2}
tech.building_resource,{building_name} и {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: Улучшение
tech.efficiency,{building_name}: Эффективность
tech.soil,Эффективное удобрение полей
tech.wood,Эффективная рубка леса
tech.survive,Уход за растениями
tech.pigfarm,Правильное кормление свиней
tech.repair,{building_name}. Экономный ремонт
tech.save.res,{building_name}. Экономия ресурсов
tech.no.break,{building_name}. Работа без поломок
tech.no.fire,{building_name}. Противопожарные меры
tech.no.trauma,{building_name}. Меры безопасности
tech.fast.building,Быстрое строительство
tech.fast.build.less.wood,Древесина. Экономное строительство
tech.fast.build.less.iron,Железо. Экономное строительство
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Запугивание бродяг
tech.loyalist_more,Основы лояльности
tech.preach_better,Эффективная проповедь 
tech.slaves_happiness,Счастье Пленников
tech.tanya_paper,Бумага Танайя
tech.crevav_swede,Тушеная брюква 
tech.drought_fight,Борьба с засухой
tech.longevity,Долгожительство
tech.addiction_resist,Как бороться с зависимостью
tech.fanatic_pretend,Ложный фанатизм
tech.marah_ale,Макха Эль
tech.right_nectar,Правильный нектар
tech.fertilize_cost_less,Удобряем правильно
tech.tree_more_wood,Правильная рубка 
tech.better_meat,Готовка Мяса 
tech.flirt_art,Искусство флирта
tech.voruns_moonshine,Самогон Варна
tech.dialect,Словарь языка {dialect_name}
tech.cutter,Головоруб
tech.axe_mastery,Владение топором 
tech.handfighter,Рукопашный бой
tech.tanya_shield,Щиты Танайя
tech.bow_mastery,Владение тетивой
tech.mace_stun,Оглушение палицей
tech.heavy_armor_wear,Ношение брони
tech.polite_trade,Вежливая торговля
tech.sin_mind_reducer,Как не беспокоиться о грехах
tech.tome,Том {number}
tech.common_good,Всеобщее благо
tech.joy_of_education,Радость просвещения
dialect.common,Имперский язык
dialect.tanaya,Танайя
dialect.voruns,Варна
dialect.gwelts,Кайден
dialect.makha,Макха
decor.signt_with_equipment,Экипированный знак
decor.bonfire,Костер
decor.sign,Знак
decor.sign_with_scull,Знак с черепом
decor.stone,Камень
decor.pile_of_skulls,Куча костей
decor.bush_1,Куст 1
decor.bush_2,Куст 2
decor.bush_3,Куст 3
decor.floor_remove,Удалить дорогу
decor.sub.statue,Истуканы
decor.sub.torch,Освещение
decor.sub.floor,Покрытия
decor.sub.other,Другое
decor.sub.trees,Растения
decor.banner,Баннер
decor.statue,Истукан
decor.floor_1,Светлый камень
decor.floor_2,Темный камень
decor.floor_3,Светлое дерево
decor.floor_4,Темное дерево
decor.stone_arch,Каменная арка
decor.torch,Факел
decor.plant,Растение
decor.bag,Мешок
decor.box,Ящик
decor.barrel,Бочка
restrictions.activity.beer,Употребление алкоголя
restrictions.activity.nectar,Употребление нектара
restrictions.activity.dice,Игра в кости
restrictions.activity.weapon,Ношение оружия
restrictions.activity.armor,Ношение брони
restrictions.eat.meat,Употребление мяса
actor.hint.slave.age,Возраст: {age} лет
actor.hint.slave.past,Прошлое: 
actor.culture,Культура: {culture}
actor.hint.slave.combat_skill,Навык боя: {skill}
actor.hint.slave.traums,Травмы:
actor.hint.slave.will_to_be_free,Воля к свободе
building.chancellery.need_charge,Для начала работы Канцелярии необходимо поставить бумагу
building.chancellery.charging,Рабочие в процессе переноски бумаги
building.chancellery.charged,"Канцелярия работает
Бумаги остается на {day} дня"
building.chacnellery.charge_abort,Отменить зарядку бумагой
building.chacnellery.charge,Зарядить бумагой
inspection.hint.today,Инспектировано сегодня
inspection.hint.yesterday,Инспектировано вчера
inspection.hint.not,Не инспектировано
inspection.closest_time,Инспекции начнут заканчиваться через {day}д {hour}ч
inspection.time,{day}д {hour}ч
inspection.remain_hours,{hour}ч
actor.loyalty.log,Изменение лояльности
menu.peoples.advice,Советы:
menu.sodliers.lack_of_equipment,Недостаток экипировки:
menu.migration.terror,"<hint=hint_migration>Миграция</hint> <red>остановилась</red>, пока в городе свирепствует <hint=hint_terror_peasants>террор</hint>"
menu.migration.one_village_burned,"<hint=hint_migration>Миграция</hint> <red>уменьшена</hint>, т.к. деревня в провинции была сожжена. Деревня восстановится через несколько дней."
menu.migration.all_village_burned,"<hint=hint_migration>Миграция</hint> <red>остановлена</hint>, т.к. все деревни в провинции были сожжены. Деревни восстановится через несколько дней."
menu.migration,$ Ожидается <hint=hint_migration>мигрантов</hint> сегодня: {peasant_migrants_today}
menu.migration.increased,<green>Миграция повышена</green>. До конца эффекта осталось {days} дней
menu.migration.decreased,<red>Миграция понижена</red>. До конца эффекта осталось {days} дней
actor.hint.no_sins,Нет грехов
social_strata.dummy,Крестьяне
social_strata.slaves,Пленники
social_strata.soldiers,Воины
social_strata.lords,Лорды
social_strata.animal,Животное
building.social_availability,ДОСТУПНО ДЛЯ
building.market_good_not_sell,НЕ ПРОДАВАТЬ
menu.trade.slave_final_cost,Итоговая цена
menu.trade.slave_base_cost,Базовая цена
menu.trade.slave_fertility_cost,Фертильность
menu.trade.slave_free_mind_cost,Не скучает по близким
menu.trade.slave_combat_cost,Навык боя
menu.trade.slave_age_cost,Возраст
menu.trade.slave_disability_cost,Инвалидность
menu.trade.slave_slowdown_cost,Замедлен
menu.trade.slave_faction_cost,Множитель
actor.matching.agree_to_sex,{lord_name} согласится пойти на свидание с этим лордом
actor.part_of_nature.heir,Наследник
actor.part_of_nature.commander,Полководец
actor.part_of_nature.queen,Супруг правителя
actor.name.hired_bandits,Нанятый головорез
actor.personality_trait_locked,"Не раскрыто. Прокачайте навык {skill_name} до 15 уровня, чтобы раскрыть эту черту."
king_role.strong_supporter,Сторонник силы
king_role.trader,Материалист
king_role.religious,Религиозный
king_role.order_supporter,Защитник порядка
king_role.suggestable,Внушаемый
king_role.liberator,Освободитель
king_role.lick,Эгалитарист
king_role.intriguant,Интриган
king_role.scientist,Мудрец
menu.missing_equipment.no_problems,Нет проблем
actor.deep_social.evil_joke,Издевательство
actor.deep_social.good_joke,Шутка
actor.deep_social.deep_talk,Душевное общение
actor.deep_social.abuse,Оскорбление
actor.deep_social.slight,Игнорирование
actor.deep_social.intrigue,Интрига
actor.deep_social.flattery,Лесть
actor.deep_social.sorry,Извинения
actor.deep_social.rumors,Слухи
actor.inspection_queue,Очередь инспекции
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} жителей в городе
knowledge.blocked_reason.knowledge_required,"Открыто знание ""{knowledge_name}"""
knowledge.blocked_reason.building_required,"Построено здание ""{building_name}"""
knowledge.blocked_reason.play_days,Поселение существует {days} дней
knowledge.blocked_reason.no,Условия соблюдены.
ceremony.wedding,Свадьба
ceremony.funeral,Сожжение
ceremony.coronation,Коронация
menu.choose_province.climate,Климат:
menu.choose_province.safety,Безопасность:
menu.choose_province.forest,Лес:
menu.choose_province.villages,Деревни:
menu.choose_province.resources,Ресурсы:
menu.choose_province.moderate,Умеренный
menu.choose_province.many,Много
menu.choose_province.high,Высокая
menu.playtest.welcome_caption,Добро пожаловать!
menu.demo.welcome,"Добро пожаловать!

Это демо включает полноценную игру,
ограниченную {demo_days_count} игровыми днями.
Многое еще находится в работе, так что заранее просим простить за ошибки и проблемы, которые
могут вам встретиться.

<right>Спасибо,
Команда Long Jaunt</right>"
menu.demo.alpha,"<b>Ранний доступ</b>

Многие аспекты игры, такие как:

$ Некоторые языки
$ Возможные ошибки
$ Оптимизация
$ и т.д.

Все еще в работе и будут улучшены."
menu.playtest.welcome,"Спасибо что приняли наше приглашение поиграть в плейтест версию Норланд.

Игра еще иногда крашится, в ней есть ошибки, в ней не хватает обновленных интерфейсов, но функционально это та версия, которую мы хотим отправить в релиз Раннего Доступа.

По итогам пожалуйста потратьте 2 минуты и <b>оставьте отзыв</b> (кнопка в главном меню).

Версия имеет ограничение в {demo_days_count} игровых дней.

<right>Спасибо,
Команда Long Jaunt</right>"
menu.demo.under_logo,Демо версия
menu.playtest.under_logo,Playtest Beta
menu.story,"Норланд, 2898 год от сотворения мира.

Прошло уже двести лет, как великая <b>Багровая империя</b> погибла в огне религиозной войны. Ее бывшие провинции стали варварскими королевствами, и от взаимного уничтожения их сдерживает только всемогущая <b>Церковь Святой Софии</b>.

В то время как святые пророки говорят о скором конце света, в одном из небольших королевств зарождается мечта о рождении новой империи..."
menu.new_game_story,"После долгого, изнурительного путешествия {soul_uuid_king}, подъезжая к дому, ожидал увидеть свою жену стоящую у дверей холла, но вместо этого к нему на встречу шел его брат. Выражение его лица не предвещало ничего хорошего.
- Мой король, не с радостными вестями я вас встречаю.
- Что произошло, {soul_uuid_brother}? Не медли, говори как есть.
Не смея посмотреть королю в глаза, {soul_uuid_brother}, запинаясь, начал рассказывать:
- На нас напали разбойники этой ночью, мы пытались отбиться, но их было слишком много.
- Они похитили вашу жену, и теперь просят выкуп.
- Тогда прикажи гонцу доставить все, что они просят!
- Но, мой король, вокруг нас враги, и может сейчас мы под защитой вассалитета, но вы сами знаете, что старому королю осталось недолго. Если у нас не будет достаточно золота и ресурсов, нам не выстоять. Нам нужна армия.
- Значит, ты предлагаешь мне бросить {soul_uuid_wife}?
- Пока у них есть надежда получить выкуп, они не тронут ее.
- Мне нужно время все обдумать. Ступай и жди моих указаний."
menu.new_game_story_header,Начало истории
menu.demo.finish.header,Конец истории
menu.demo.finish,"На этом дне демо-версия Норланд заканчивается...

Вы можете попробовать пройти игру с более сложными начальными настройками или другими навыками лордов

Спасибо что доиграли!"
menu.demo.finish.back_to_menu,Вернуться в меню
menu.settings.change_resolution.apply.header,Изменение настроек
menu.settings.change_resolution.apply.body,"Были изменены настройки разрешения экрана.
Для применения этих настроек, нажмите ""{accept_button_caption}"", иначе настройки будут отменены автоматически через {time_remain_seconds} секунд."
menu.hack_detected.header,Обнаружена модификация сохранения
menu.hack_detected,"Мы не можем гарантировать корректную работу игры после сторонних модификаций файлов сохранения.

Нам отправляют отчеты об ошибках, но мы не можем точно сказать, возникла ли ошибка из-за бага в игре или из-за стороннего вмешательства в файлы.

Это заставляет нас тратить время на поиск несуществующих ошибок, а не на исправление существующих, что негативно сказывается на качестве игры.

Поэтому мы вынуждены запретить модификацию файлов сохранения до момента релиза игры."
resource.not_available.by_synod,"Улучшите <hint=hint_relations_matriarch>отношения с Mатриархом</hint> до {number}, чтобы Святой караван начал продавать вам этот товар"
text.preposition,или
menu.ambition.screen_title,Амбиции Короля
menu.ambition.text,"Король решает, что настал час заявить об амбициях, которые определят будущее вашей благородной семьи. "
ambition.conquer,Завоевать
ambition.allias,Заключить союзы
ambition.populate_city,Заселить город
ambition.gain_population,Увеличить население
ambition.produce_goods,Произвести ресурсов
menu.ambition.complete_title,Амбиции достигнуты!
menu.ambition.complete,"Ваш король достиг свои целей и теперь наслаждается всеобщим признанием и уважением. 

Тем не менее, честолюбие королей не знает границ, и вскоре новые амбиции завладеют его умом..."
ambtion.button.ok,Принять
ambition.checkbox.conquer,<b>Завоеватель.</b> Власть - пусть к процветанию династии. Добавьте к своему государству <b>{vas_num} вассала или союзника.</b>
ambition.checkbox.allias,<b>Объединитель.</b> Только помогая друг другу мы выстоим. Расширьте ваш союз свободных городов на <b>{all_num} провинции</b>
ambition.checkbox.populate_city,тут про заселение города
ambition.checkbox.gain_population,<b>Плодовитый.</b> Чем больше население - тем больше силы. Увеличьте население провинции на <b>{pop_num} человек</b>.
ambition.checkbox.produce_goods,<b>Хозяйственный</b>. Экономика решает все. Достигните <b>ежедневного производства</b> товаров на сумму <hint=hint_resource_gold>{prod_num}</hint> (сейчас <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Автобой
menu.battle.retreat,"Ваша армия отступит из боя - это будет считаться поражением и сильно ударит по настроению воинов, но зато они сохранят свои жизни."
menu.battle.manually_battle,Бой на карте
ambition.title.conquer,Острый меч
ambition.title.allias,Крепкая рука
ambition.title.gain_population,Большое гнездо
ambition.title.produce_goods,Амбарная книга
ambition.resume,Продолжить амбиции прошлого короля
menu.resource_statistics.legend.title,Обозначения
menu.resource_statistics.legend.in_store,Какое количество ресурсов было на складе города
menu.resource_statistics.legend.production,Сколько ресурсов было произведено за рабочий день
menu.resource_statistics.legend.used,"Сколько ресурсов было потрачено на производство других ресурсов, и строительство зданий, а в случае с едой и алкоголем - сколько потребили лорды и пленники."
menu.resource_statistics.legend.in_use,Сколько ресурсов осталось на складах производственных зданий и в инвентаре воинов
menu.resource_statistics.legend.in_local_market,"Сколько было продано сегодня на местных рынках, в тавернах и притонах"
menu.resource_statistics.legend.caravan,Результаты торговли со Священным караваном
menu.resource_statistics.header.in_store,На центральном складе
menu.resource_statistics.header.production,Произведено
menu.resource_statistics.header.used,Использовано
menu.resource_statistics.header.in_use,На складах зданий и у воинов
menu.resource_statistics.header.in_local_market,Локальный рынок
menu.resource_statistics.header.caravan,Торговля с Святым караваном
menu.resource_statistics.no_data,Статистика появится завтра
study.complex,Общее обучение
soul.tab.logs,ИСТОРИЯ
tech.war_logistic,Военная логистика Том {vol}
tech.prisoners,Пленные
building.menu.lvl,Ур {lvl}
building.menu.resources,СКЛАД ЗДАНИЯ
building.menu.workers_road_time,ВРЕМЯ НА ДОРОГУ
building.menu.to_workplace,На рабочее место:
building.menu.to_warehouse,На склад:
building.menu.priority,Приоритет
building.menu.produced,ПРОИЗВЕДЕНО
building.menu.workers_bonus,Бонус рабочих:
building.menu.manager_bonus,Бонус инспекции:
building.menu.workers,РАБОЧИЕ
building.menu.instructions,ИНСТРУКЦИИ
building.menu.set_inspector,Назначить управляющего
"building.menu,inspection_bonus",Бонус:
building.menu.builld_first,Строить приоритетно
building.menu.upgrade,Улучшить
building.menu.ship_now,"Отправить готовую
продукцию"
options_menu.audio.voice_volume,ГРОМКОСТЬ ГОЛОСА
building.prefer.noone,Без приоритета
building.prefer.nectar,Нектарозависимые
building.prefer.slaves,Пленники
building.prefer.loyalist,Лоялисты
building.prefer.culture,{culture}
building.prefer.all,Автоматически
display_event.communication_lost,{faction_name}: Связь утеряна
building.menu.terror_all,Всех {count}
building.menu.terror_no,Нет
building.menu.terror_culture,{culture} {count}
building.menu.execution,НАКАЗАНИЕ
building.menu.terror,Террор
building.menu.daily_statistic,ЕЖЕДНЕВНАЯ СТАТИСТИКА
building.menu.intimidations,Запугиваний
building.menu.path_calculation,Рассчитывается
building.menu.path_cant_find,Не существует
time.hour_minut,{hour}ч {minut}м
time.minut,{minut}м
actor.social_strata.dummy,Простолюдин
notification.sex_treason_with_dummy,{name_initiator} изменяет супругу с простолюдином
building.menu.building_resources,СТРОИТЕЛЬНЫЕ РЕСУРСЫ
chancellery.inspection_bonus,"Бонус к производству от инспекций соответствует навыку Управления лорда, руководящего Канцелярией: {bonus}%"
menu.army.new_army.warriors_count,
menu.army.new_army.weapons_count,
tech.poisoner,Секреты ядов
menu.building.church.morning_service_stat,СТАТИСТИКА ПОСЛЕДНЕЙ ПРОПОВЕДИ
menu.building.church.gathering_time,Время сбора:
menu.building.church.congregation,Прихожане:
menu.building.church.sermons,ПРОПОВЕДЬ
menu.buidling.church.fanatics,Фанатики: +{count}
menu.buidling.church.agnostics,Агностики: +{count}
building.menu.workplace.clerks,КЛЕРКИ
building.menu.refill_auto,Пополнять автоматически
building.menu.inspections_delivered,Инструкций выдано: {count}
building.menu.living.residents,ЖИТЕЛИ ({current} / {max})
building.menu.sold_today,ПРОДАНО СЕГОДНЯ
building.menu.guards,СТРАЖНИКИ
family.son_of,Сын
family.daughter_of,Дочь
display_event.mountains_bandits_prepare_to_attack,Мародеры готовятся к нападению на ваш город
actor.mood,Настроение
building.description.library,Здесь лорды ведут работы со знаниями
building.description.decor,Радует глаз
building.description.altar,Место проведения церемоний и сожжений
building.menu.crimes_prevented,Остановлено преступлений
norland.plot_day_4_header,Новая империя
norland.plot_day_4_body,"Цивилизация исчезает постепенно, процесс может длиться столетиями и простые жители ничего не замечают до самого конца. Но правитель знающий историю должен понимать, что только объединив враждующие королевства он сможет предотвратить наступление темных веков.

Норланд находится сейчас на распутье. Церковь уже давно не справляется с вызовами. Часто вспыхивающие войны, голод и болезни стали обыденностью. Технологии и знания еще не потеряны, но если ничего не предпринять, они в скором времени исчезнут, а сними исчезнет и цивилизация.

Надежда всегда есть, но для этого вы должны:

$ Объединить <b>{goal_number}</b> провинций Норланда под вашим контролем - как король вассального государства или как лидер союза свободных городов.
$ Объявить себя новым Императором и бросить вызов церковной Инквизиции."
norland.plot.end_game_header,Новая империя: Последняя битва
norland.plot.end_game,"""Карта Норланда лежит передо мною. На ней - {goal_number} королей, которые подчиняются мне и уважают меня. Настало время принять корону империи и бросить вызов Церкви Святой Софии. Когда Инквизиция сломает зубы об мою армию, весь мир признает меня императором и Камень Веры падет к моим ногам. Итак, осталось последнее испытание.""

$ Когда будете готовы, провозгласите себя Императором новой империи (действие короля).
$ Разбейте Святую Инквизицию на поле боя, чтобы отстоять титул и победить в игре."
ambitions.province_under_control,"<b>Новая империя</b>
Объедините <b>{goal_number}</b> провинций Норланда - как король вассального королевства или как лидер союза свободных городов.

Провинций под контролем: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,Король {king_name} из {faction_name} просит помощь против {danger_faction_name}
display_event.global_map_ai_declare_peace,Король {king_name} из {faction_name} предлагает заключить мирное соглашение
display_event.global_map_ai_invite_to_alliance,Король {king_name} из {faction_name} предлагает вступить в союз
main_menu.continue_without_tutorial,Начать без обучения
display_event.build_library,Постройте библиотеку
main_menu.warning,Внимание!
display_event.retrieve_bishop,Епископ покидает провинцию
display_event.holy_family_below_zero,Вы теряете расположение Матриарха!
resource.product_requirement.technology,Изучите технологию <b>{technology}</b>
resource.product_requirement.building,Постройте здание <b>{building}</b>
main_menu.continue_start_tutorial,Пройти обучение
main_menu.new_game.family.members.default,Два брата и жена
actor.faction_from,из {town}
new_game.province_difficulty.easy,Легкая
new_game.province_difficulty.normal,Нормальная
new_game.province_difficulty.hard,Сложная
new_game.province_difficulty.recommended,Рекомендовано для начинающих игроков
display_event.loan_will_be_expired_soon,Скоро нужно будет вернуть долг {faction_name}
main_menu.new_game.family.recommended_for_newbs,Рекомендованные настройки навыков для сбалансированной игры
new_game.province_difficulty.header,Сложность:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Отношения с соседями не испортятся</green>
building.menu.terror_fanatics,Фанатики {count}
global_map.relation_aftermath,$ Отношения с соседями: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Отношения с {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Последствия</b>:
tech.kaiden_army,Армия кайденов
tech.makha_trade,Торговля макха
tech.makha_fanatic_terror,Террор фанатиков
tech.econom_writing,Экономное письмо
tech.faith_defender,Защита веры
tech.kaiden_training,Тренировка кайден
tech.kaiden_loyalist,Вечные лоялисты
tech.makha_secret_deals,Секретные сделки
display_event.holy_protection_will_removed_soon,Защита Любящей семьи скоро будет снята!
display_event.holy_protection_was_removed,Защита Любящей семьи снята!
display_event.holy_protection,Защита Любящей семьи
display_event.swede_typh_allowed,Брюквенный тиф
tutorial_events.disabled,Отключено
tutorial_events.articles_only,Только статьи
tutorial_events.articles_and_advices,Статьи и советы
soul.from_faction,{soul_uuid} из {faction_uuid}
gui.living_place.appoint.header,Заселить
actor.loyalty_2,Лояльность
actor.important_persons,ВАЖНЫЕ ПЕРСОНЫ
encyclopedia.popup_window.okay,Понятно
encyclopedia.popup_window.read_full,Дальше
actor.opinion.interest_simple,Интерес
free_lord.first_hire,Скидка на первый найм {first_hire_discount}%
menu.knowledge.longer_time,"Из-за низкого навыка изучение займет больше времени!

Уровень знания {tech_level}
Уровень лорда {lord_level}"
menu.knowledge.write_time,$ Написание книги займет <b>{learn_time}ч</b>
menu.knowledge.learn_time,$ Изучение этой книги займет <b>{learn_time}ч.</b>
