Key,Deutsch
menu.knowledge.actor,PERSON
menu.knowledge.no_knowledge,Kein Wissen
menu.knowledge.level,(St. {lvl})
tech.building,{building_name}
tech.building_2,{building_name} und {building_name_2}
tech.building_resource,{building_name} und {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: Aufwerten
tech.efficiency,{building_name}: Effizienz
tech.soil,Effiziente Felddüngung
tech.wood,Effizientes Holzfällen
tech.survive,Pflanzenpflege
tech.pigfarm,Richtige Schweinefütterung
tech.repair,{building_name}. Wirtschaftliche Reparaturen
tech.save.res,{building_name}. Ressourcen sparen
tech.no.break,{building_name}. Arbeiten ohne Unterbrechungen
tech.no.fire,{building_name}. Brandschutzmaßnahmen
tech.no.trauma,{building_name}. Sicherheitsmaßnahmen
tech.fast.building,Schnelles Bauen
tech.fast.build.less.wood,Holz. Wirtschaftliches Bauen
tech.fast.build.less.iron,Eisen. Wirtschaftliches Bauen
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Einschüchtern von Landstreichern
tech.loyalist_more,Grundlagen der Loyalität
tech.preach_better,Effektives Predigen
tech.slaves_happiness,Zufriedenheit von Sklaven
tech.tanya_paper,Tanaya-Papier
tech.crevav_swede,Geschmorte Steckrübe
tech.drought_fight,Bekämpfung von Dürre
tech.longevity,Langlebigkeit
tech.addiction_resist,Wie man mit Suchtkranken verfährt
tech.fanatic_pretend,Falscher Fanatismus
tech.marah_ale,Makha-Ale
tech.right_nectar,Der richtige Nektar
tech.fertilize_cost_less,Korrektes Düngen
tech.tree_more_wood,Richtiges Holzfällen
tech.better_meat,Fleischzubereitung
tech.flirt_art,Die Kunst des Schäkerns
tech.voruns_moonshine,Varn-Schnaps
tech.dialect,{dialect_name}-Wörterbuch
tech.cutter,Kopfhacker
tech.axe_mastery,Richtiger Umgang mit der Axt
tech.handfighter,Unbewaffneter Nahkampf
tech.tanya_shield,Tanaya-Schilde
tech.bow_mastery,Meisterliche Bogensehnen
tech.mace_stun,Streitkolbenschlag
tech.heavy_armor_wear,Tragen von Rüstungen
tech.polite_trade,Richtiges Handeln
tech.sin_mind_reducer,Keine Sorgen wegen Sünden
tech.tome,Band {number}
tech.common_good,Gemeinwohl
tech.joy_of_education,Freude an der Aufklärung
dialect.common,Imperiale Sprache
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Ausgerüstetes Zeichen
decor.bonfire,Lagerfeuer
decor.sign,Zeichen
decor.sign_with_scull,Schädelzeichen
decor.stone,Stein
decor.pile_of_skulls,Knochenhaufen
decor.bush_1,Busch 1
decor.bush_2,Busch 2
decor.bush_3,Busch 3
decor.floor_remove,Straße entfernen
decor.sub.statue,Statuen
decor.sub.torch,Beleuchtung
decor.sub.floor,Böden
decor.sub.other,Andere
decor.sub.trees,Pflanzen
decor.banner,Banner
decor.statue,Statue
decor.floor_1,Heller Stein
decor.floor_2,Dunkler Stein
decor.floor_3,Helles Holz
decor.floor_4,Dunkles Holz
decor.stone_arch,Steinbogen
decor.torch,Fackel
decor.plant,Pflanze
decor.bag,Sack
decor.box,Kiste
decor.barrel,Fass
restrictions.activity.beer,Alkoholkonsum
restrictions.activity.nectar,Nektarkonsum
restrictions.activity.dice,Würfelspiel
restrictions.activity.weapon,Tragen von Waffen
restrictions.activity.armor,Tragen von Rüstung
restrictions.eat.meat,Fleischkonsum
actor.hint.slave.age,Alter: {age} Jahre
actor.hint.slave.past,Vergangenheit:
actor.culture,Kultur: {culture}
actor.hint.slave.combat_skill,Kampffähigkeit: {skill}
actor.hint.slave.traums,Verletzungen:
actor.hint.slave.will_to_be_free,Drang nach Freiheit
building.chancellery.need_charge,"Du musst Papier bereitstellen, damit die Arbeit in der Kanzlei beginnen kann"
building.chancellery.charging,Die Arbeiter transportieren momentan Papier
building.chancellery.charged,"Die Kanzlei ist in Betrieb
 Papier reicht für {day} Tag(e)"
building.chacnellery.charge_abort,Papiernachschub abbrechen
building.chacnellery.charge,Mit Papier versorgen
inspection.hint.today,Heute inspiziert
inspection.hint.yesterday,Gestern inspiziert
inspection.hint.not,Nicht inspiziert
inspection.closest_time,Inspektionen enden in {day} T {hour} h
inspection.time,{day} T {hour} h
inspection.remain_hours,{hour} h
actor.loyalty.log,Loyalität geändert
menu.peoples.advice,Tipps:
menu.sodliers.lack_of_equipment,Fehlende Ausrüstung:
menu.migration.terror,"Es findet <red>keine</red> <hint=hint_migration>Zuwanderung</hint> statt, solange der <hint=hint_terror_peasants>Terror</hint> die Stadt <red>regiert</red>."
menu.migration.one_village_burned,"Die <hint=hint_migration>Zuwanderung</hint> <red>ist zurückgegangen</red>, da ein Dorf in der Provinz niedergebrannt ist. Das Dorf wird in einigen Tagen wiederaufgebaut."
menu.migration.all_village_burned,"Die <hint=hint_migration>Zuwanderung</hint> <red>wurde gestoppt</red>, da alle Dörfer in der Provinz niedergebrannt sind. Die Dörfer werden in einigen Tagen wiederaufgebaut werden."
menu.migration,$ Heute erwartete <hint=hint_migration>Zuwanderer</hint>: {peasant_migrants_today}
menu.migration.increased,<green>Zuwanderung erhöht</green>. Der Effekt hält noch {days} Tag(e) an.
menu.migration.decreased,<red>Zuwanderung reduziert</red>. Der Effekt hält noch {days} Tag(e) an.
actor.hint.no_sins,Keine Sünden
social_strata.dummy,Bauern
social_strata.slaves,Sklaven
social_strata.soldiers,Krieger
social_strata.lords,Lords
social_strata.animal,Tier
building.social_availability,VERFÜGBAR FÜR
building.market_good_not_sell,KEIN VERKAUF
menu.trade.slave_final_cost,Letzter Preis
menu.trade.slave_base_cost,Grundpreis
menu.trade.slave_fertility_cost,Fruchtbarkeit
menu.trade.slave_free_mind_cost,Vermisst keine Liebsten
menu.trade.slave_combat_cost,Kampffähigkeiten
menu.trade.slave_age_cost,Alter
menu.trade.slave_disability_cost,Behinderung
menu.trade.slave_slowdown_cost,Verlangsamt
menu.trade.slave_faction_cost,Multiplikator
actor.matching.agree_to_sex,{lord_name} wird einem Rendezvous mit diesem Lord zustimmen
actor.part_of_nature.heir,Erbe
actor.part_of_nature.commander,Kommandant
actor.part_of_nature.queen,Partner des Machthabers
actor.name.hired_bandits,Angeheuerter Handlanger
actor.personality_trait_locked,"Geheim. Bringe die Fähigkeit {skill_name} auf Stufe 15, um diese Eigenschaft freizuschalten."
king_role.strong_supporter,Machtbefürworter
king_role.trader,Materialist
king_role.religious,Religiös
king_role.order_supporter,Wächter der Ordnung
king_role.suggestable,Beeinflussbar
king_role.liberator,Befreier
king_role.lick,Verfechter der Gleichheit
king_role.intriguant,Intrigant
king_role.scientist,Weiser
menu.missing_equipment.no_problems,Keine Probleme
actor.deep_social.evil_joke,Spott
actor.deep_social.good_joke,Scherz
actor.deep_social.deep_talk,Tiefgründiges Gespräch
actor.deep_social.abuse,Beleidigung
actor.deep_social.slight,Ignoranz
actor.deep_social.intrigue,Intrige
actor.deep_social.flattery,Schmeichelei
actor.deep_social.sorry,Entschuldigung
actor.deep_social.rumors,Gerüchte
actor.inspection_queue,Inspektionswarteschlange
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} Bewohner in der Stadt
knowledge.blocked_reason.knowledge_required,{knowledge_name} wurde freigeschaltet
knowledge.blocked_reason.building_required,Gebäude „{building_name}“ errichtet
knowledge.blocked_reason.play_days,Die Stadt existiert seit {days} Tagen
knowledge.blocked_reason.no,Die Bedingungen wurden erfüllt.
ceremony.wedding,Hochzeit
ceremony.funeral,Begräbnis
ceremony.coronation,Krönung
menu.choose_province.climate,Klima:
menu.choose_province.safety,Sicherheit:
menu.choose_province.forest,Wald:
menu.choose_province.villages,Dörfer:
menu.choose_province.resources,Ressourcen:
menu.choose_province.moderate,Mäßig
menu.choose_province.many,Reichlich
menu.choose_province.high,Hoch
menu.playtest.welcome_caption,Willkommen!
menu.demo.welcome,"Willkommen!
 
 Diese Demoversion bietet ein umfassendes Spielerlebnis, das lediglich auf {demo_days_count} Tage (im Spiel) begrenzt ist.
 
 Viele Aspekte befinden sich derzeit noch in der Entwicklungsphase, wir entschuldigen uns also vorab für mögliche Fehler und Probleme, mit denen ihr es möglicherweise zu tun bekommt.
 
 <right>Vielen Dank,
 das Team von Long Jaunt</right>"
menu.demo.alpha,"<b>Early Access</b>
 
 Viele Aspekte des Spiels wie etwa
 
 $ Einige Sprachen
 $ Mögliche Bugs
 $ Optimierung
 $ etc.
 
 befinden sich derzeit noch in Arbeit und werden ständig verbessert."
menu.playtest.welcome,"Danke, dass du unserer Einladung zum aktuellen Spieltest von Norland nachgekommen bist.
 
 Das Spiel stürzt immer noch gelegentlich ab, enthält Fehler und umfasst keine aktualisierten Benutzeroberflächen – doch rein funktionell handelt es sich um die Version, die wir auch im Early Access veröffentlichen wollen.
 
 Bitte nimm dir 2 Minuten Zeit, um am Ende des Spiels (über die Schaltfläche im Hauptmenü) <b>Feedback zu hinterlassen</b>.
 
 Die Version ist auf {demo_days_count} Spieltage limitiert.
 
 <right>Vielen Dank,
 das Team von Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Beta-Spieltest
menu.story,"Norland, im Jahr 2898 seit der Weltenschöpfung.
 
 Zweihundert Jahre sind vergangen, seit das große <b>Purpurne Reich</b> in den Flammen des Religionskrieges zugrunde ging. Seine ehemaligen Provinzen wurden zu barbarischen Königreichen, die nur durch die <b>Kirche der Mutter Sophia</b> von ihrer gegenseitigen Zerstörung abgehalten wurden.
 
 Während die heiligen Propheten das bevorstehende Ende der Welt verkünden, nimmt der Traum von einem neuen Imperium in einem der kleinen Königreiche langsam Gestalt an ..."
menu.new_game_story,"Nach einer langen, beschwerlichen Reise kehrte {soul_uuid_king} nach Hause zurück und erwartete, von seiner Gemahlin am Tor zur Halle empfangen zu werden. Doch stattdessen trat ihm dort sein Bruder entgegen. Der Ausdruck in seinem Gesicht verhieß nichts Gutes.
 
 „Mein König, ich bringe Euch keine erfreulichen Nachrichten.“
 „Was ist geschehen, {soul_uuid_brother}? Zögere nicht, heraus mit der Wahrheit.“
 {soul_uuid_brother} wagte es nicht, dem König in die Augen zu schauen und stotterte, als er schließlich wieder zu sprechen begann:
 „Letzte Nacht wurden wir von Banditen überfallen. Wir versuchten uns zu verteidigen, doch es waren zu viele. Sie haben Eure Gemahlin entführt und verlangen nun ein Lösegeld.“
 „Dann schick einen Boten und lass ihnen überbringen, was auch immer sie fordern!“
 „Aber mein König, wir sind von Feinden umzingelt. Zwar stehen wir fürs Erste unter dem Schutz des Vasallentums, doch Ihr wisst, dass die Zeit des alten Königs langsam zu Ende geht. Wenn wir nicht genügend Gold und Ressourcen haben, können wir keinen Widerstand leisten. Wir brauchen eine Armee.“
 „Du schlägst also vor, dass ich {soul_uuid_wife} aufgeben soll?“
 „Solange sie eine Hoffnung auf das versprochene Lösegeld hegen, werden sie ihr nichts antun.“
 „Ich brauche Zeit, um mir das zu überlegen. Geh nun und erwarte meine Anweisungen.“"
menu.new_game_story_header,Der Anfang der Geschichte
menu.demo.finish.header,Ende der Geschichte
menu.demo.finish,"Hier endet die Demoversion von Norland ...
 
 Du kannst das Spiel mit anspruchsvolleren Standardeinstellungen oder anderen Lord-Einstellungen erneut spielen.
 
 Danke fürs Durchspielen!"
menu.demo.finish.back_to_menu,Zurück zum Menü
menu.settings.change_resolution.apply.header,Einstellungen ändern
menu.settings.change_resolution.apply.body,"Die Auflösungseinstellungen wurden geändert.
 Drücke „{accept_button_caption}“, um diese Einstellungen beizubehalten, ansonsten werden die Einstellungen automatisch in {time_remain_seconds} Sekunden zurückgesetzt."
menu.hack_detected.header,Modifikation eines Spielstands entdeckt
menu.hack_detected,"Wir können eine ordnungsgemäße Funktion des Spiels nach Modifikationen durch Drittanbieter an gespeicherten Spielständen nicht garantieren.
 
 Fehlerberichte werden an uns übermittelt, wir können jedoch nicht mit Gewissheit sagen, ob spielinterne Fehler oder Interferenzen von Drittanbietern mit den zugrunde liegenden Dateien ursächlich sind.
 
 Dadurch sind wir dazu gezwungen, unsere Zeit mit der Suche nach inexistenten Fehlern zu verbringen, anstatt bestehende Fehler auszumerzen – was sich negativ auf die Spielqualität auswirkt.
 
 Wir sehen uns daher gezwungen, die Modifikation von Spielständen zu verbieten, bis die Vollversion des Spiels veröffentlicht wurde."
resource.not_available.by_synod,"Verbessere deine <hint=hint_relations_matriarch>Beziehungen zur Matriarchin</hint> um {number}, damit die Heilige Karawane dieses Produkt zum Kauf anbietet."
text.preposition,oder
menu.ambition.screen_title,Königliche Ambitionen
menu.ambition.text,"Der König beschließt, dass es an der Zeit ist, jene Ambitionen zu verlautbaren, welche die Zukunft deiner Adelsfamilie bestimmen werden."
ambition.conquer,Erobern
ambition.allias,Allianzen bilden
ambition.populate_city,Eine Stadt besiedeln
ambition.gain_population,Bevölkerung erhöhen
ambition.produce_goods,Ressourcen produzieren
menu.ambition.complete_title,Ambitionen verwirklicht!
menu.ambition.complete,"Dein König hat seine Ziele erreicht! Nun wird ihn jeder als {soul_uuid_1} <b>{name} kennen!</b> 
 
 Allerdings kennt der Ehrgeiz von Königen keine Grenzen und bald werden neue Ambitionen seinen Verstand füllen ..."
ambtion.button.ok,Annehmen
ambition.checkbox.conquer,<b>Eroberer.</b> Macht sichert das Wohlergehen der Dynastie. Füge deinem Königreich <b>{vas_num} Vasallen</b> hinzu.
ambition.checkbox.allias,"<b>Einiger.</b> Wir sind nur stark, wenn wir uns gegenseitig helfen. Erweitere deine Allianz der freien Städte auf <b>{all_num} Provinzen</b>."
ambition.checkbox.populate_city,So besiedelt man Städte.
ambition.checkbox.gain_population,"<b>Fruchtbar.</b> Je mehr Bevölkerung, desto mehr Stärke. Erhöhe die Bevölkerung der Provinz um <b>{pop_num} Einwohner</b>."
ambition.checkbox.produce_goods,<b>Wirtschafter.</b> Die Wirtschaft entscheidet alles. Erreiche eine <b>Tagesproduktion</b> von Waren im Wert von <b><hint=hint_resource_gold>{prod_num}</hint></b>. (jetzt <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Autom. Schlacht
menu.battle.retreat,"Deine Armee wird sich aus der Schlacht zurückziehen – dies wird als Niederlage gewertet und die Laune deiner Krieger verschlechtern, aber ihnen das Leben retten."
menu.battle.manually_battle,Schlacht auf der Karte
ambition.title.conquer,Scharfes Schwert
ambition.title.allias,Starker Arm
ambition.title.gain_population,Großes Nest
ambition.title.produce_goods,Kornkammer
ambition.resume,Vorige Ambition wiederaufnehmen
menu.resource_statistics.legend.title,Bedeutung der Statistiken
menu.resource_statistics.legend.in_store,Die Menge der Ressourcen im Lagerhaus der Stadt
menu.resource_statistics.legend.production,Die Menge der an einem Arbeitstag produzierten Ressourcen
menu.resource_statistics.legend.used,"Die Menge an Ressourcen, die für die Produktion anderer Ressourcen und die Errichtung von Gebäuden aufgewendet wurden. Im Fall von Nahrung und Alkohol: die Menge, die von Lords und Sklaven verbraucht wurde."
menu.resource_statistics.legend.in_use,Die in den Lagerhäusern der Produktionsgebäude sowie im Inventar von Kriegern verbleibenden Ressourcen
menu.resource_statistics.legend.in_local_market,"Alles, was am heutigen Tag an örtlichen Märkten bzw. in Tavernen und Rauschhöhlen verkauft wurde."
menu.resource_statistics.legend.caravan,Das Ergebnis der Handelstätigkeit mit der Heiligen Karawane
menu.resource_statistics.header.in_store,Auf Lager
menu.resource_statistics.header.production,Produktion
menu.resource_statistics.header.used,Benutzt
menu.resource_statistics.header.in_use,In den Lagerhäusern von Gebäuden bzw. im Inventar von Kriegern
menu.resource_statistics.header.in_local_market,Örtlicher Markt
menu.resource_statistics.header.caravan,Handel mit der Heiligen Karawane
menu.resource_statistics.no_data,Die Werte werden morgen angezeigt
study.complex,Allgemeine Ausbildung
soul.tab.logs,GESCHICHTE
tech.war_logistic,Militärlogistik Band {vol}
tech.prisoners,Sklaven
building.menu.lvl,St. {lvl}
building.menu.resources,GEBÄUDELAGER
building.menu.workers_road_time,ARBEITER-WEGZEIT
building.menu.to_workplace,Zum Arbeitsplatz:
building.menu.to_warehouse,Zum Lagerhaus:
building.menu.priority,Priorität
building.menu.produced,PRODUZIERT
building.menu.workers_bonus,Arbeiterbonus:
building.menu.manager_bonus,Verwalterbonus:
building.menu.workers,ARBEITER
building.menu.instructions,ANWEISUNGEN
building.menu.set_inspector,Verwalter ernennen
"building.menu,inspection_bonus",Bonus:
building.menu.builld_first,Baue dies zuerst
building.menu.upgrade,Aufwerten
building.menu.ship_now,"Liefere die produzierten
 Waren jetzt"
options_menu.audio.voice_volume,STIMMLAUTSTÄRKE
building.prefer.noone,Keine Priorität
building.prefer.nectar,Nektarsüchtiger
building.prefer.slaves,Sklaven
building.prefer.loyalist,Loyalisten
building.prefer.culture,{culture}
building.prefer.all,Automatisch
display_event.communication_lost,{faction_name}: Keine Kommunikation mehr
building.menu.terror_all,Alle {count}
building.menu.terror_no,Nein
building.menu.terror_culture,{culture} {count}
building.menu.execution,HINRICHTUNG
building.menu.terror,Terror
building.menu.daily_statistic,TÄGLICHE STATISTIK
building.menu.intimidations,Einschüchterungen
building.menu.path_calculation,Wird berechnet
building.menu.path_cant_find,Nicht gefunden
time.hour_minut,{hour} h {minut} min.
time.minut,{minut} min.
actor.social_strata.dummy,Gemeiner
notification.sex_treason_with_dummy,{name_initiator} betrügt seine Gemahlin mit einer Gemeinen
building.menu.building_resources,GEBÄUDERESSOURCEN
chancellery.inspection_bonus,Der Produktionsbonus von Inspektionen entspricht der Stufe der Verwaltungsfähigkeit des Lords an der Spitze der Kanzlei: {bonus} %.
menu.army.new_army.warriors_count,{warriors_count} Krieger
menu.army.new_army.weapons_count,{weapons_count} Waffen
tech.poisoner,Giftige Geheimnisse
menu.building.church.morning_service_stat,STATISTIK DER LETZTEN PREDIGT
menu.building.church.gathering_time,Dauer:
menu.building.church.congregation,Gemeinde:
menu.building.church.sermons,PREDIGTEN
menu.buidling.church.fanatics,Fanatiker: +{count}
menu.buidling.church.agnostics,Agnostiker: +{count}
building.menu.workplace.clerks,BEAMTE
building.menu.refill_auto,Automatisch nachfüllen
building.menu.inspections_delivered,Übermittelte Anweisungen: {count}
building.menu.living.residents,BEWOHNER ({current} / {max})
building.menu.sold_today,HEUTE VERKAUFT
building.menu.guards,WACHEN
family.son_of,Sohn von
family.daughter_of,Tochter von
display_event.mountains_bandits_prepare_to_attack,Plünderer bereiten einen Angriff auf deine Stadt vor
actor.mood,Laune
building.description.library,Hier arbeiten die Lords an ihrem Wissenserwerb
building.description.decor,Ein Augenschmaus
building.description.altar,Ort der Zeremonien und der Verbrennungen
building.menu.crimes_prevented,Verbrechen verhindert
norland.plot_day_4_header,Das Neue Imperium
norland.plot_day_4_body,"Der Niedergang von Zivilisationen erfolgt schrittweise. Der Prozess kann sich jahrhundertelang hinziehen und wird von gewöhnlichen Bürgern mitunter erst kurz vor dem Ende bemerkt. Doch ein geschichtskundiger Herrscher muss begreifen, dass nur eine Vereinigung kriegführender Königreiche den Einbruch dunkler Zeiten verhindern kann.
 
 Norland befindet sich an einem Scheideweg. Die Kirche sieht sich seit langer Zeit außer Stande, die vielfältigen Herausforderungen des Volkes zu bewältigen. Kriege, Hungersnöte und Seuchen sind keine Seltenheit mehr. Technologien und Wissen sind noch nicht verloren, wenn jedoch nichts geschieht, wird beides verschwinden – und mit ihnen die Zivilisation.
 
 Es besteht immer Hoffnung, doch du musst Folgendes tun:
 
 $ Vereinige <b>{goal_number}</b> Provinzen Norlands unter deiner Kontrolle – entweder als König eines Vasallenstaats oder als Anführer einer Allianz der Freien Städte.
 $ Erkläre dich selbst zum neuen Imperator und fordere die kirchliche Inquisition heraus."
norland.plot.end_game_header,Das Neue Imperium: Die letzte Schlacht
norland.plot.end_game,"„Vor mir liegt die Karte von Norland. Darauf zu sehen ... {goal_number} Könige, die mir gehorchen und Respekt zollen. Es ist Zeit, die Krone des Imperiums zu übernehmen und die Kirche der Mutter Sophia herauszufordern. Wenn sich die Inquisition an meiner Armee die Zähne ausbeißt, wird mich die ganze Welt als Imperator anerkennen und der Stein des Glaubens zu meinen Füßen fallen. Die letzte Prüfung steht bevor.“
 
 $ Erkläre dich selbst zum Imperator des neuen Imperiums, sobald du bereit dazu bist (Aktion des Königs).
 $ Besiege die Heilige Inquisition auf dem Schlachtfeld, um dir den Titel zu sichern und das Spiel zu gewinnen."
ambitions.province_under_control,"<b>Das Neue Imperium</b>
 
 Vereinige <b>{goal_number}</b> Provinzen von Norland – als König eines Vasallenstaats oder als Anführer der Allianz der Freien Städte.
 
 Provinzen unter deiner Kontrolle: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,König {king_name} der Fraktion „{faction_name}“ bittet um Unterstützung gegen die Fraktion „{danger_faction_name}“
display_event.global_map_ai_declare_peace,König {king_name} der Fraktion „{faction_name}“ schlägt ein Friedensabkommen vor
display_event.global_map_ai_invite_to_alliance,"König {king_name} der Fraktion „{faction_name}“ bietet an, sich der Allianz anzuschließen"
main_menu.continue_without_tutorial,Ohne Tutorial beginnen
display_event.build_library,Errichte eine Bibliothek
main_menu.warning,Warnung!
display_event.retrieve_bishop,Bischof verlässt Provinz
display_event.holy_family_below_zero,Du hast die Gunst der Matriarchin verloren!
resource.product_requirement.technology,Technologie studieren: <b>{technology}</b>
resource.product_requirement.building,Gebäude errichten: <b>{building}</b>
main_menu.continue_start_tutorial,Mit Tutorial beginnen
main_menu.new_game.family.members.default,"2 Brüder, eine Ehefrau"
actor.faction_from,aus {town}
new_game.province_difficulty.easy,Einfach
new_game.province_difficulty.normal,Normal
new_game.province_difficulty.hard,Schwierig
new_game.province_difficulty.recommended,Für Anfänger empfohlen
display_event.loan_will_be_expired_soon,Baldige Rückzahlung an {faction_name} erforderlich
main_menu.new_game.family.recommended_for_newbs,Empfohlene Schwierigkeitseinstellungen für ein ausgewogenes Spiel
new_game.province_difficulty.header,Schwierigkeitsgrad:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Nachbarschaftsbeziehungen verschlechtern sich nicht</green>.
building.menu.terror_fanatics,Fanatiker: {count}
global_map.relation_aftermath,$ Beziehungen zu Nachbarn: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Beziehungen zu {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Konsequenzen</b>:
tech.kaiden_army,Kaiden-Armee
tech.makha_trade,Makha-Handel
tech.makha_fanatic_terror,Terror durch Fanatiker
tech.econom_writing,Kosteneffektives Schreiben
tech.faith_defender,Glaubensverteidigung
tech.kaiden_training,Kaiden-Ausbildung
tech.kaiden_loyalist,Ewige Loyalisten
tech.makha_secret_deals,Geheime Abkommen
display_event.holy_protection_will_removed_soon,Der Schutz der Liebenden Familie wird bald aufgehoben!
display_event.holy_protection_was_removed,Der Schutz der Liebenden Familie wurde aufgehoben!
display_event.holy_protection,Der Schutz der Liebenden Familie
display_event.swede_typh_allowed,Steckrübenfieber
tutorial_events.disabled,Deaktiviert
tutorial_events.articles_only,Nur Artikel
tutorial_events.articles_and_advices,Artikel und Ratschläge
soul.from_faction,{soul_uuid} aus {faction_uuid}
gui.living_place.appoint.header,Besiedeln
actor.loyalty_2,Loyalität
actor.important_persons,WICHTIGE PERSONEN
encyclopedia.popup_window.okay,Verstanden
encyclopedia.popup_window.read_full,Weiter
actor.opinion.interest_simple,Interesse
free_lord.first_hire,{first_hire_discount} % Rabatt auf die erste Rekrutierung
menu.knowledge.longer_time,"Aufgrund geringer Lernfähigkeiten dauert das Lernen länger!
 
 Wissensstufe {tech_level}
 Lordstufe {lord_level}"
menu.knowledge.write_time,Das Verfassen eines Buches dauert <b>{learn_time} h</b>
menu.knowledge.learn_time,$ Das Studieren dieses Buches dauert <b>{learn_time} h</b>
building.patrol_sign_day,Tagespatrouille
tech.slaves_contain,Verwahrung von Sklaven
time.days,{days} T
actor.action_task.spent_time_diplomacy,Besuch des Gesandten
display_event.culture_approve,{culture} billigt die Aktionen des Königs
menu.trade.less_tax_for_amy,*Dank des Wissens „Glaubensverteidigung“ ist diese Steuer um {discount} % reduziert.
menu.army.tax_for_soldier,"<b>Bei Rekrutierung dieses Kriegers</b>
 $ Auf der Grundlage der Kampffähigkeit wird die <hint=hint_tutorial_church_tax>Steuer der Kirche auf deine Armee</hint> um <hint=hint_resource_gold>{soldier_tax}</hint> erhöht und beträgt nun insgesamt <hint=hint_resource_gold>{overal_tax}</hint> pro Tag."
options_menu.game.camera_speed,KAMERAGESCHWINDIGKEIT
actor.action_task.wise_talk,Weise Unterhaltung
display_event.senility_begin,{name}: leidet an Altersdemenz!
display_event.character_loss_skill_trait,{name}: aufgrund der Verschlechterung der {skill_name}-Fähigkeit ist das Talent {trait_name} verloren gegangen
display_event.character_loss_knowledge,{name}: hat {knowledge} aus Altersgründen vergessen
knowledge.unavailable_knowledge,Nicht verfügbares Wissen
building.menu.mine_resources,RESERVEN
building.menu.mine_mined,Abgebautes Eisen: {mined} / {limit}
display_event.mine.limit_reached,Die Reserven dieser Mine sind erschöpft
display_event.mine.limit_soon,Die Mine ist beinahe erschöpft
display_event.fetility_loss_from_tree,Die Bodenfruchtbarkeit wurde reduziert
statistics_menu.province.resources,Provinzielle Ressourcen
statistics_menu.province.trees_cuted,Abgeholzte Wälder:
statistics_menu.province.ground_fertility,Bodenfruchtbarkeit:
statistics_menu.province.iron_mines,Eisenvorkommen
statistics_menu.province.no_mine,Die Mine wurde nicht gebaut:
trade_agreements.header,Handelsabkommen
trade_agreements.today_balance,Handel heute:
trade_agreements.auto_trade,Automatischer Handel
trade_agreements.no_trade_agreements,Du hast keine aktiven Handelsverträge
statistics_menu.province.mine_n,Mine {n}:
statistics_menu.province.not_builded,Nicht gebaut
knowledge.category.economic,Wirtschaft
knowledge.category.textbooks,Lehrbücher
knowledge.category.cultural_knowledge,Kulturelles Wissen
display_event.character_loss_skill,{name}: Die Fähigkeit {skill_name} wurde aus Altersgründen auf Stufe {level} reduziert
menu.tools.hint.trade_agreements,Handel
display_event.trade_agreements_result,Außenhandelsbericht
menu.trade.market_saturation.header,Marktsättigung
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Marktsättigung</hint> dieses Produkts:
menu.trade.market_saturation.price,Der Einfluss der Sättigung auf den Preis:
menu.trade.market_saturation.relaxaction,Täglicher Verbrauch:
menu.trade.market_saturation.warning,"<red>Das Angebot hat die <hint=hint_market_volume>lokale Nachfrage</hint> überschritten, weshalb eine Marktsättigung erreicht wurde, die zu einer Preisreduktion führte!</red>"
display_event.new_prophecy,Matriarchin: Neue Prophezeiung
display_event.prophecy_started,Die Prophezeiung ist eingetreten! {prophecy}
prophecy.wolf_attack,Säbelzahnwolf-Invasion
prophecy.bandits_capm,Armee der Deserteure
prophecy.fields_sick_one,Schädlingsbefall
prophecy.cholera_epidemy,Pocken-Epidemie
prophecy.xenophoby,Aufkeimender Fremdenhass
prophecy.crocks_wave,Invasion von Vagabunden
prophecy.fanatics_wave,Gelbe Fanatiker
prophecy.fields_sick_all,Tage des Hungers
prophecy.tree_bug,Borkenkäfer
prophecy.rats_invasion,Ratteninvasion
display_event.prophecy_soon,Die Prophezeiung wird demnächst wahr werden: {prophecy}
display_event.prophecy_complete,Die Katastrophe ist zu Ende: {prophecy}
prophecy.matriarch.soon_prophecy_1,"Die Matriarchin prophezeit, dass deine Provinz in {d1}-{d2} Tagen von einer Katastrophe heimgesucht werden wird: <b>{prophecy}</b>"
prophecy.matriarch.soon_prophecy_2,"Die Matriarchin prophezeit, dass deine Provinz in {d2} Tagen von einer Katastrophe heimgesucht werden wird: <b>{prophecy}</b>"
prophecy.matriarch.letter_caption,Prophezeiung
prophecy.matriarch.letter_text,In {d1}-{d2} Tagen erwarten die Seher der Kirche folgende Katastrophe in deinen Landen:
