Key,TraditionalChinese
menu.migration.increased,<green>移民增加了</green>。此效果會再持續 {days} 天。
menu.migration.decreased,<red>移民減少了</red>。此效果會再持續 {days} 天。
actor.hint.no_sins,無罪孽
social_strata.dummy,庶民
social_strata.slaves,囚犯
social_strata.soldiers,戰士
social_strata.lords,貴族
social_strata.animal,動物
building.social_availability,使用資格
building.market_good_not_sell,停止販售
menu.trade.slave_final_cost,基本價
menu.trade.slave_base_cost,最終價
menu.trade.slave_fertility_cost,生育能力
menu.trade.slave_free_mind_cost,不想念親人
menu.trade.slave_combat_cost,戰鬥能力
menu.trade.slave_age_cost,年齡
menu.trade.slave_disability_cost,殘障
menu.trade.slave_slowdown_cost,動作慢
menu.trade.slave_faction_cost,繁殖者
actor.matching.agree_to_sex,{lord_name}將同意與該貴族約會
actor.part_of_nature.heir,王儲
actor.part_of_nature.commander,指揮官
actor.part_of_nature.queen,統治者的配偶
actor.name.hired_bandits,受僱刺客
actor.personality_trait_locked,未激發：將{skill_name}升至等級 15 以解鎖此特質
king_role.strong_supporter,崇尚力量
king_role.trader,務實者
king_role.religious,信仰虔誠
king_role.order_supporter,捍衛秩序
king_role.suggestable,輕信者
king_role.liberator,解放派
king_role.lick,平等主義派
king_role.intriguant,密謀者
king_role.scientist,賢者
menu.missing_equipment.no_problems,無問題
actor.deep_social.evil_joke,譏諷
actor.deep_social.good_joke,說笑
actor.deep_social.deep_talk,談心
actor.deep_social.abuse,侮辱
actor.deep_social.slight,漠視
actor.deep_social.intrigue,挑撥
actor.deep_social.flattery,奉承
actor.deep_social.sorry,道歉
actor.deep_social.rumors,八卦
actor.inspection_queue,視察佇列
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} 位城鎮居民
knowledge.blocked_reason.knowledge_required,解鎖{knowledge_name}
knowledge.blocked_reason.building_required,建造{building_name}
knowledge.blocked_reason.play_days,城鎮存續 {days} 天
knowledge.blocked_reason.no,已達成條件
ceremony.wedding,婚禮
ceremony.funeral,喪禮
ceremony.coronation,加冕禮
menu.choose_province.climate,氣候：
menu.choose_province.safety,治安：
menu.choose_province.forest,森林：
menu.choose_province.villages,村莊：
menu.choose_province.resources,資源：
menu.choose_province.moderate,適中
menu.choose_province.many,多
menu.choose_province.high,高
menu.playtest.welcome_caption,歡迎！
menu.demo.welcome,"歡迎遊玩！
 
 本試玩版包含完整遊戲體驗，可進行至遊戲內第 {demo_days_count} 天為止。
 
 有許多功能尚在開發中，若您遇到任何錯誤問題，容我們在此先致上歉意。
 
 <right>謝謝您，
 Long Jaunt 開發團隊</right>"
menu.demo.alpha,"<b>搶先體驗</b>
 
 遊戲的許多細節，例如
 
 $ 某些語言
 $潛在錯誤
 $最佳化
 $其他
 
 尚在開發中，未來將逐步改善。"
menu.playtest.welcome,"感謝您應邀參與本次《諾蘭德》玩家測試。
 
 遊戲仍會偶爾當機閃退、有些錯誤未修正，介面也尚未更新，但功能上已達我們計畫發佈搶先體驗的標準。
 
 遊玩結束後，敬請花費 2 分鐘留下您的<b>意見回饋</b>（按鈕在主選單）。
 
 此版本的遊玩時間上限為 {demo_days_count} 天。
 
 <right>謝謝您，
 Long Jaunt 開發團隊</right>"
menu.demo.under_logo,試玩版
menu.playtest.under_logo,玩家測試版
menu.story,"創世曆 2898 年，諾蘭德。
 
 距離<b>緋紅帝國</b>在宗教戰爭的烈焰中滅亡，已過去兩個世紀。多年來，其原屬省份相繼退化為蠻荒小國，全靠<b>聖母索菲亞教會</b>努力才免於自相殘殺。
 
 儘管聖先知始終堅稱末日將臨，卻有那麼一座小國，悄悄孕育著再創偉業的夢想……"
menu.new_game_story,"一段漫長而艱辛的旅程終於告一段落；{soul_uuid_king}回到莊園，滿心期待看見妻子在門口迎接自己歸來。不過妻子沒見著，卻看見弟弟面露難色朝他走來，他的心中不禁升起不好的預感。
 
 「陛下，恐怕我有壞消息。」
 「{soul_uuid_brother}，怎麼回事？別楞著，快說。」
 {soul_uuid_brother}眼神閃躲，支支吾吾地開口：
 「領地昨晚遭到賊寇襲擊了。我們試圖抵抗，無奈還是寡不敵眾。他們擄走了您的妻子，要求我們付贖金。」
 「那就派個信使過去，他們要什麼給就是了！」
 「可是……陛下，我們正腹背受敵啊。就算暫時還有宗主國當後盾，但您也曉得，那個老國王時日無多了。要是再拿不出金幣和物資，領地將岌岌可危。我們急需一支軍隊。」
 「你要我就這樣拋下{soul_uuid_wife}不管？」
 「那些賊寇只要還在等贖金，就不會傷害她。」
 「我需要一點時間理清頭緒。你先退下，等我進一步指示。」"
menu.new_game_story_header,故事序章
menu.demo.finish.header,故事尾聲
menu.demo.finish,"《諾蘭德》試玩版到此結束了……
 
 接下來，你可以用更難的起始設定或不同的貴族技能，重新挑戰遊戲。
 
 感謝你一路玩到這裡！"
menu.demo.finish.back_to_menu,返回選單
menu.settings.change_resolution.apply.header,變更設定
menu.settings.change_resolution.apply.body,"解析度設定已變更。
 請按{accept_button_caption}套用此設定，否則變更將於 {time_remain_seconds} 秒後取消。"
menu.hack_detected.header,偵測到存檔修改
menu.hack_detected,"我們無法保證經過第三方修改的存檔能順利執行。
 
 我們會收到遊戲的錯誤回報，卻無法判斷問題是來自遊戲本身的漏洞，還是第三方的介入。
 
 這會導致我們得浪費時間去查找不存在的問題，壓縮到解決既有問題的時間，對遊戲品質產生負面影響。
 
 因此，在遊戲正式發佈前，我們必須暫時禁止修改存檔，尚請見諒。"
resource.not_available.by_synod,將你<hint=hint_relations_matriarch>與國母間的關係</hint>提升至 {number}，聖商隊便會同意賣你此商品。
text.preposition,或
menu.ambition.screen_title,君王的志向
menu.ambition.text,君王認為，現在是時候宣示他將帶領王室迎向怎樣的未來了。
ambition.conquer,征服世界
ambition.allias,外交聯盟
ambition.populate_city,宜居城邦
ambition.gain_population,人口蓬勃
ambition.produce_goods,物產豐饒
menu.ambition.complete_title,志向實現了！
menu.ambition.complete,"你的君王實現了志向，如今世人皆稱他為「{soul_uuid_1}<b>{name}」！</b> 
 
 不過，君王的抱負可遠不僅於此。很快，新的志向將再一次佔據他的腦海……"
ambtion.button.ok,確定
ambition.checkbox.conquer,<b>征服者。</b>力量為繁盛之基石。將 <b>{vas_num} 個附庸國</b>納入你的統轄。
ambition.checkbox.allias,<b>縱橫家。</b>團結一心，其利斷金。將 <b>{all_num} 個省</b>加入你的自由城邦聯盟。
ambition.checkbox.populate_city,Here's about settling cities.
ambition.checkbox.gain_population,<b>人丁興旺。</b>人口越多，紅利越多。使領地人口增加 <b>{pop_num} 人</b>。
ambition.checkbox.produce_goods,<b>經濟繁榮。</b>主宰經濟，便主宰話語權。使<b>每日產出</b>的產品價值達到 <b><hint=hint_resource_gold>{prod_num}</hint></b>。（目前爲<hint=hint_resource_gold>{now}</hint>）
menu.battle.auto_battle,自動戰鬥
menu.battle.retreat,你的軍隊將撤離戰鬥，並將被判定為戰敗。戰士們的心情會受到重挫，但至少可以保住性命。
menu.battle.manually_battle,在地圖上戰鬥
ambition.title.conquer,利劍
ambition.title.allias,強者
ambition.title.gain_population,人多勢眾
ambition.title.produce_goods,實業家
ambition.resume,重拾先前的志向
menu.resource_statistics.legend.title,統計說明
menu.resource_statistics.legend.in_store,城鎮倉庫中存放的資源數量
menu.resource_statistics.legend.production,一個工作日內生產的資源數量
menu.resource_statistics.legend.used,一般資源：生產其他資源、營造建築消耗的數量。食物＆酒：貴族與囚犯消耗的數量
menu.resource_statistics.legend.in_use,留存在生產建築倉庫、戰士物品欄內的資源數量
menu.resource_statistics.legend.in_local_market,地方市集、酒館、賊窩的當日銷售數量
menu.resource_statistics.legend.caravan,與聖商隊交易的變動
menu.resource_statistics.header.in_store,庫存量
menu.resource_statistics.header.production,產量
menu.resource_statistics.header.used,耗用量
menu.resource_statistics.header.in_use,建築倉庫及戰士身上
menu.resource_statistics.header.in_local_market,地方市集
menu.resource_statistics.header.caravan,聖商隊交易
menu.resource_statistics.no_data,統計數據將於明日顯示
study.complex,通才訓練
soul.tab.logs,歷史紀錄
tech.war_logistic,《軍事後勤》第 {vol} 卷
tech.prisoners,俘虜之忠
building.menu.lvl,Lv. {lvl}
building.menu.resources,營建倉庫
building.menu.workers_road_time,通勤時間
building.menu.to_workplace,前往工作場所：
building.menu.to_warehouse,前往倉庫：
building.menu.priority,優先
building.menu.produced,已生產
building.menu.workers_bonus,工人加成：
building.menu.manager_bonus,管理員加成：
building.menu.workers,工人
building.menu.instructions,指令
building.menu.set_inspector,指派管理員
"building.menu,inspection_bonus",加成：
building.menu.builld_first,優先建造
building.menu.upgrade,升級
building.menu.ship_now,"立即出貨
 成品"
options_menu.audio.voice_volume,語音音量
building.prefer.noone,無優先級
building.prefer.nectar,蜜露成癮者
building.prefer.slaves,囚犯
building.prefer.loyalist,忠誠派
building.prefer.culture,{culture}
building.prefer.all,自動
display_event.communication_lost,{faction_name}：通訊中斷
building.menu.terror_all,全民 {count}
building.menu.terror_no,無
building.menu.terror_culture,{culture} {count}
building.menu.execution,處決
building.menu.terror,恐怖
building.menu.daily_statistic,每日統計
building.menu.intimidations,威嚇人數
building.menu.path_calculation,計算中
building.menu.path_cant_find,找不到
time.hour_minut,{hour} 時 {minut} 分
time.minut,{minut} 分
actor.social_strata.dummy,平民
notification.sex_treason_with_dummy,{name_initiator}和平民發生了婚外情
building.menu.building_resources,營建資源
chancellery.inspection_bonus,視察帶來的產能加成相當於駐官邸貴族的「管理」能力：{bonus}%。
menu.army.new_army.warriors_count,戰士：{warriors_count}
menu.army.new_army.weapons_count,武器：{weapons_count}
tech.poisoner,毒藥的秘密
menu.building.church.morning_service_stat,最近佈道的統計數據
menu.building.church.gathering_time,集合需時：
menu.building.church.congregation,聽眾：
menu.building.church.sermons,佈道
menu.buidling.church.fanatics,狂熱信徒 +{count}
menu.buidling.church.agnostics,懷疑論者 +{count}
building.menu.workplace.clerks,職員
building.menu.refill_auto,自動補充
building.menu.inspections_delivered,接獲指令：{count}
building.menu.living.residents,居民 ({current} / {max})
building.menu.sold_today,今日售出
building.menu.guards,衛兵
family.son_of,父親：
family.daughter_of,父親：
display_event.mountains_bandits_prepare_to_attack,盜匪團正在準備進攻你的城鎮
actor.mood,心情
building.description.library,貴族們在此研讀知識
building.description.decor,賞心悅目
building.description.altar,舉行儀式，焚香祭神的場所
building.menu.crimes_prevented,已預防犯罪
norland.plot_day_4_header,新帝國
norland.plot_day_4_body,"文明的傾頹往往長達數百年，其過程之久，平凡百姓直到末日前一刻都渾然不覺。然而，任何稍懂歷史的統治者都應該明白，唯有將自相殘殺的小國聯合起來，才能防止至暗時代降臨。
 
 諾蘭德正站在歷史的轉捩點，而教會早已無力應付人民所面對的多樣挑戰。在戰火肆虐下，飢荒、瘟疫更是家常便飯。前人的知識與技術尚未失傳，但若再不加以保存，這些文獻將永遠佚失，連同整個文明也隨之消逝。
 
 雖然希望渺茫，但並非毫無辦法。你必須：
 
 $ 將 <b>{goal_number}</b> 個諾蘭德省邦納入你的統轄——而你可以是附庸諸國的君王，或是成為自由城邦聯盟領袖。
 $ 自立為新任帝王，然後向教會的審判庭正式宣戰。"
norland.plot.end_game_header,新帝國：終戰
norland.plot.end_game,"「諾蘭德大陸的輿圖正擺在我眼前。上面有整整 {goal_number} 位君王宣示效忠於我，尊我為首。是時候了。我將登上帝王之位，正式向聖母索菲亞教會宣戰。待到審判庭在我軍面前折戟沉沙，整個世界都將承認我為皇帝，而我將看著崇信石殿轟然傾覆，片瓦不留。最後的審判，在此一戰。」
 
 $ 準備好以後，請自立為新帝王。（君王的行動）
 $ 上戰場擊敗審判軍，奪得正統皇位，贏得遊戲。"
ambitions.province_under_control,"<b>新帝國</b>
 
 將 <b>{goal_number}</b> 個諾蘭德省邦納入你的統轄——你可以是附庸王國的君王，或是成為自由城邦聯盟領袖。
 
 歸服於你的省份：{under_control} / {total_province}"
display_event.global_map_ai_ask_help,{faction_name}的君王{king_name}請求你派軍協助抵禦{danger_faction_name}
display_event.global_map_ai_declare_peace,{faction_name}的君王{king_name}提議簽訂和平條約
display_event.global_map_ai_invite_to_alliance,{faction_name}的君王{king_name}邀請你加入聯盟
main_menu.continue_without_tutorial,開始（無教學）
display_event.build_library,請建造藏書閣。
main_menu.warning,警告！
display_event.retrieve_bishop,主教離開了省邦
display_event.holy_family_below_zero,你完全喪失了國母的信任！
resource.product_requirement.technology,研讀技術 <b>{technology}</b>
resource.product_requirement.building,營造建築 <b>{building}</b>
main_menu.continue_start_tutorial,開始（附帶教學）
main_menu.new_game.family.members.default,兩兄弟與一個妻子
actor.faction_from,來自{town}
new_game.province_difficulty.easy,簡單
new_game.province_difficulty.normal,正常
new_game.province_difficulty.hard,困難
new_game.province_difficulty.recommended,推薦新手遊玩
display_event.loan_will_be_expired_soon,需盡快還款給{faction_name}
main_menu.new_game.family.recommended_for_newbs,平衡配置能力（推薦）
new_game.province_difficulty.header,難度：
secret_deals_effect,<b>{secret_deals_knowledge}</b>：<green>與鄰近勢力的關係不會惡化</green>。
building.menu.terror_fanatics,狂熱信徒 {count}
global_map.relation_aftermath,$ 與鄰近勢力的關係：<red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ 與{soul_uuid_king}的關係：<red>{rel_de}</red>
global_map.aftermath,<b>行動結果</b>：
tech.kaiden_army,凱登：軍隊
tech.makha_trade,瑪哈：貿易
tech.makha_fanatic_terror,恐怖狂熱
tech.econom_writing,節約論文
tech.faith_defender,護教軍
tech.kaiden_training,凱登：練兵
tech.kaiden_loyalist,恆久忠誠
tech.makha_secret_deals,秘密交易
display_event.holy_protection_will_removed_soon,神愛之家的庇佑即將失效！
display_event.holy_protection_was_removed,神愛之家的庇佑失效了！
display_event.holy_protection,神愛之家的庇佑
display_event.swede_typh_allowed,洋蕪菁熱
tutorial_events.disabled,關閉
tutorial_events.articles_only,僅文章
tutorial_events.articles_and_advices,文章與建議
soul.from_faction,來自{faction_uuid}的{soul_uuid}
gui.living_place.appoint.header,入住
actor.loyalty_2,忠誠度
actor.important_persons,重要人物
encyclopedia.popup_window.okay,我知道了
encyclopedia.popup_window.read_full,下一頁
actor.opinion.interest_simple,興趣
free_lord.first_hire,首次僱用可優惠 {first_hire_discount}%
menu.knowledge.longer_time,"學習能力過低，需要花更久才能學會！
 
 知識等級 {tech_level}
 貴族等級 {lord_level}"
menu.knowledge.write_time,撰寫書籍需花費 <b>{learn_time} 小時</b>
menu.knowledge.learn_time,$ 研讀此書需花費 <b>{learn_time} 小時</b>
building.patrol_sign_day,日間巡邏
tech.slaves_contain,森嚴牢獄
time.days,{days}天
actor.action_task.spent_time_diplomacy,使節造訪
display_event.culture_approve,{culture}族人贊同君王的行動
menu.trade.less_tax_for_amy,*稅額因「護教軍」知識而減少 {discount}%
menu.army.tax_for_soldier,"<b>僱用此戰士後：</b>
 $ 根據其戰鬥能力，<hint=hint_tutorial_church_tax>教會課徵的軍隊稅</hint>將增加 <hint=hint_resource_gold>{soldier_tax}</hint>。因此總稅額將會是<hint=hint_resource_gold>{overal_tax}</hint> /天。"
options_menu.game.camera_speed,鏡頭速度
actor.action_task.wise_talk,睿智對談
display_event.senility_begin,{name}陷入了老年癡呆！
display_event.character_loss_skill_trait,由於{name}的{skill_name}等級下滑，失去了天賦：{trait_name}
display_event.character_loss_knowledge,{name}由於年事已高，忘記了知識：{knowledge}
knowledge.unavailable_knowledge,知識未解鎖
building.menu.mine_resources,礦藏餘量
building.menu.mine_mined,鐵礦已開採：{mined} / {limit}
display_event.mine.limit_reached,礦場的存量耗盡了
display_event.mine.limit_soon,礦場的存量即將耗盡
display_event.fetility_loss_from_tree,土壤的肥沃度降低了
statistics_menu.province.resources,全省資源
statistics_menu.province.trees_cuted,砍伐的森林：
statistics_menu.province.ground_fertility,土壤肥沃度：
statistics_menu.province.iron_mines,鐵礦藏餘量：
statistics_menu.province.no_mine,未營建礦場：
trade_agreements.header,貿易協議
trade_agreements.today_balance,今日交易：
trade_agreements.auto_trade,自動交易
trade_agreements.no_trade_agreements,目前沒有生效中的交易合約
statistics_menu.province.mine_n,礦場 {n}：
statistics_menu.province.not_builded,未營建
knowledge.category.economic,經濟財政
knowledge.category.textbooks,標準教材
knowledge.category.cultural_knowledge,文化知識
display_event.character_loss_skill,{name}由於年事已高，其「{skill_name}」能力降至等級 {level} 了
menu.tools.hint.trade_agreements,貿易
display_event.trade_agreements_result,國際貿易報告
menu.trade.market_saturation.header,市場飽和度
menu.trade.market_saturation.saturation,此通貨的<hint=hint_trade_dynamic_prices>市場飽和度</hint>：
menu.trade.market_saturation.price,市場飽和對價格的影響：
menu.trade.market_saturation.relaxaction,日消耗：
menu.trade.market_saturation.warning,<red>供給已超出<hint=hint_market_volume>當地需求</hint>，達到市場飽和度，並導致價格下降！</red>
display_event.new_prophecy,國母：新預言
display_event.prophecy_started,預言成真了：{prophecy}
prophecy.wolf_attack,食肉狼來襲
prophecy.bandits_capm,逃兵流寇來襲
prophecy.fields_sick_one,農作物病蟲害
prophecy.cholera_epidemy,天花大流行
prophecy.xenophoby,排外情結爆發
prophecy.crocks_wave,流民來襲
prophecy.fanatics_wave,黃潮信徒
prophecy.fields_sick_all,飢荒時期
prophecy.tree_bug,蛀木蟲
prophecy.rats_invasion,鼠患來襲
display_event.prophecy_soon,預言即將成真：{prophecy}
display_event.prophecy_complete,災難結束了：{prophecy}
prophecy.matriarch.soon_prophecy_1,國母預言，你的領地在 {d1}-{d2} 天內將有災難降臨：<b>{prophecy}</b>
prophecy.matriarch.soon_prophecy_2,國母預言，你的領地在 {d2} 天內將有災難降臨：<b>{prophecy}</b>
prophecy.matriarch.letter_caption,預言
prophecy.matriarch.letter_text,教會的預言家聲稱，你的領地在 {d1}-{d2} 天內將有下列災難降臨：
display_event.prophecy_soon_unknown,傳聞：災難即將爆發
opinion_mind.interest_to,對{name_2}的興趣：
opinion_mind.interest_of_me,{name_2}對我的興趣：
opinion_mind.interest_sex_ready,<center>{name_1}<green>準備好</green>與{name_2}去約會了（感興趣 {interest_sign} <green>{interest_threshold}</green>）</center>
opinion_mind.interest_sex_not_ready,<center>{name_1}<red>還沒打算</red>與{name_2}約會（感興趣 {interest_sign} <red>{interest_threshold}</red>）</center>
display_event.market_depth_increased,所有商品的市場容量上升了
building.menu.escape_prevented,已預防脫逃
mutator.no_prophecy,無預言
display_notification.auto_trade,派出信使簽訂貿易協議
knowledge.blocked_reason.production_building_count,建造 {count} 生產建築
display_tooltip.pause,暫停
menu.knowledge.culture_knowledge,{culture_name}文化的知識。
statistics_menu.province.market_depth.header,外部市集
statistics_menu.province.market_depth.additional_depth,額外<hint=hint_market_volume_bonus>市場容量</hint>：{percent}%
display_event.old_age_begin,{name}進入老年了
display_event.contraband_begin,發現倒賣行為！
statistics_menu.contraband_label,倒賣
decor.dark_altar,絞架
decor.dark_cage,囚籠
decor.dark_garbage,染血破布
decor.dark_stake_with_head,懲戒
decor.dark_statue_sculls,訓誡
decor.dark_statue_skeleton,亡神
decor.dark_statue_wolf,圖騰柱
decor.dark_tree,枯樹
decor.dark_tree_2,剝皮樹
decor.dark_tree_3,樹墩
decor.sub.dark,威嚇
options_menu.audio.master_volume,總體音量
options_menu.audio.video_volume,視訊音量
decor.sub.dark_2,白骨
actor.part_of_nature.trader,商人
display_event.forest_bandits_will_attack_soon,傳聞：林中劫匪正策劃進攻
menu.trade.vassal_tax_from_player,"人口：{pop} 人
 
 <b>每日總稅額：</b><hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,{faction_uuid}：人口 {pop} 人，稅額 <hint=hint_resource_gold>{sum}</hint>
menu.trade.vassal_tax_to_player_result,<b>每日總稅額：</b><hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,由於有<hint=hint_anxious>焦慮</hint>特質，這個人必定會醒過來。
actor.hint.injury.courage_threshold,<hint=hint_moral_level>勇氣門檻值：</hint>{number}
video.sub1,將近兩百年前，
video.sub2,一場滅世宗教戰爭終於結束。
video.sub3,帝國滅亡後，
video.sub4,其原屬省份相繼退化為蠻荒小國。
video.sub5,多虧教會重燃希望，
video.sub6,和平與繁盛才總算回到這片滿目瘡痍的廢土。
video.sub7,時光荏苒，教會的權勢日益壯大。
video.sub8,但歷史總是不斷重演，大權終有分裂的一天。
video.sub9,諸國間烽煙四起，戰火頻仍。
video.sub10,饑荒與貧窮迫使人民離鄉背井
video.sub11,於鄰近城邦間輾轉漂泊，尋求棲身之所。
video.sub12,究竟你能否一統江山
video.sub13,阻止至暗時代降臨？
video.sub14,由你譜寫的歷史，就從這一刻開始。
game.end.body,"你的領地已經沒有成年貴族能下達指令了。
 
 此後，所有未成年貴族將由教會收養，最終融入為教會的一份子。
 
 這支貴族王室的故事，就到此結束了。"
game.end.caption,你輸了！
building.menu.paper_in_stock,"紙的存量：
 {current} / {need}"
notification.insight.text,"人物靈光一閃，發現自己懂得這種知識：
 
 <b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,<red>無端責罰流浪貴族會引來鄰近勢力譴責</red>。
display_event.heir_can_soon_rise,王儲{name}可能很快就會起兵！
display_event.slaves_can_soon_rise,囚犯可能很快就會暴動！
display_event.loyalists_can_soon_rage,忠誠派可能會展開大屠殺！
display_event.soldiers_deserting,你的戰士即將摧毀城鎮！
display_event.fanatics_can_soon_rise,狂熱信徒可能很快就會起義！
display_event.bishop_can_soon_rise,主教可能很快就會帶領狂熱信徒起義！
mind.remain_time,將於 {remain_time} 後過期。
unsupported_saves.header,偵測到不支援的存檔
unsupported_saves.body,"<b>《諾蘭德》</b>正在積極開發和持續改良當中。非常抱歉的是，我們無法永遠保證舊存檔的相容性，特別是本遊戲連搶先體驗階段都還沒開始。
 
 所有不支援的存檔都會一到「unsupported_saves」這個資料夾。
 
 如有不便，我們深感歉意。"
menu.construction.category.roads,道路
tooltip.construction.place_roads,請放置道路
tooltip.construction.remove_roads,移除道路
tooltip.construction.hold_shift.start,長按
tooltip.construction.hold_shift.end,劃出直線
mutator.longlive,延年益壽
ambition.recommend_for_start,（建議）
notification.lord_escaped,{name}：離開省邦
notification.messenger_escaped,信使離開省邦
notification.messenger_return,信使返回省邦
actor.status.back_to_home_town,返回其家鄉
actor.status.action_task_in_process,{order_name}
army.status.attack_in_process,攻擊{target_name}
army.status.reinforcement_in_process,{target_name}的援軍
mind.remain_time_exhaustion,餓死倒數：{remain_time_hours} 小時。
mind.remain_time_starvation,生理衰竭倒數：{remain_time_hours} 小時。
display_event.soul_missing,{name}：失蹤
ceremony.emperor_coronation,帝王加冕禮
statistics.peoples.line.mood,心情
statistics.peoples.line.capital,首都
statistics.peoples.line.sick,生病的人
statistics.peoples.line.hungry,飢餓的人
statistics.peoples.line.strongly_tired,極度疲勞者
statistics.peoples.line.homeless,無家可歸者
statistics.peoples.line.fanatics,狂熱信徒
statistics.peoples.line.nectar_addicted,蜜露成癮者
statistics.peoples.line.loyalists,忠誠派
statistics.peoples.category.happiness,幸福度
statistics.peoples.category.groups,團體
statistics.peoples.category.cultures,文化
trade.soldiers_tax.caption,戰士稅
trade.vassal_tax.to_player,來自附庸的貢金
trade.vassal_tax.from_player,獻給宗主的貢金
actor.action_task.emperor_coronation,自立為帝
statistics.tab.resources,資源
statistics.tab.peoples,人民
display_event.emperor_inquizition_soon,審判軍正在路上
statistics.resources.category.currency,貨幣
statistics.resources.category.food_and_drinks,飲食
statistics.resources.category.extracted,採集到的資源
statistics.resources.category.manufactured,製作而成的資源
statistics.resources.category.weapon_and_armor,武器和盔甲
statistics.resources.special_hint.consumed,被貴族和囚犯消耗
menu.ending.titile.emperor.fail,失敗！
menu.ending.text.emperor.fail,"你無法抵擋審判軍。
 
 你的省邦遭到摧毀，你的州省遭到瓦解，而所有君王都學到了教訓，在很長一段時間內都也不敢挑戰教會。
 
 為了確保未來沒人敢對神愛之家提出異議，審判軍還焚毀了所有書，並禁止閱讀，違者只有死路一條。
 
 諾蘭德墮入至暗時代的深淵之中……"
menu.ending.titile.emperor.win,勝利！
menu.ending.text.emperor.win,"你已成功建立新帝國，剝除了教會的至高權力。你的朝代中的君王姓名將載於史冊，流傳數百年。
 
 至暗時代的威脅已消失，新的時代已然展開。"
menu.ending.ok,結束遊戲
ambition.engame.emperor,"將你的君王立為帝王，挑戰神愛之家，才能贏得遊戲。
 
 （君王選單中的行動已解鎖）"
display_event.press_right_click_to_close,$ 按下<b>右鍵</b>關閉訊息
encyclopedia.press_right_click_to_unpin,
display_event.soldier_tax_increased,軍隊稅額提高
menu.choose_province.extends_borders.header,州省的建立
menu.choose_province.extends_borders.body,"<img=hint_extends_borders></img>
 你可以用獨立省邦開始遊戲，也可以併吞鄰邦，馬上建立起自己的附庸國。
 
 若想達到此目標，請按下<b>邊界上的按鈕。</b>
 
 你也可以為其他君王建立類似的王國，方法是選擇其省邦，並擴張其邊界。"
actor.action.inspector.executor,選擇管理者
display_event.terror_no_more_criminal_and_jobless,恐怖快要失控了！
actor.age.child,小孩子
actor.part_of_nature.king,統治者
actor.class.heavy_archers,Lv. 13-17 重甲十字弓兵
mutator.iron_excess,多餘的鐵
mutator.old_grudge,往日舊怨
display_event.players_vassal_left,你的附庸{faction_name}再也不是王國的一部分
display_event.players_ally_left,你的盟友{faction_name}再也不是聯盟的一部分
main_menu.new_game.province.header.start,開始遊戲
statistics_menu.province.no_iron_mines,目前沒有鐵礦點。
statistics.resources.category.currency.army_tax,戰士稅
statistics.resources.category.currency.tribute_from_your_vassals,來自附庸的貢金
statistics.resources.category.currency.your_vassal_tribute,你獻給宗主的貢金
actor.loyalty.no_changes,在過去 24 小時中，忠誠度並未改變
encyclopedia.press_right_click_to_pin,$ 按下<b>右鍵</b>即可釘選或解除釘選
encyclopedia.press_lmb_to_mark_unread,
encyclopedia.press_lmb_to_mark_read,$ 按下<b>左鍵</b>即可標示為已讀或未讀
building.menu.ordered,已下訂
building.menu.bonus,加成
building.menu.no_orders,無訂單
building.menu.order_line,{order_type}：<hint={resource_hint}>{resource_count}</hint>。剩餘：{produced_count}
building.menu.status.raw_waiting,正在等待來自省邦倉庫的資源
main_menu.wiki,Wiki
menu.actor.free_lord,流浪貴族
actor.stata.knight,騎士
main_menu.external_links,外部聯集：
main_menu.external_links.twitter,X (Twitter)
main_menu.external_links.report_bug,錯誤回報
tutorial.enemy.attack,攻擊
video.endgame.sub1,緋紅王位已屬於你。
video.endgame.sub2,教會已失去政治權力，你現在可以指派國母。
video.endgame.sub3,血腥戰役的時期已結束，如今各種衝突全部交由帝廷裁決。
video.endgame.sub4,森林再也沒有劫匪，圖書館不再焚燒，自由貿易蓬勃發展。
video.endgame.sub5,各國已將紛爭拋到腦後，並努力締結和平關係。
video.endgame.sub6,不過，切勿忘記，帝國國祚並非萬世不衰，史冊中的亡國紀錄斑斑可考。
video.endgame.sub7,唯有傻子才會宣稱自己知曉諸神所安排的未來。
autosave_modes.two_in_one,每日 2 次
autosave_modes.one_in_one,每日 1 次
autosave_modes.one_in_two,每 2 日 1 次
video.endgame.sub8,「君王之力勝過凡人，且影響非常深遠。」 — 希羅多德《歷史》
actor.action_task.force_eat,吃
options_menu.game.autosave_modes,自動存檔
display_event.lord_want_to_kill_someone,{lord_name}：正在計劃謀殺
work.caravanner,商隊旅人
global_map.object.army.garrison,軍隊
global_map.object.army.on_global_map,在世界地圖
global_map.object.army.nobody,無人
menu.tools.hint.menu,暫停
main_menu.new_game.province.neighbours.ally,盟友
main_menu.new_game.province.neighbours.vassal,附庸
main_menu.new_game.province.neighbours.suzrain,宗主
main_menu.new_game.province.neighbours.alliance_leader,聯盟領袖
main_menu.new_game.province.neighbours.independent,獨立
main_menu.new_game.province.neighbours.pacifism.ambitious,野心勃勃
main_menu.new_game.province.neighbours.pacifism.random,隨機
main_menu.new_game.province.neighbours.town_sell,這座城鎮販售
