Key,Polska
work.barman,Karczmarz
work.drug_dealer,Handlarz narkotyków
work.brewer,Gorzelnik
work.builder,Budowniczy
work.caravaneer,Członek karawany
work.carpenter,Stolarz
work.coal_furnace,Węglarz
work.farmer,Rolnik
work.herbalist,Zielarz
work.inspector,Inspektor
work.jobless,Bezrobotny
work.miner,Górnik
work.paper_factory,Papiernik
work.patrol,Patrol
work.priest,Kapłan
work.salesman,Kupiec
work.servant,Sługa
work.weaponsmith,Zbrojmistrz
work.woodcutter,Drwal
work.clerk,Kancelista
work.gallows_inspector,Sędzia
work.chancellery_inspector,Kanclerz
work.trainer,Trener
social_class.dummy,Chłop
actor.loyalty_change_reason.happy,Dobry nastrój
actor.loyalty_change_reason.unhappy,Zły nastrój
actor.loyalty_change_reason.satisfied,Zwykły nastrój
actor.loyalty_change_reason.gift,Otrzymano nagrodę
actor.loyalty_change_reason.threat,Otrzymano groźby
actor.loyalty_change_reason.bribe,Otrzymano łapówkę
actor.loyalty_change_reason.terror,Terror
actor.loyalty_change_reason.donate,Zmuszono do oddania pierścieni
actor.loyalty_change_reason.bad_relation_to_king,Złe stosunki z królem
actor.loyalty_change_reason.good_relation_to_king,Dobre stosunki z królem
actor.loyalty_change_reason.seduced,Uwiedziono
actor.loyalty_change_reason.seduce_task,Zmuszono do uwiedzenia
actor.loyalty_change_reason.seduced_me,Uwiedziono mnie
actor.loyalty_change_reason.bad_day,Zły dzień
battle_squad.no_orders,Brak rozkazów
battle_squad.caption,Oddział: {commander_name}
battle_squad.bandits_squad,Oddział bandytów
battle_squad.average_mood,Przeciętny nastrój
battle_squad.average_skill,Przeciętne umiejętności
battle_squad.equipment,Wyposażenie
battle_squad.on_legs,Wciąż na nogach
knowledge.title,Wiedza
knowledge.title_second,I jej posiadacze
knowledge.technology,Technologie
knowledge.dogmas,Dogmaty
knowledge.holders,POSIADACZE WIEDZY
knowledge.usual,Zwykła technologia
knowledge.advanced,Zaawansowana technologia
knowledge.ultra,Ultratechnologia
knowledge.study,Naucz się
knowledge.write,Napisz
knowledge.rewrite,Przepisz
knowledge.book.good_info,Trwa badanie w menu wiedzy
knowledge.book.need_level,"Aby zgłębiać wiedzę, zalecana jest <hint=hint_skill_knowledge>inteligencja</hint> na co najmniej {level} poziomie."
knowledge.book.dialect,<b>Księga jest napisana w języku {dialect}</b>
knowledge.book.dialect_speakers,Ten język znają: {speakers}
menu.knowledge.interaction,INTERAKCJA
menu.knowledge.empty_menu,"Brak wiedzy do użycia.
Księgi z wiedzą można nabyć u kupców."
menu.knowledge.actor,POSTAĆ
menu.knowledge.no_knowledge,Brak wiedzy
menu.knowledge.level,(poz. {lvl})
tech.building,{building_name}
tech.building_2,{building_name} i {building_name_2}
tech.building_resource,{building_name} i {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: Ulepszenie
tech.efficiency,{building_name}: Wydajność
tech.soil,Wydajne nawożenie
tech.wood,Wydajna wycinka
tech.survive,Opieka nad roślinami
tech.pigfarm,Sycąca pasza dla świń
tech.repair,{building_name}. Tańsze naprawy
tech.save.res,{building_name}. Oszczędność surowców
tech.no.break,{building_name}. Bezawaryjna praca
tech.no.fire,{building_name}. Środki przeciwpożarowe
tech.no.trauma,{building_name}. Środki bezpieczeństwa
tech.fast.building,Szybka budowa
tech.fast.build.less.wood,Oszczędność drewna w budowie
tech.fast.build.less.iron,Oszczędność żelaza w budowie
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Zastraszenie włóczęgów
tech.loyalist_more,Podstawy lojalności
tech.preach_better,Skuteczne kazanie
tech.slaves_happiness,Zadowolenie jeńców
tech.tanya_paper,Papier tanayański
tech.crevav_swede,Duszona brukiew
tech.drought_fight,Przeciwdziałanie suszy
tech.longevity,Długowieczność
tech.addiction_resist,Walka z uzależnieniem
tech.fanatic_pretend,Fałszywy fanatyzm
tech.marah_ale,Piwo makhańskie
tech.right_nectar,Zacny nektar
tech.fertilize_cost_less,Poprawne nawożenie
tech.tree_more_wood,Poprawna wycinka
tech.better_meat,Obróbka mięsa
tech.flirt_art,Sztuka flirtu
tech.voruns_moonshine,Bimber varnański
tech.dialect,Słownik: {dialect_name}
tech.cutter,Głoworąb
tech.axe_mastery,Władanie toporem
tech.handfighter,Walka wręcz
tech.tanya_shield,Tarcze tanayańskie
tech.bow_mastery,Władanie cięciwą
tech.mace_stun,Ogłuszanie buławą
tech.heavy_armor_wear,Noszenie pancerza
tech.polite_trade,Uprzejmy handel
tech.sin_mind_reducer,Jak nie przejmować się grzechami
tech.tome,Tom nr {number}
tech.common_good,Dobro wspólne
tech.joy_of_education,Radość oświecenia
dialect.common,Język imperialny
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Użyty symbol
decor.bonfire,Ogień
decor.sign,Symbol
decor.sign_with_scull,Symbol czaszki
decor.stone,Kamień
decor.pile_of_skulls,Stos kości
decor.bush_1,Krzak 1
decor.bush_2,Krzak 2
decor.bush_3,Krzak 3
decor.floor_remove,Usuń drogę
decor.sub.statue,Posągi
decor.sub.torch,Oświetlenie
decor.sub.floor,Podłogi
decor.sub.other,Inne
decor.sub.trees,Rośliny
decor.banner,Sztandar
decor.statue,Posąg
decor.floor_1,Jasny kamień
decor.floor_2,Ciemny kamień
decor.floor_3,Jasne drewno
decor.floor_4,Ciemne drewno
decor.stone_arch,Kamienny łuk
decor.torch,Pochodnia
decor.plant,Roślina
decor.bag,Worek
decor.box,Skrzynia
decor.barrel,Beczka
restrictions.activity.beer,Spożycie alkoholu
restrictions.activity.nectar,Spożycie nektaru
restrictions.activity.dice,Gra w kości
restrictions.activity.weapon,Noszenie broni
restrictions.activity.armor,Noszenie pancerza
restrictions.eat.meat,Spożycie mięsa
actor.hint.slave.age,Wiek: {age}
actor.hint.slave.past,Przeszłość:
actor.culture,Kultura: {culture}
actor.hint.slave.combat_skill,Umiejętności bojowe: {skill}
actor.hint.slave.traums,Rany:
actor.hint.slave.will_to_be_free,Żądza wolności
building.chancellery.need_charge,"Aby zacząć pracę w kancelarii, potrzebujesz papieru."
building.chancellery.charging,Pracownicy przynoszą papier.
building.chancellery.charged,"Kancelaria działa.
Papieru wystarczy na {day} d."
building.chacnellery.charge_abort,Anuluj dostawy papieru
building.chacnellery.charge,Dostarczaj papier
inspection.hint.today,Przeprowadzono dzisiaj inspekcję
inspection.hint.yesterday,Przeprowadzono wczoraj inspekcję
inspection.hint.not,Nie przeprowadzono inspekcji
inspection.closest_time,Inspekcje zakończą się za {day} d. {hour} h
inspection.time,{day} d. {hour} h
inspection.remain_hours,{hour} h
actor.loyalty.log,Zmiana lojalności
menu.peoples.advice,Porady:
menu.sodliers.lack_of_equipment,Brak wyposażenia:
menu.migration.terror,"<hint=hint_migration>Migracja</hint> <red>została wstrzymana</red>, podczas gdy w mieście <red>panuje</red> <hint=hint_terror_peasants>terror</hint>."
menu.migration.one_village_burned,"<hint=hint_migration>Migracja</hint> <red>została zmniejszona</red>, ponieważ spalono wioskę w tej prowincji. Odbudowa wioski potrwa kilka dni."
menu.migration.all_village_burned,"<hint=hint_migration>Migracja</hint> <red>została wstrzymana</red>, ponieważ spalono wszystkie wioski w tej prowincji. Odbudowa wiosek potrwa kilka dni."
menu.migration,$ Spodziewana liczba <hint=hint_migration>imigrantów</hint> dzisiaj: {peasant_migrants_today}
menu.migration.increased,<green>Migracja uległa zwiększeniu</green>. Ten efekt będzie trwał jeszcze przez {days} d.
menu.migration.decreased,<red>Migracja uległa zmniejszeniu</red>. Ten efekt będzie trwał jeszcze przez {days} d.
actor.hint.no_sins,Brak grzechów
social_strata.dummy,Chłopi
social_strata.slaves,Jeńcy
social_strata.soldiers,Wojownicy
social_strata.lords,Lordowie
social_strata.animal,Zwierzęta
building.social_availability,DOSTĘPNE DLA
building.market_good_not_sell,NIE SPRZEDAWAJ
menu.trade.slave_final_cost,Cena ostateczna
menu.trade.slave_base_cost,Cena podstawowa
menu.trade.slave_fertility_cost,Płodność
menu.trade.slave_free_mind_cost,Doesn't miss loved ones
menu.trade.slave_combat_cost,Umiejętności bojowe
menu.trade.slave_age_cost,Wiek
menu.trade.slave_disability_cost,Niepełnosprawność
menu.trade.slave_slowdown_cost,Opóźniony
menu.trade.slave_faction_cost,Mnożnik
actor.matching.agree_to_sex,{lord_name} zechce pójść na schadzkę z tą osobą
actor.part_of_nature.heir,Następca
actor.part_of_nature.commander,Dowódca
actor.part_of_nature.queen,Druga połówka władcy
actor.name.hired_bandits,Najęty zbój
actor.personality_trait_locked,"Nieznane. Rozwiń umiejętność {skill_name} na 15. poziom, aby odblokować tę cechę."
king_role.strong_supporter,Twardy
king_role.trader,Materialista
king_role.religious,Religijny
king_role.order_supporter,Obrońca ładu
king_role.suggestable,Łatwowierny
king_role.liberator,Wyzwoliciel
king_role.lick,Egalitarny
king_role.intriguant,Intrygant
king_role.scientist,Mędrzec
menu.missing_equipment.no_problems,Brak problemów
actor.deep_social.evil_joke,Szyderstwo
actor.deep_social.good_joke,Dowcip
actor.deep_social.deep_talk,Rozmowa od serca
actor.deep_social.abuse,Obelga
actor.deep_social.slight,Lekceważenie
actor.deep_social.intrigue,Intryga
actor.deep_social.flattery,Pochlebstwo
actor.deep_social.sorry,Przeprosiny
actor.deep_social.rumors,Plotki
actor.inspection_queue,Kolejka inspekcji
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} mieszkańców miasta
knowledge.blocked_reason.knowledge_required,Odblokowano: {knowledge_name}
knowledge.blocked_reason.building_required,Zbudowano: {building_name}
knowledge.blocked_reason.play_days,Miasto istnieje od {days} dni
knowledge.blocked_reason.no,Warunki zostały spełnione.
ceremony.wedding,Ślub
ceremony.funeral,Pogrzeb
ceremony.coronation,Koronacja
menu.choose_province.climate,Klimat:
menu.choose_province.safety,Bezpieczeństwo:
menu.choose_province.forest,Las:
menu.choose_province.villages,Wioski:
menu.choose_province.resources,Surowce:
menu.choose_province.moderate,Średnio
menu.choose_province.many,Dużo
menu.choose_province.high,Wysokie
menu.playtest.welcome_caption,Witaj!
menu.demo.welcome,"Witaj!

Ta wersja demonstracyjna prezentuje rozgrywkę zawartą w pełnej wersji, ale jest ona ograniczona do {demo_days_count} dni w grze.

Wiele elementów jest wciąż dopracowywanych, więc z góry przepraszamy za wszelkie napotkane błędy i problemy.

<right>Dziękujemy,
zespół Long Jaunt</right>"
menu.demo.alpha,"<b>Wczesny dostęp</b>

Wiele aspektów gry, m.in.:

$ lokalizacja
$ występowanie błędów
$ optymalizacja
$ itp.

jest wciąż w fazie produkcji i zostanie ulepszonych."
menu.playtest.welcome,"Dziękujemy za przyjęcie zaproszenia do wersji testowej Norland.

Gra wciąż się czasem zawiesza, występują błędy, a interfejs jest niekompletny, ale funkcjonalnie tę właśnie wersję chcemy udostępnić w ramach wczesnego dostępu.

Prosimy o poświęcenie 2 minut na <b>zostawienie swojej opinii</b> na koniec gry (przycisk w menu głównym).

Ta wersja jest ograniczona do {demo_days_count} dni gry.

<right>Dziękujemy,
zespół Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Test beta
menu.story,"Norland, rok 2898 od stworzenia świata.

Przed dwustu laty upadło <b>Szkarłatne Imperium</b>, które strawił ogień wojny religijnej. Poszczególne prowincje mocarstwa zmieniły się w barbarzyńskie królestwa, które przed wzajemnym zniszczeniem powstrzymał jedynie przepotężny <b>Kościół Świętej Zofii</b>.

Wielcy prorocy wieszczą bliski koniec świata, a w jednym z malutkich królestw rodzi się marzenie o zbudowaniu nowego imperium…"
menu.new_game_story,"Po długiej i wyczerpującej podróży {soul_uuid_king} dociera do domu, wypatrując swej żony u progu siedziby. Jednak zamiast niej dostrzega swego brata, którego grobowa mina nie zwiastuje niczego dobrego.

„Królu, przynoszę straszne wieści”.
„Co się stało, {soul_uuid_brother}? Nie zwlekaj, mów szczerze”.
Nie mogąc spojrzeć królowi w oczy, {soul_uuid_brother} z zająknięciem odparł:
„Zeszłej nocy zaatakowali nas bandyci. Próbowaliśmy się bronić, lecz było ich zbyt wielu. Porwali twą żonę i teraz domagają się okupu”.
„W takim razie odpraw posłańca, żeby dostarczył im, czego tylko chcą!”
„Ale, królu, otaczają nas sami wrogowie. Na razie chroni nas suweren, ale czas starego króla dobiega końca. Jeśli nie będziemy mieć dość złota i zasobów, nie zdołamy się obronić. Potrzebujemy armii”.
„A {soul_uuid_wife}? Mam ją zostawić na pastwę łotrów?”
„Dopóki mają nadzieję na okup, to nie spadnie jej włos z głowy”.
„Muszę to przemyśleć. Zostaw mnie samego i czekaj na polecenia”."
menu.new_game_story_header,Początek historii
menu.demo.finish.header,Koniec historii
menu.demo.finish,"W tym miejscu kończy się wersja demonstracyjna Norland…

Możesz zagrać z bardziej wymagającymi ustawieniami lub innym połączeniem umiejętności lordów.

Dziękujemy za grę!"
menu.demo.finish.back_to_menu,Wróć do menu
menu.settings.change_resolution.apply.header,Zmiana ustawień
menu.settings.change_resolution.apply.body,"Zmieniono rozdzielczość.
Aby zastosować te ustawienia, naciśnij {accept_button_caption}. W przeciwnym razie ustawienia zostaną automatycznie cofnięte za {time_remain_seconds} s."
menu.hack_detected.header,Wykryto modyfikację zapisu gry
menu.hack_detected,"Nie możemy zagwarantować, że po zmodyfikowaniu plików z zapisem gra będzie nadal funkcjonować poprawnie.

Otrzymujemy wszystkie zgłoszenia o błędach, ale trudno nam z całą pewnością określić, czy dany błąd powstał w wyniku działania samej gry, czy z powodu ingerencji modyfikacji.

Z tego powodu musimy marnować czas na szukanie nieistniejących błędów, zamiast zajmować się rzeczywistymi problemami, co negatywnie wpływa na końcową jakość gry.

Dlatego też jesteśmy zmuszeni zabronić modyfikowania plików zapisu do czasu premiery gry."
resource.not_available.by_synod,"Popraw swoje <hint=hint_relations_matriarch>stosunki z Matroną</hint> do poziomu {number}, aby Święta Karawana zaczęła oferować ci ten towar."
text.preposition,lub
menu.ambition.screen_title,Ambicje króla
menu.ambition.text,"Król uznał, że to odpowiednia pora, aby ogłosić swe ambicje, które ukształtują przyszłość twej rodziny szlacheckiej."
ambition.conquer,Podbój
ambition.allias,Sojusze
ambition.populate_city,Założenie miasta
ambition.gain_population,Większa populacja
ambition.produce_goods,Produkcja zasobów
menu.ambition.complete_title,Ambicje spełnione!
menu.ambition.complete,"Twój król spełnił swe ambicje i od tej pory będzie znany pod przydomkiem {soul_uuid_1} <b>{name}!</b>

Jednak królewskie ambicje sięgają daleko, więc wkrótce inne dążenia zaczną zaprzątać jego umysł…"
ambtion.button.ok,Akceptuj
ambition.checkbox.conquer,<b>Zdobywca.</b> Władza prowadzi do dobrobytu całej dynastii. Dodaj do swojego państwa <b>{vas_num} wasala albo sojusznika</b>.
ambition.checkbox.allias,"<b>Jednoczyciel.</b> Tylko wspierając się wzajemnie, możemy trwać w sile. Rozszerz swój sojusz wolnych miast do <b>{all_num} prowincji</b>."
ambition.checkbox.populate_city,Ambicja dotycząca zakładania miast.
ambition.checkbox.gain_population,<b>Płodny.</b> W liczbie siła. Zwiększ populację prowincji do <b>{pop_num} mieszkańców</b>.
ambition.checkbox.produce_goods,<b>Gospodarny.</b> Gospodarka jest najważniejsza. Osiągnij <b>dzienną produkcję</b> towarów wartą łącznie <b><hint=hint_resource_gold>{prod_num}</hint></b> (obecnie <hint=hint_resource_gold>{now}</hint>).
menu.battle.auto_battle,Autom. bitwa
menu.battle.retreat,"Twoja armia wycofa się z bitwy. Będzie to uznane za porażkę i nastrój wojowników się pogorszy, ale ocali to ich życie."
menu.battle.manually_battle,Bitwa na mapie
ambition.title.conquer,Ostra klinga
ambition.title.allias,Żelazna pięść
ambition.title.gain_population,Wielkie gniazdo
ambition.title.produce_goods,Gospodarz
ambition.resume,Kontynuuj poprzednią ambicję
menu.resource_statistics.legend.title,Znaczenie
menu.resource_statistics.legend.in_store,Ile zasobów znajdowało się w składzie miasta.
menu.resource_statistics.legend.production,Ile zasobów wyprodukowano podczas dnia pracy.
menu.resource_statistics.legend.used,"Ile zasobów zużyto do wyprodukowania towarów oraz konstrukcji budynków. W przypadku alkoholu i żywności wskazuje, jakie było spożycie wśród lordów i jeńców."
menu.resource_statistics.legend.in_use,Ile zasobów pozostaje w składach budynków produkcyjnych oraz w posiadaniu wojowników.
menu.resource_statistics.legend.in_local_market,"Ile zasobów sprzedano dzisiaj na lokalnych rynkach, w karczmach oraz melinach."
menu.resource_statistics.legend.caravan,Wynik handlu ze Świętą Karawaną.
menu.resource_statistics.header.in_store,W składzie
menu.resource_statistics.header.production,Produkcja
menu.resource_statistics.header.used,Wykorzystano
menu.resource_statistics.header.in_use,W składzie budynków i w posiadaniu wojowników
menu.resource_statistics.header.in_local_market,Lokalny rynek
menu.resource_statistics.header.caravan,Handel ze Świętą Karawaną
menu.resource_statistics.no_data,Statystyka pojawi się jutro
study.complex,Nauczanie ogólne
soul.tab.logs,HISTORIA
tech.war_logistic,"Wojskowa logistyka, tom {vol}"
tech.prisoners,Jeńcy
building.menu.lvl,Poz. {lvl}
building.menu.resources,SKŁAD SUROWCÓW
building.menu.workers_road_time,CZAS PODRÓŻY
building.menu.to_workplace,Do miejsca pracy:
building.menu.to_warehouse,Do składu:
building.menu.priority,Priorytet
building.menu.produced,WYPRODUKOWANO
building.menu.workers_bonus,Premia robotników:
building.menu.manager_bonus,Premia zarządcy:
building.menu.workers,ROBOTNICY
building.menu.instructions,POLECENIA
building.menu.set_inspector,Mianuj zarządcę
"building.menu,inspection_bonus",Premia:
building.menu.builld_first,Buduj to najpierw
building.menu.upgrade,Ulepsz
building.menu.ship_now,"Wyślij wyprodukowany
towar teraz"
options_menu.audio.voice_volume,GŁOŚNOŚĆ DIALOGÓW
building.prefer.noone,Bez priorytetu
building.prefer.nectar,Uzależ. (nektar)
building.prefer.slaves,Jeńcy
building.prefer.loyalist,Lojaliści
building.prefer.culture,{culture}
building.prefer.all,Autom.
display_event.communication_lost,{faction_name}: utracono kontakt
building.menu.terror_all,Wsz. {count}
building.menu.terror_no,Nie
building.menu.terror_culture,{culture} {count}
building.menu.execution,EGZEKUCJA
building.menu.terror,Terror
building.menu.daily_statistic,STATYSTYKI DNIA
building.menu.intimidations,Zastraszono
building.menu.path_calculation,Kalkulacja
building.menu.path_cant_find,Nie można znaleźć
time.hour_minut,{hour} h {minut} min.
time.minut,{minut} min.
actor.social_strata.dummy,Gmin
notification.sex_treason_with_dummy,{name_initiator} dopuszcza się zdrady z osobą z gminu
building.menu.building_resources,SUROWCE BUDOWLANE
chancellery.inspection_bonus,"Premia do produkcji zapewniana przez polecenia jest proporcjonalna do umiejętności zarządzania lorda, który kieruje kancelarią: {bonus}%."
menu.army.new_army.warriors_count,{warriors_count} wojowników
menu.army.new_army.weapons_count,{weapons_count} szt. broni
tech.poisoner,Tajemnice trucizn
menu.building.church.morning_service_stat,STATYSTYKI POPRZEDNIEGO KAZANIA
menu.building.church.gathering_time,Czas zgromadzenia:
menu.building.church.congregation,Zgromadzenie:
menu.building.church.sermons,KAZANIA
menu.buidling.church.fanatics,Fanatycy: +{count}
menu.buidling.church.agnostics,Agnostycy: +{count}
building.menu.workplace.clerks,KANCELIŚCI
building.menu.refill_auto,Autom. uzupełniaj
building.menu.inspections_delivered,Dostarczone polecenia: {count}
building.menu.living.residents,MIESZKAŃCY ({current} / {max})
building.menu.sold_today,SPRZEDANO DZISIAJ
building.menu.guards,STRAŻNICY
family.son_of,Syn
family.daughter_of,Córka
display_event.mountains_bandits_prepare_to_attack,Maruderzy szykują się do ataku na twoje miasto
actor.mood,Nastrój
building.description.library,W tym miejscu lordowie zgłębiają wiedzę
building.description.decor,Przyjemne dla oka
building.description.altar,Miejsce obrzędów i kremacji
building.menu.crimes_prevented,Zatrzym. przestępstwa
norland.plot_day_4_header,Nowe imperium
norland.plot_day_4_body,"Cywilizacja zanika stopniowo. Proces degeneracji może trwać całe stulecia i zwykli obywatele nie dostrzegają symptomów do samego końca. Jednak władca zaznajomiony z historią musi rozumieć, że tylko jednocząc zwaśnione królestwa, można zapobiec nadejściu mrocznych wieków.

Norland znajduje się na rozdrożu. Kościół od dawna nie potrafi rozwiązać problemów swoich wiernych. Częste wojny, głód i epidemie stały się codziennością. Technika i wiedza jeszcze nie odeszły w zapomnienie, ale ten moment zbliża się nieubłaganie, a wtedy cywilizacja legnie w gruzach.

Nadzieja wciąż się tli, ale żeby uniknąć chaosu, musisz:

$ Władać <b>{goal_number}</b> prowincjami Norlandu — albo jako król państwa dzielnicowego, albo przywódca sojuszu wolnych miast.
$ Ogłosić się nowym imperatorem i rzucić wyzwanie kościelnej Inkwizycji."
norland.plot.end_game_header,Nowe imperium: ostateczna bitwa
norland.plot.end_game,"„Przede mną leży mapa Norlandu. Widzę na niej {goal_number} krain, których królowie szanują mnie i spełniają moją wolę. Nastała pora, aby sięgnąć po koronę imperium i rzucić wyzwanie Kościołowi Świętej Zofii. Gdy Inkwizycja połamie sobie zęby na mojej armii, cały świat wreszcie ujrzy we mnie nowego imperatora, a Kamień Wiary legnie u mych stóp. Oto próba ostateczna”.

$ W wybranym momencie ogłoś się imperatorem nowego mocarstwa (działanie króla).
$ Pokonaj Świętą Inkwizycję na polu bitwy, aby zabezpieczyć swoje roszczenia i wygrać."
ambitions.province_under_control,"<b>Nowe imperium</b>

Władaj <b>{goal_number}</b> prowincjami Norlandu — albo jako król państwa dzielnicowego, albo przywódca sojuszu wolnych miast.

Prowincje pod twoim panowaniem: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,Król {king_name} z frakcji {faction_name} prosi o pomoc w walce z: {danger_faction_name}
display_event.global_map_ai_declare_peace,Król {king_name} z frakcji {faction_name} proponuje traktat pokojowy
display_event.global_map_ai_invite_to_alliance,Król {king_name} z frakcji {faction_name} proponuje dołączenie do sojuszu
main_menu.continue_without_tutorial,Rozpocznij bez samouczka
display_event.build_library,Zbuduj bibliotekę
main_menu.warning,Uwaga!
display_event.retrieve_bishop,Biskup opuszcza prowincję
display_event.holy_family_below_zero,Tracisz względy Matrony!
resource.product_requirement.technology,Zbadaj technologię <b>{technology}</b>
resource.product_requirement.building,Wznieś budynek <b>{building}</b>
main_menu.continue_start_tutorial,Rozpocznij z samouczkiem
main_menu.new_game.family.members.default,Dwaj bracia i żona
actor.faction_from,z miasta {town}
new_game.province_difficulty.easy,Łatwy
new_game.province_difficulty.normal,Normalny
new_game.province_difficulty.hard,Trudny
new_game.province_difficulty.recommended,Zalecany dla początkujących graczy
display_event.loan_will_be_expired_soon,Zbliża się czas spłaty długu u frakcji {faction_name}
main_menu.new_game.family.recommended_for_newbs,Zalecane ustawienia dla zrównoważonej gry
new_game.province_difficulty.header,Poziom trudności:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Stosunki z sąsiadami się nie zepsują</green>.
building.menu.terror_fanatics,Fanatycy {count}
global_map.relation_aftermath,$ Stosunki z sąsiadami: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Stosunki z {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Konsekwencje</b>:
tech.kaiden_army,Armia kaideńska
tech.makha_trade,Handel makhański
tech.makha_fanatic_terror,Terror fanatyków
tech.econom_writing,Oszczędne pisanie
tech.faith_defender,Obrona wiary
tech.kaiden_training,Szkolenie kaideńskie
tech.kaiden_loyalist,Wieczni lojaliści
tech.makha_secret_deals,Tajne umowy
display_event.holy_protection_will_removed_soon,Wkrótce utracisz ochronę Kochającego Rodu!
display_event.holy_protection_was_removed,Tracisz ochronę Kochającego Rodu!
display_event.holy_protection,Ochrona Kochającego Rodu
display_event.swede_typh_allowed,Brukwiowy tyfus
tutorial_events.disabled,Wyłączone
tutorial_events.articles_only,Tylko artykuły
tutorial_events.articles_and_advices,Artykuły i porady
soul.from_faction,{soul_uuid} z frakcji {faction_uuid}
gui.living_place.appoint.header,Zasiedl
actor.loyalty_2,Lojalność
actor.important_persons,WAŻNE OSOBY
encyclopedia.popup_window.okay,OK
encyclopedia.popup_window.read_full,Dalej
actor.opinion.interest_simple,Zainteresowanie
free_lord.first_hire,{first_hire_discount}% zniżki na pierwszy kontrakt
menu.knowledge.longer_time,"Z uwagi na niskie zdolności nauka trwa dłużej!

Poziom wiedzy {tech_level}
Poziom lorda {lord_level}"
menu.knowledge.write_time,Napisanie księgi zajmie <b>{learn_time} h</b>
menu.knowledge.learn_time,$ Przestudiowanie tej księgi zajmie <b>{learn_time} h</b>
building.patrol_sign_day,Patrol dzienny
tech.slaves_contain,Przetrzymywanie jeńców
time.days,{days} d.
actor.action_task.spent_time_diplomacy,Wizyta emisariusza
display_event.culture_approve,Kultura {culture} aprobuje działania króla
menu.trade.less_tax_for_amy,*Podatek został zmniejszony o {discount}% dzięki znajomości Obrony wiary.
menu.army.tax_for_soldier,"<b>Gdy zatrudnisz tego wojownika</b>
$ W oparciu o jego umiejętności bojowe <hint=hint_tutorial_church_tax>kościelny podatek</hint> na armię zwiększy się o <hint=hint_resource_gold>{soldier_tax}</hint>. Łącznie będzie wynosić <hint=hint_resource_gold>{overal_tax}</hint> dziennie."
options_menu.game.camera_speed,SZYBKOŚĆ KAMERY
actor.action_task.wise_talk,Uczona rozmowa
display_event.senility_begin,{name} cierpi na demencję starczą!
display_event.character_loss_skill_trait,{name} w wyniku osłabienia umiejętności {skill_name} traci talent {trait_name}
display_event.character_loss_knowledge,{name} zapomina ze starości wiedzę – {knowledge}
knowledge.unavailable_knowledge,Wiedza niedostępna
building.menu.mine_resources,ZŁOŻA
building.menu.mine_mined,Wydobyte żelazo: {mined} / {limit}
display_event.mine.limit_reached,Złoża kopalni się wyczerpały
display_event.mine.limit_soon,Złoża kopani wkrótce się wyczerpią
display_event.fetility_loss_from_tree,Żyzność gleby się zmniejszyła
statistics_menu.province.resources,Zasoby prowincji
statistics_menu.province.trees_cuted,Wycięte lasy:
statistics_menu.province.ground_fertility,Żyzność gleby:
statistics_menu.province.iron_mines,Złoże żelaza
statistics_menu.province.no_mine,Nie zbudowano kopalni:
trade_agreements.header,Umowy handlowe
trade_agreements.today_balance,Handel dzisiaj:
trade_agreements.auto_trade,Autom. handel
trade_agreements.no_trade_agreements,Brak aktywnych umów handlowych
statistics_menu.province.mine_n,Kopalnia {n}:
statistics_menu.province.not_builded,Nie zbudowano
knowledge.category.economic,Ekonomia
knowledge.category.textbooks,Podręczniki
knowledge.category.cultural_knowledge,Wiedza kulturowa
display_event.character_loss_skill,"{name} się starzeje, więc umiejętność {skill_name} pogorszyła się do poziomu {level}"
menu.tools.hint.trade_agreements,Handel
display_event.trade_agreements_result,Raport o handlu zagranicznym
menu.trade.market_saturation.header,Nasycenie rynku
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Nasycenie rynku</hint> produktem:
menu.trade.market_saturation.price,Wpływ nasycenia na cenę:
menu.trade.market_saturation.relaxaction,Dzienne zużycie:
menu.trade.market_saturation.warning,"<red>Oferta przekroczyła <hint=hint_market_volume>popyt lokalny</hint>, co prowadzi do nasycenia rynku i zmniejszenia ceny!</red>"
display_event.new_prophecy,Matrona: nowe proroctwo
display_event.prophecy_started,Proroctwo się ziściło! {prophecy}
prophecy.wolf_attack,Inwazja żerwilków
prophecy.bandits_capm,Armia dezerterów
prophecy.fields_sick_one,Choroba plonów
prophecy.cholera_epidemy,Epidemia ospy
prophecy.xenophoby,Fala ksenofobii
prophecy.crocks_wave,Inwazja włóczęgów
prophecy.fanatics_wave,Żółci fanatycy
prophecy.fields_sick_all,Dni głodu
prophecy.tree_bug,Plaga owadów
prophecy.rats_invasion,Inwazja szczurów
display_event.prophecy_soon,Proroctwo wkrótce się ziści: {prophecy}
display_event.prophecy_complete,Katastrofa dobiegła końca: {prophecy}
