Key,PortugueseBrazilian
notification.sex,{name_initiator} e {name_target} estão passando tempo na cama
notification.sex_treason,{name_initiator} está traindo o cônjuge com {name_target}
notification.tantrum_begin,{name}: surto nervoso!
notification.determination_begin,{name} decide realizar o desejo!
notification.madness_begin,{name}: está fora de si
notification.tantrum_high_probability,{name}: chances altas de um surto nervoso!
notification.tantrum_probability,{name}: chances de um surto nervoso!
notification.threat,{name_initiator} -> {name_target}: ameaçado
notification.thugs_burglary,{name}: os facínoras estão invadindo a casa!
notification.character_is_pregnant,{name} está grávida da criança de {father_name}
notification.character_was_born,Uma criança nasceu: {name}
notification.kid_grow,{name} atingiu a maioridade e se tornou um membro da nobreza baixa.
notification.new_desire,{name} descobriu um desejo forte em si
notification.desire_strong,{name}: o desejo está ainda mais forte
notification.desire_complete,{name}: o desejo foi realizado!
notification.king_greetings,{name} cumprimentou o rei
notification.lord_return,{name} retornou à província
notification.start_hate,{name_initiator} -> {name_target}: começaram a se odiar
notification.captive_escape,{name} está tentando escapar do cativeiro!
notification.captive_welcome,{name} jurou lealdade à casa {fraction_name}
notification.game_save,O jogo foi salvo
notification.got_knowledge_from_talk,{name} ganhou conhecimento durante uma conversa com {name_2}: {knowledge}
punishment.blindness,Cegueira
punishment.execution,Execução
punishment.exile,Exílio
punishment.mask_of_shame,Máscara da vergonha
punishment.enslavement,Aprisionamento
resource.battle_axe,Machados
resource.ale,Cerveja ale
resource.moonshine,Aguardente
resource.beer,Cerveja
resource.bow,Arcos
resource.coal,Carvão
resource.crossbow,Bestas
resource.food,Farinha
resource.heavy_armor,Armadura pesada
resource.instruments,Ferramentas
resource.iron,Ferro
resource.knife,Punhal
resource.light_armor,Armadura leve
resource.medicine,Unguento medicinal
resource.nectar,Néctar
resource.paper,Papel
resource.rune,Anéis Sagrados
resource.shield,Escudos
resource.sword,Espadas
resource.wood,Madeira
resource.wooden_hammer,Maças
resource.wooden_spear,Lanças
resource.hop,Lúpulo
resource.rye,Centeio
resource.steel,Aço
resource.meat,Carne
resource.sweden,Couve-nabo
resource.herb,Erva
resource.producted_store,Itens nos <hint=hint_building_stores>Depósitos</hint> de produção: {count}
resource.on_fields_now,Itens amadurecendo nos campos: {count}
resource.caravan_cost,A Caravana Sagrada vende este recurso por <hint=hint_resource_gold>{cost_buy}</hint> e compra-o por <hint=hint_resource_gold>{cost_sell}</hint>.
screen_ui.day,Dia {day}
statistics.for_5_days,Para 5 dias
statistics.for_today,Para hoje
statistics.for_yesterday,Para ontem
time.hours,{hours} h.
time.minutes,{minutes} min.
work.melter,Fundidor
work.alchemist,Alquimista
work.miller,Moleiro
work.pig_farmer,Porqueiro
work.armorsmith,Armoraria
work.barman,Estalajadeiro
work.drug_dealer,Traficante
work.brewer,Cervejeiro
work.builder,Construtor
work.caravaneer,Caravaneiro
work.carpenter,Carpinteiro
work.coal_furnace,Carvoeiro
work.farmer,Agricultor
work.herbalist,Herbolário
work.inspector,Inspetor
work.jobless,Desempregado
work.miner,Mineiro
work.paper_factory,Fabricante de papel
work.patrol,Patrulheiro
work.priest,Sacerdote
work.salesman,Comerciante
work.servant,Servo
work.weaponsmith,Armeiro
work.woodcutter,Lenhador
work.clerk,Funcionário
work.gallows_inspector,Inspetor de patíbulos
work.chancellery_inspector,Chanceler
work.trainer,Treinador
social_class.dummy,Camponeses
actor.loyalty_change_reason.happy,Bom humor
actor.loyalty_change_reason.unhappy,Mau humor
actor.loyalty_change_reason.satisfied,Humor neutro
actor.loyalty_change_reason.gift,Recebeu uma recompensa
actor.loyalty_change_reason.threat,Recebeu ameaças
actor.loyalty_change_reason.bribe,Recebeu um suborno
actor.loyalty_change_reason.terror,Terror
actor.loyalty_change_reason.donate,Forçado a entregar anéis
actor.loyalty_change_reason.bad_relation_to_king,Má relação com o rei
actor.loyalty_change_reason.good_relation_to_king,Boa relação com o rei
actor.loyalty_change_reason.seduced,Seduzido
actor.loyalty_change_reason.seduce_task,Forçado a seduzir
actor.loyalty_change_reason.seduced_me,Fui seduzido
actor.loyalty_change_reason.bad_day,Dia ruim
battle_squad.no_orders,Sem ordens
battle_squad.caption,Esquadrão de {commander_name}
battle_squad.bandits_squad,Esquadrão dos bandidos
battle_squad.average_mood,Média de humor
battle_squad.average_skill,Habilidade média
battle_squad.equipment,Equipamento
battle_squad.on_legs,Ainda de pé
knowledge.title,Conhecimento
knowledge.title_second,e seus proprietários
knowledge.technology,Tecnologias
knowledge.dogmas,Dogmas
knowledge.holders,DETENTORES DE CONHECIMENTO
knowledge.usual,Tecnologia comum
knowledge.advanced,Tecnologia avançada
knowledge.ultra,Tecnologia superior
knowledge.study,Aprender
knowledge.write,Escrever
knowledge.rewrite,Reescrever
knowledge.book.good_info,Sendo estudado no menu de conhecimento
knowledge.book.need_level,"Recomenda-se ter, no mínimo, o nível {level} de <hint=hint_skill_knowledge>Inteligência</hint> para estudar."
knowledge.book.dialect,<b>O livro está escrito em {dialect}</b>
knowledge.book.dialect_speakers,Falantes de idiomas: {speakers}
menu.knowledge.interaction,INTERAÇÃO
menu.knowledge.empty_menu,"Conhecimento insuficiente para interação.
 Podem ser adquiridos de um comerciante."
menu.knowledge.actor,PERSONAGEM
menu.knowledge.no_knowledge,Sem conhecimento
menu.knowledge.level,(nv. {lvl})
tech.building,{building_name}
tech.building_2,{building_name} e {building_name_2}
tech.building_resource,{building_name} e {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: Melhorar
tech.efficiency,{building_name}: Eficiência
tech.soil,Fertilização de campo eficiente
tech.wood,Corta de madeira eficiente
tech.survive,Cuidados com as plantas
tech.pigfarm,Alimentação adequada de suínos
tech.repair,{building_name}. Reparos econômicos
tech.save.res,{building_name}. Economia de recursos
tech.no.break,{building_name}. Trabalho sem interrupções
tech.no.fire,{building_name}. Medidas de proteção contra incêndios
tech.no.trauma,{building_name}. Medidas de segurança
tech.fast.building,Construção rápida
tech.fast.build.less.wood,Madeira. Construção econômica
tech.fast.build.less.iron,Ferro. Construção econômica
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Intimidação de vadios
tech.loyalist_more,Noções básicas de lealdade
tech.preach_better,Pregação eficaz
tech.slaves_happiness,Felicidade dos prisioneiros
tech.tanya_paper,Papel Tanaya
tech.crevav_swede,Couve-nabo refogada
tech.drought_fight,Combatendo a seca
tech.longevity,Longevidade
tech.addiction_resist,Como lidar com o vício
tech.fanatic_pretend,Fanatismo falso
tech.marah_ale,Cerveja ale Makha
tech.right_nectar,O néctar certo
tech.fertilize_cost_less,Fertilização correta
tech.tree_more_wood,Corte correto
tech.better_meat,Como cozinhar carne
tech.flirt_art,A arte do flerte
tech.voruns_moonshine,Aguardente Varn
tech.dialect,Dicionário de {dialect_name}
tech.cutter,Decapitador
tech.axe_mastery,Proficiência com machado
tech.handfighter,Combate corpo a corpo
tech.tanya_shield,Escudos Tanaya
tech.bow_mastery,Proficiência com arco
tech.mace_stun,Atordoamento com maça
tech.heavy_armor_wear,Como vestir armadura
tech.polite_trade,Comércio educado
tech.sin_mind_reducer,Como não se preocupar com pecados
tech.tome,Vol. {number}
tech.common_good,Produto comum
tech.joy_of_education,A alegria da iluminação
dialect.common,Idioma imperial
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Sinal equipado
decor.bonfire,Fogueira
decor.sign,Símbolo
decor.sign_with_scull,Sinal de caveira
decor.stone,Pedra
decor.pile_of_skulls,Pilha de ossos
decor.bush_1,Arbusto 1
decor.bush_2,Arbusto 2
decor.bush_3,Arbusto 3
decor.floor_remove,Remover estrada
decor.sub.statue,Estátuas
decor.sub.torch,Iluminação
decor.sub.floor,Pisos
decor.sub.other,Outros
decor.sub.trees,Plantas
decor.banner,Estandarte
decor.statue,Estátua
decor.floor_1,Pedra clara
decor.floor_2,Pedra escura
decor.floor_3,Madeira clara
decor.floor_4,Madeira escura
decor.stone_arch,Arco de pedra
decor.torch,Tocha
decor.plant,Planta
decor.bag,Saco
decor.box,Caixa
decor.barrel,Barril
restrictions.activity.beer,Consumo de bebida
restrictions.activity.nectar,Consumo de néctar
restrictions.activity.dice,Jogo de dados
restrictions.activity.weapon,Empunhar armas
restrictions.activity.armor,Vestir armaduras
restrictions.eat.meat,Consumir carne
actor.hint.slave.age,Idade: {age} anos
actor.hint.slave.past,Passado:
actor.culture,Cultura: {culture}
actor.hint.slave.combat_skill,Habilidade de combate: {skill}
actor.hint.slave.traums,Lesões
actor.hint.slave.will_to_be_free,Ansiando por liberdade
building.chancellery.need_charge,"Para começar as operações na chancelaria, ela precisa estar abastecida com papel"
building.chancellery.charging,Os trabalhadores estão carregando papel
building.chancellery.charged,"A chancelaria está funcionando
 O papel durará {day} dia(s)"
building.chacnellery.charge_abort,Cancelar cobrança com papel
building.chacnellery.charge,Cobrar com papel
inspection.hint.today,Inspecionado hoje
inspection.hint.yesterday,Inspecionado ontem
inspection.hint.not,Não inspecionado
inspection.closest_time,As inspeções estarão terminando em {day} dias e {hour} horas
inspection.time,{day} dias {hour} horas
inspection.remain_hours,{hour}h
actor.loyalty.log,Mudança de lealdade
menu.peoples.advice,Dicas:
menu.sodliers.lack_of_equipment,Falta de equipamentos:
menu.migration.terror,A <hint=hint_migration>Migração</hint> <red>acabou</red> por causa do <hint=hint_terror_peasants>Terror</hint> que <red>reina</red> na cidade.
menu.migration.one_village_burned,A <hint=hint_migration>Migração</hint> <red>diminuiu</red> por causa de uma vila que foi queimada na província. A vila será restaurada em alguns dias.
menu.migration.all_village_burned,A <hint=hint_migration>Migração</hint> <red>foi interrompida</red> porque todas as vilas foram queimadas na província. As vilas serão restauradas em alguns dias.
menu.migration,$ Número de <hint=hint_migration>Migrantes</hint> esperados hoje: {peasant_migrants_today}
menu.migration.increased,<green>Aumento da migração</green>. O efeito durará por {days} dia(s) ou mais.
menu.migration.decreased,<red>A migração caiu</red>. O efeito durará por {days} dia(s) ou mais.
actor.hint.no_sins,Sem pecados
social_strata.dummy,Camponeses
social_strata.slaves,Prisioneiros
social_strata.soldiers,Guerreiros
social_strata.lords,Nobres
social_strata.animal,Animal
building.social_availability,DISPONÍVEL POR
building.market_good_not_sell,NÃO VENDER
menu.trade.slave_final_cost,Preço final
menu.trade.slave_base_cost,Preço de base
menu.trade.slave_fertility_cost,Fertilidade
menu.trade.slave_free_mind_cost,Não sente saudades de entes queridos
menu.trade.slave_combat_cost,Habilidades de combate
menu.trade.slave_age_cost,Idade
menu.trade.slave_disability_cost,Deficiência
menu.trade.slave_slowdown_cost,Reduzido
menu.trade.slave_faction_cost,Multiplicador
actor.matching.agree_to_sex,{lord_name} concordará em ter um encontro com este nobre
actor.part_of_nature.heir,Herdeiro
actor.part_of_nature.commander,Comandante
actor.part_of_nature.queen,Cônjuge do governante
actor.name.hired_bandits,Facínora contratado
actor.personality_trait_locked,Desconhecido. Chegue ao nível 15 da habilidade de {skill_name} para desbloquear esta característica.
king_role.strong_supporter,Apoiador do poder
king_role.trader,Materialista
king_role.religious,Religioso
king_role.order_supporter,Defensor da ordem
king_role.suggestable,Suscetibilidade
king_role.liberator,Libertador
king_role.lick,Igualitário
king_role.intriguant,Conspirador
king_role.scientist,Sábio
menu.missing_equipment.no_problems,Sem problemas
actor.deep_social.evil_joke,Zombaria
actor.deep_social.good_joke,Piada
actor.deep_social.deep_talk,Conversa sincera
actor.deep_social.abuse,Insulto
actor.deep_social.slight,Ignorar
actor.deep_social.intrigue,Intriga
actor.deep_social.flattery,Adulação
actor.deep_social.sorry,Desculpas
actor.deep_social.rumors,Rumores
actor.inspection_queue,Fila de inspeção
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} moradores na cidade
knowledge.blocked_reason.knowledge_required,Desbloquear {knowledge_name}
knowledge.blocked_reason.building_required,"O edifício ""{building_name}"" foi construído"
knowledge.blocked_reason.play_days,A cidade existe por {days} dias
knowledge.blocked_reason.no,As condições estão atendidas.
ceremony.wedding,Casamento
ceremony.funeral,Funeral
ceremony.coronation,Coroação
menu.choose_province.climate,Clima:
menu.choose_province.safety,Segurança:
menu.choose_province.forest,Floresta:
menu.choose_province.villages,Vilas:
menu.choose_province.resources,Recursos:
menu.choose_province.moderate,Moderado
menu.choose_province.many,Muitos
menu.choose_province.high,Alto
menu.playtest.welcome_caption,Boas-vindas!
menu.demo.welcome,"Boas-vindas!
 
 Esta demonstração inclui uma experiência completa de jogo, limitada a {demo_days_count} dias no jogo.
 
 Ainda há muitos detalhes a serem resolvidos, então já pedimos desculpas por quaisquer erros e problemas que você possa encontrar.
 
 <right>Obrigado,
 Equipe Long Jaunt</right>"
menu.demo.alpha,"<b>Acesso antecipado</b>
 
 Há diversos aspectos do jogo que ainda estão em desenvolvimento e serão melhorados:
 
 $ Idiomas
 $ Possíveis erros
 $ Otimização
 $ Etc."
menu.playtest.welcome,"Agradecemos por aceitar o convite para jogar esta versão teste de Norland.
 
 O jogo ainda trava de vez em quando, contém alguns erros e carece de interfaces atualizadas, mas, funcionalmente, esta é a versão que queremos lançar no acesso antecipado.
 
 Ao final do jogo, clique no botão no menu principal para <b>deixar um feedback</b>. Leva apenas dois minutos!
 
 Esta versão está disponível por {demo_days_count} dias.
 
 <right>Obrigado,
 Equipe Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Playtest Beta
menu.story,"Norlândia, no ano 2898 desde a criação do mundo.
 
 Duzentos anos se passaram desde que o grande <b>Império Carmesim</b> pereceu nas chamas da guerra religiosa. Suas antigas províncias se tornaram reinos bárbaros, cuja destruição mútua foi impedida apenas pela todo-poderosa <b>Igreja da Mãe Sofia</b>.
 
 Enquanto os santos profetas falam do iminente fim do mundo, em um dos pequenos reinos, um sonho do nascimento de um novo império está tomando forma..."
menu.new_game_story,"Após uma longa e exaustiva jornada, {soul_uuid_king} chegou em casa com esperanças de ver sua esposa aguardando nas portas do salão. No entanto, em vez dela, seu irmão se aproximou dele. A expressão no rosto dele não pressagiava coisa boa.
 
 “Meu rei, não trago notícias boas.”
 ""O que aconteceu, {soul_uuid_brother}? Não demore, diga-me a verdade.""
 Incapaz de olhar o rei nos olhos, {soul_uuid_brother} gaguejou enquanto começava a falar:
 ""Bandidos nos atacaram na noite passada. Tentamos nos defender, mas eram muitos. Eles sequestraram sua esposa e agora exigem um valor de resgate.""
 ""Então, ordene a um mensageiro que entregue o que eles pediram!""
 ""Mas, meu rei, estamos cercados por inimigos. Embora estejamos sob a proteção da vassalagem por enquanto, você sabe que o tempo do velho rei está se esgotando. Se não tivermos ouro e recursos suficientes, não conseguiremos resistir. Precisamos de um exército.""
 ""Então você sugere que eu abandone a {soul_uuid_wife}?""
 ""Enquanto eles tiverem esperança de receber o pagamento, não a machucarão.""
 ""Preciso de tempo para pensar em tudo isso. Vá agora e aguarde minhas instruções."""
menu.new_game_story_header,O começo da história
menu.demo.finish.header,Fim da história
menu.demo.finish,"A versão demo de Norland termina aqui...
 
 Você pode tentar jogar com configurações iniciais mais desafiadoras ou nobres com habilidades diferentes.
 
 Agradecemos por jogar!"
menu.demo.finish.back_to_menu,Voltar ao menu
menu.settings.change_resolution.apply.header,Alterando configurações
menu.settings.change_resolution.apply.body,"As configurações de resolução de tela foram alteradas.
 Para jogar com essas configurações, pressione ""{accept_button_caption}"", caso contrário, elas serão canceladas automaticamente em {time_remain_seconds} segundos."
menu.hack_detected.header,Modificação do arquivo de salvamento detectada
menu.hack_detected,"Não podemos garantir o funcionamento adequado do jogo após modificações de terceiros nos arquivos de salvamento.
 
 Os relatórios de bugs são enviados para nós, mas, nesses casos, não podemos determinar com certeza se o erro ocorreu por causa de um bug no jogo ou devido à interferência de terceiros nos arquivos.
 
 Isso nos força a gastar tempo procurando erros inexistentes em vez de corrigir os já existentes, o que afeta negativamente a qualidade do jogo.
 
 Portanto, somos obrigados a proibir a modificação dos arquivos de salvamento até que o jogo seja lançado."
resource.not_available.by_synod,Melhore sua <hint=hint_relations_matriarch>Relação com a Matriarca</hint> para {number} para que a Caravana Sagrada comece a lhe vender este produto.
text.preposition,ou
menu.ambition.screen_title,Ambições do rei
menu.ambition.text,O rei decide que é hora de anunciar as ambições que determinarão o futuro de sua família nobre.
ambition.conquer,Conquistar
ambition.allias,Formar alianças
ambition.populate_city,Fundar uma cidade
ambition.gain_population,Aumentar a população
ambition.produce_goods,Produzir recursos
menu.ambition.complete_title,Ambições alcançadas!
menu.ambition.complete,"O seu rei alcançou seus objetivos e agora todos o conhecerão como {soul_uuid_1} <b>{name}!</b> 
 
 No entanto, o céu é o limite para as ambições dos reis. Em breve, novas ideias surgirão..."
ambtion.button.ok,Aceitar
ambition.checkbox.conquer,<b>Conquistador.</b> O poder leva à prosperidade da dinastia. Adicione <b>{vas_num} vassalos</b> ao seu reino.
ambition.checkbox.allias,<b>Unificador.</b> A ajuda mútua nos tornará mais fortes. Expanda sua aliança de cidades livres para <b>{all_num} províncias</b>.
ambition.checkbox.populate_city,Veja mais detalhes sobre fundação de cidades.
ambition.checkbox.gain_population,"<b>Fértil.</b> Quanto mais população, mais força. Aumente a população da província em <b>{pop_num} pessoas</b>."
ambition.checkbox.produce_goods,<b>Econômico.</b> A economia decide tudo. Alcance uma <b>produção diária</b> de produtos no valor de <b><hint=hint_resource_gold>{prod_num}</hint></b> (atual <hint=hint_resource_gold>{now}</hint>).
menu.battle.auto_battle,Batalha automática
menu.battle.retreat,"Seu exército recuará da batalha. Esta ação será considerada uma derrota e afetará gravemente o humor dos guerreiros, mas eles salvarão suas vidas."
menu.battle.manually_battle,Batalha no mapa
ambition.title.conquer,Espada afiada
ambition.title.allias,Punho de ferro
ambition.title.gain_population,Ninho grande
ambition.title.produce_goods,Registro do celeiro
ambition.resume,Retomar ambição anterior
menu.resource_statistics.legend.title,Significado das estatísticas
menu.resource_statistics.legend.in_store,A quantidade de recursos no depósito da cidade
menu.resource_statistics.legend.production,A quantidade de recursos que foram produzidos em um dia de trabalho
menu.resource_statistics.legend.used,"A quantidade de recursos que foi gasta na produção de outros recursos e na construção de edifícios; e, no caso de comida e bebida, a quantidade consumida por nobres e escravos"
menu.resource_statistics.legend.in_use,A quantidade de recursos que permanecem nos depósitos dos edifícios de produção e no inventário dos guerreiros
menu.resource_statistics.legend.in_local_market,"A quantidade das vendas de hoje nos mercados locais, tavernas e antros"
menu.resource_statistics.legend.caravan,Os resultados do comércio com a Caravana Sagrada
menu.resource_statistics.header.in_store,Em estoque
menu.resource_statistics.header.production,Produção
menu.resource_statistics.header.used,Usado
menu.resource_statistics.header.in_use,Nos depósitos de edifícios e guerreiros
menu.resource_statistics.header.in_local_market,Mercado local
menu.resource_statistics.header.caravan,Comércio com a Caravana Sagrada
menu.resource_statistics.no_data,As estatísticas aparecerão amanhã
study.complex,Treinamento geral
soul.tab.logs,HISTÓRICO
tech.war_logistic,Logística militar vol. {vol}
tech.prisoners,Cativos
building.menu.lvl,Nv. {lvl}
building.menu.resources,DEPÓSITO DO EDIFÍCIO
building.menu.workers_road_time,TEMPO DE DESLOCAMENTO DOS TRABALHADORES
building.menu.to_workplace,Até o local de trabalho:
building.menu.to_warehouse,Até o depósito:
building.menu.priority,Prioridade
building.menu.produced,PRODUZIDO
building.menu.workers_bonus,Bônus dos trabalhadores:
building.menu.manager_bonus,Bônus de administração:
building.menu.workers,TRABALHADORES
building.menu.instructions,INSTRUÇÕES
building.menu.set_inspector,Nomear administrador
"building.menu,inspection_bonus",Bônus:
building.menu.builld_first,Construir isto primeiro
building.menu.upgrade,Melhorar
building.menu.ship_now,"Envie os produtos
 prontos agora"
options_menu.audio.voice_volume,VOLUME DE VOZ
building.prefer.noone,Sem prioridade
building.prefer.nectar,Viciado em néctar
building.prefer.slaves,Prisioneiros
building.prefer.loyalist,Lealistas
building.prefer.culture,{culture}
building.prefer.all,Automaticamente
display_event.communication_lost,{faction_name}: Comunicação perdida
building.menu.terror_all,Todos {count}
building.menu.terror_no,Não
building.menu.terror_culture,{culture} {count}
building.menu.execution,EXECUÇÃO
building.menu.terror,Terror
building.menu.daily_statistic,ESTATÍSTICAS DIÁRIAS
building.menu.intimidations,Intimidações
building.menu.path_calculation,Calculando
building.menu.path_cant_find,Não é possível encontrar
time.hour_minut,{hour}h {minut}min
time.minut,{minut}min
actor.social_strata.dummy,Plebeu
notification.sex_treason_with_dummy,{name_initiator} trai seu cônjuge com um membro da plebe
building.menu.building_resources,RECURSOS DO EDIFÍCIO
chancellery.inspection_bonus,O bônus de produção das inspeções é equivalente ao nível da habilidade de administração do nobre encarregado da chancelaria: {bonus}%.
menu.army.new_army.warriors_count,{warriors_count} Guerreiros
menu.army.new_army.weapons_count,{weapons_count} Armas
tech.poisoner,Segredos do veneno
menu.building.church.morning_service_stat,DADOS DO ÚLTIMO SERMÃO
menu.building.church.gathering_time,Horário de reunião:
menu.building.church.congregation,Congregação:
menu.building.church.sermons,SERMÕES
menu.buidling.church.fanatics,Fanáticos: +{count}
menu.buidling.church.agnostics,Agnósticos +{count}
building.menu.workplace.clerks,FUNCIONÁRIOS
building.menu.refill_auto,Reabastecer automaticamente
building.menu.inspections_delivered,Instruções dadas: {count}
building.menu.living.residents,MORADORES ({current} / {max})
building.menu.sold_today,VENDAS DE HOJE
building.menu.guards,GUARDAS
family.son_of,Filho de
family.daughter_of,Filha de
display_event.mountains_bandits_prepare_to_attack,Salteadores estão se preparando para atacar sua cidade
actor.mood,Humor
building.description.library,Aqui os nobres trabalham com conhecimento
building.description.decor,Agradável aos olhos
building.description.altar,Local de cerimônias e queimas
building.menu.crimes_prevented,Crimes prevenidos
norland.plot_day_4_header,O novo império
norland.plot_day_4_body,"A civilização desaparece gradualmente: o processo pode durar séculos e os cidadãos comuns não percebem nada até o fim. Mas um governante conhecedor da história deve entender que apenas unindo reinos em guerra é possível prevenir o início de uma era de trevas.
 
 A Norlândia agora está em uma encruzilhada. A Igreja já não consegue lidar com os diversos desafios enfrentados pelas pessoas há muito tempo. Guerras frequentes, fome e doenças tornaram-se comuns. Tecnologias e conhecimentos ainda não foram perdidos, mas, se nada for feito, eles logo desaparecerão, levando consigo a civilização.
 
 A esperança é a última que morre, mas para isso, você deve:
 
 $ Ter <b>{goal_number}</b> províncias da Norlândia sob seu controle, seja como rei de um estado de vassalos ou como líder de uma aliança de cidades livres.
 $ Proclamar-se o novo imperador e desafiar a Inquisição da Igreja."
norland.plot.end_game_header,O novo império: a batalha final
norland.plot.end_game,"""O mapa da Norlândia está diante de mim. De todos os reis, {goal_number} me obedecem e me respeitam. É hora de tomar a coroa do império e desafiar a Igreja da Mãe Sofia. Quando a Inquisição quebrar os dentes tentando acabar com meu exército, o mundo inteiro me reconhecerá como imperador, e a Rocha de Fé cairá aos meus pés. O julgamento final aguarda.""
 
 $ Quando for a hora, proclame-se o imperador do novo império (ação do rei).
 $ Derrote a Santa Inquisição no campo de batalha para garantir o título e vencer o jogo."
ambitions.province_under_control,"<b>O novo império</b>
 
 Tenha <b>{goal_number}</b> províncias da Norlândia sob seu controle, seja como rei de um estado de vassalos ou como líder de uma aliança de cidades livres.
 
 Províncias controladas: {under_control} de {total_province}"
display_event.global_map_ai_ask_help,O rei {king_name} de {faction_name} pede ajuda contra {danger_faction_name}
display_event.global_map_ai_declare_peace,O rei {king_name} de {faction_name} propõe um tratado de paz
display_event.global_map_ai_invite_to_alliance,O rei {king_name} de {faction_name} oferece juntar-se à aliança
main_menu.continue_without_tutorial,Começar sem tutorial
display_event.build_library,Construir uma biblioteca
main_menu.warning,Aviso!
display_event.retrieve_bishop,O bispo deixa a província
display_event.holy_family_below_zero,Você perdeu a graça da Matriarca!
resource.product_requirement.technology,Estude a tecnologia de <b>{technology}</b>
resource.product_requirement.building,Construa um edifício de <b>{building}</b>
main_menu.continue_start_tutorial,Começar com tutorial
main_menu.new_game.family.members.default,Dois irmãos e uma esposa
actor.faction_from,de {town}
new_game.province_difficulty.easy,Fácil
new_game.province_difficulty.normal,Normal
new_game.province_difficulty.hard,Difícil
new_game.province_difficulty.recommended,Recomendado para novos jogadores
display_event.loan_will_be_expired_soon,Precisa pagar a {faction_name} em breve
main_menu.new_game.family.recommended_for_newbs,Configurações de habilidades recomendadas para um jogo equilibrado
new_game.province_difficulty.header,Dificuldade:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>As relações com vizinhos não vão piorar</green>.
building.menu.terror_fanatics,Fanáticos {count}
global_map.relation_aftermath,$ Relação com os vizinhos: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Relação com {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Consequências</b>:
tech.kaiden_army,Exército Kaiden
tech.makha_trade,Comércio Makha
tech.makha_fanatic_terror,Terror dos fanáticos
tech.econom_writing,Escrita com custo-benefício
tech.faith_defender,Defesa da fé
tech.kaiden_training,Treinamento Kaiden
tech.kaiden_loyalist,Lealistas eternos
tech.makha_secret_deals,Negócios secretos
display_event.holy_protection_will_removed_soon,A proteção da Família Amorosa será retirada em breve!
display_event.holy_protection_was_removed,A proteção da Família Amorosa foi retirada!
display_event.holy_protection,A proteção da Família Amorosa
display_event.swede_typh_allowed,Febre da couve-nabo
tutorial_events.disabled,Desativados
tutorial_events.articles_only,Apenas artigos
tutorial_events.articles_and_advices,Artigos e conselhos
soul.from_faction,{soul_uuid} de {faction_uuid}
gui.living_place.appoint.header,Popular
actor.loyalty_2,Lealdade
actor.important_persons,PESSOAS IMPORTANTES
encyclopedia.popup_window.okay,Entendi
encyclopedia.popup_window.read_full,Próximo
actor.opinion.interest_simple,Interesse
free_lord.first_hire,{first_hire_discount}% de desconto na primeira contratação
menu.knowledge.longer_time,"Devido às baixas habilidades de aprendizado, leva mais tempo para aprender!
 
 Nível de conhecimento {tech_level}
 Nível do nobre {lord_level}"
menu.knowledge.write_time,Escrever um livro levará <b>{learn_time}h</b>
menu.knowledge.learn_time,$ Estudar este livro levará <b>{learn_time}h</b>
building.patrol_sign_day,Patrulha diurna
tech.slaves_contain,Mantendo prisioneiros
time.days,{days} d
actor.action_task.spent_time_diplomacy,Visita do enviado
display_event.culture_approve,{culture} aprova as ações do rei
menu.trade.less_tax_for_amy,"*Graças ao conhecimento de defesa da fé, o valor do imposto é reduzido em {discount}%"
menu.army.tax_for_soldier,"<b>Ao contratar este guerreiro</b>
 $ Com base na sua habilidade de combate, o <hint=hint_tutorial_church_tax>Imposto sobre Guerreiros</hint> da Igreja aumentará em <hint=hint_resource_gold>{soldier_tax}</hint>. O imposto total será de <hint=hint_resource_gold>{overal_tax}</hint> por dia."
options_menu.game.camera_speed,VELOCIDADE DA CÂMERA
actor.action_task.wise_talk,Conversa sábia
display_event.senility_begin,{name}: está com demência senil!
display_event.character_loss_skill_trait,"{name}: como resultado da degradação da habilidade em {skill_name}, o talento em {trait_name} foi perdido"
display_event.character_loss_knowledge,"{name}: como resultado do envelhecimento, esqueceu {knowledge}"
knowledge.unavailable_knowledge,Conhecimento indisponível
building.menu.mine_resources,RESERVAS
building.menu.mine_mined,Ferro extraído {mined} / {limit}
display_event.mine.limit_reached,As reservas da mina estão esgotadas
display_event.mine.limit_soon,A mina está se esgotando
display_event.fetility_loss_from_tree,A fertilidade do solo diminuiu
statistics_menu.province.resources,Recursos da província
statistics_menu.province.trees_cuted,Florestas cortadas:
statistics_menu.province.ground_fertility,Fertilidade do solo:
statistics_menu.province.iron_mines,Depósito de ferro
statistics_menu.province.no_mine,A mina não foi construída:
trade_agreements.header,Acordos comerciais
trade_agreements.today_balance,Comércio hoje:
trade_agreements.auto_trade,Comércio automático
trade_agreements.no_trade_agreements,Você não tem contratos de comércio ativos
statistics_menu.province.mine_n,Mina {n}:
statistics_menu.province.not_builded,não construída
knowledge.category.economic,Econômico
