Key,SimplifiedChinese
menu.knowledge.empty_menu,"没有可互动的知识。
 可从商人处获得。"
menu.knowledge.actor,角色
menu.knowledge.no_knowledge,没有知识
menu.knowledge.level,（等级 {lvl}）
tech.building,{building_name}
tech.building_2,{building_name}和{building_name_2}
tech.building_resource,{building_name}和{resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}：升级
tech.efficiency,{building_name}：效率
tech.soil,高效田间施肥
tech.wood,高效伐木
tech.survive,植物照护
tech.pigfarm,正确的喂猪方法
tech.repair,{building_name}。经济型维修
tech.save.res,{building_name}。资源节约
tech.no.break,{building_name}。无故障运行
tech.no.fire,{building_name}。防火措施
tech.no.trauma,{building_name}。安全措施
tech.fast.building,快速建造
tech.fast.build.less.wood,木材。经济型建造
tech.fast.build.less.iron,铁。经济型建造
tech.skill,{skill_name}。{tome}
tech.criminal_intimidation,恐吓流民
tech.loyalist_more,忠诚度基础
tech.preach_better,有效布道
tech.slaves_happiness,囚犯幸福度
tech.tanya_paper,塔纳亚纸
tech.crevav_swede,炖芜菁
tech.drought_fight,抗旱
tech.longevity,长寿
tech.addiction_resist,如何处理成瘾
tech.fanatic_pretend,虚假狂热
tech.marah_ale,马哈麦酒
tech.right_nectar,优质蜜酿
tech.fertilize_cost_less,正确施肥
tech.tree_more_wood,正确修剪
tech.better_meat,烹饪肉类
tech.flirt_art,调情艺术
tech.voruns_moonshine,瓦恩劣酒
tech.dialect,{dialect_name}方言词典
tech.cutter,斩首者
tech.axe_mastery,斧头熟练度
tech.handfighter,近身格斗
tech.tanya_shield,塔纳亚护盾
tech.bow_mastery,弓箭专精
tech.mace_stun,链锤击晕
tech.heavy_armor_wear,穿戴盔甲
tech.polite_trade,礼貌交易
tech.sin_mind_reducer,如何不为罪孽忧虑
tech.tome,卷 {number}
tech.common_good,公共利益
tech.joy_of_education,启蒙的喜悦
dialect.common,帝国语
dialect.tanaya,塔纳亚
dialect.voruns,瓦恩
dialect.gwelts,凯登
dialect.makha,马哈
decor.signt_with_equipment,装备标志
decor.bonfire,篝火
decor.sign,标志
decor.sign_with_scull,骷髅标志
decor.stone,石头
decor.pile_of_skulls,骨堆
decor.bush_1,灌木 1
decor.bush_2,灌木 2
decor.bush_3,灌木 3
decor.floor_remove,移除道路
decor.sub.statue,雕像
decor.sub.torch,照明
decor.sub.floor,地板
decor.sub.other,其他
decor.sub.trees,植被
decor.banner,旗帜
decor.statue,雕像
decor.floor_1,光明石
decor.floor_2,黑暗石
decor.floor_3,光明木材
decor.floor_4,黑暗木材
decor.stone_arch,石拱门
decor.torch,火炬
decor.plant,植物
decor.bag,麻袋
decor.box,板条箱
decor.barrel,桶
restrictions.activity.beer,酒精消耗
restrictions.activity.nectar,蜜酿消耗
restrictions.activity.dice,骰子游戏
restrictions.activity.weapon,使用武器
restrictions.activity.armor,穿戴盔甲
restrictions.eat.meat,肉类消耗
actor.hint.slave.age,年龄：{age} 岁
actor.hint.slave.past,过往：
actor.culture,文化：{culture}
actor.hint.slave.combat_skill,战斗技能：{skill}
actor.hint.slave.traums,伤害：
actor.hint.slave.will_to_be_free,渴望自由
building.chancellery.need_charge,需要提供纸张才能在官邸工作
building.chancellery.charging,工人们正在运送纸张
building.chancellery.charged,"官邸中正在处理政务
 纸张可持续 {day} 天"
building.chacnellery.charge_abort,取消纸张供应
building.chacnellery.charge,供应纸张
inspection.hint.today,今日已视察
inspection.hint.yesterday,昨日已视察
inspection.hint.not,未视察
inspection.closest_time,视察将在 {day} 天 {hour} 小时后结束
inspection.time,{day} 天 {hour} 小时
inspection.remain_hours,{hour} 小时
actor.loyalty.log,忠诚度变化
menu.peoples.advice,提示：
menu.sodliers.lack_of_equipment,缺乏设备：
menu.migration.terror,由于城市中<hint=hint_terror_peasants>恐慌</hint><red>肆虐</red>，<hint=hint_migration>人口迁入</hint> <red>已经停止</red>。
menu.migration.one_village_burned,由于省邦内的一个村庄被烧毁，<hint=hint_migration>人口迁入</hint><red>已经减少</red>。村庄将在几天内复原。
menu.migration.all_village_burned,由于省邦内的所有村庄被烧毁，<hint=hint_migration>人口迁入</hint><red>已经停止</red>。村庄将在几天内复原。
menu.migration,$今日预计<hint=hint_migration>迁入人口</hint>：{peasant_migrants_today}
menu.migration.increased,<green>人口迁入增加</green>。效果将持续 {days} 天以上。
menu.migration.decreased,<red>人口迁入减少</red>。效果将持续 {days} 天以上。
actor.hint.no_sins,无罪
social_strata.dummy,平民
social_strata.slaves,囚犯
social_strata.soldiers,战士
social_strata.lords,领主
social_strata.animal,动物
building.social_availability,可用于
building.market_good_not_sell,不出售
menu.trade.slave_final_cost,最终价格
menu.trade.slave_base_cost,基础价格
menu.trade.slave_fertility_cost,肥力
menu.trade.slave_free_mind_cost,并不想念亲人
menu.trade.slave_combat_cost,战斗技能
menu.trade.slave_age_cost,年龄
menu.trade.slave_disability_cost,残疾
menu.trade.slave_slowdown_cost,缓慢
menu.trade.slave_faction_cost,obsolete
actor.matching.agree_to_sex,{lord_name}会同意与此领主约会
actor.part_of_nature.heir,王位继承人
actor.part_of_nature.commander,指挥官
actor.part_of_nature.queen,统治者的配偶
actor.name.hired_bandits,雇佣的刺客
actor.personality_trait_locked,未公开。将{skill_name}技能提升到 15 级以解锁此特质。
king_role.strong_supporter,权力支持者
king_role.trader,物质至上者
king_role.religious,宗教信仰者
king_role.order_supporter,秩序保卫者
king_role.suggestable,易受影响
king_role.liberator,解放者
king_role.lick,平等主义者
king_role.intriguant,阴谋家
king_role.scientist,智者
menu.missing_equipment.no_problems,没有问题
actor.deep_social.evil_joke,嘲讽
actor.deep_social.good_joke,玩笑
actor.deep_social.deep_talk,促膝长谈
actor.deep_social.abuse,侮辱
actor.deep_social.slight,忽略
actor.deep_social.intrigue,挑拨
actor.deep_social.flattery,奉承
actor.deep_social.sorry,道歉
actor.deep_social.rumors,造谣
actor.inspection_queue,视察队列
knowledge.blocked_reason.population_required,城中居民：{number_of_peoples}/{required_peoples}
knowledge.blocked_reason.knowledge_required,{knowledge_name}已解锁
knowledge.blocked_reason.building_required,建造了建筑“{building_name}”
knowledge.blocked_reason.play_days,该城镇已存在 {days} 天
knowledge.blocked_reason.no,已满足条件。
ceremony.wedding,婚礼
ceremony.funeral,葬礼
ceremony.coronation,加冕礼
menu.choose_province.climate,气候：
menu.choose_province.safety,安全：
menu.choose_province.forest,森林：
menu.choose_province.villages,村庄：
menu.choose_province.resources,资源：
menu.choose_province.moderate,obsolete
menu.choose_province.many,大量
menu.choose_province.high,高
menu.playtest.welcome_caption,欢迎！
menu.demo.welcome,"欢迎！
 
 目前本体验版游戏仅提供游戏内 {demo_days_count} 天的完整游戏体验。
 
 目前游戏仍有多方面需要完善，您可能会遇到一些错误和问题，对此我们深表歉意。
 
 <right>感谢您的游玩，
 Long Jaunt 团队</right>"
menu.demo.alpha,"<b>抢先体验</b>
 
 游戏的许多方面，如：
 
 $部分语言
 $可能存在的错误
 $优化
 $等工作
 
 仍在制作中，并将在后续更新中改进。"
menu.playtest.welcome,"感谢您接受我们的邀请，游玩《诺兰德》测试版。
 
 游戏偶尔会崩溃，也存在一些错误，界面也尚未更新完成，但功能上已经满足抢先试玩版的体验。
 
 请花 2 分钟时间在游戏结束时留下<b>反馈</b>（主菜单上的按钮）。
 
 在该版本中，游戏进程最多只能达到 {demo_days_count} 天。
 
 <right>感谢您的游玩，
 Long Jaunt 团队</right>"
menu.demo.under_logo,体验版
menu.playtest.under_logo,测试版
menu.story,"这是创世后 2898 年的诺兰德。
 
 自从伟大的<b>绯红帝国</b>因宗教战争而陨落，已经过去了两百年。帝国从前的各个省邦已经变成了野蛮的王国，只有全能的<b>圣母索菲亚教会</b>才能阻止各个领地互相厮杀走向毁灭。
 
 当神圣的先知们预言世界末日即将来临之际，在一个小王国里，一个新帝国诞生的梦想正在成形……"
menu.new_game_story,"经过漫长而疲惫的旅程，{soul_uuid_king}回到家，以为会看到妻子在大厅门口等着他。然而，走向他的不是她，而是他的弟弟。他脸上的表情可不是什么好兆头。
 
 “我的君王，我有一些不好的消息。”
 “发生了什么，{soul_uuid_brother}？有话直说吧。”
 {soul_uuid_brother}不敢直视君王的眼睛，结结巴巴地说：
 “强盗昨夜袭击了我们。我们试图自卫，但他们人太多了。他们绑架了你的妻子，现在要求我们支付赎金。”
 “那就派信使来告诉我们他们要什么吧！”
 “但是，我的君王，我们被敌人包围了。虽然我们现在处于附庸的保护之下，但你知道，老君王的寿命所剩无几。如果我们没有足够的金币和资源，我们将无法抵挡。我们需要一支军队。”
 “你这是在暗示我放弃{soul_uuid_wife}吗？”
 “只要有收到赎金的希望，他们就不会伤害她。”
 “我需要时间把这一切想清楚。先退下吧，等候我的指令。”"
menu.new_game_story_header,故事开始
menu.demo.finish.header,故事结束
menu.demo.finish,"《诺兰德》试玩版到此结束……
 
 您可以继续游玩，尝试更有挑战性的初始设置或不同的领主技能。
 
 感谢游玩！"
menu.demo.finish.back_to_menu,返回主菜单
menu.settings.change_resolution.apply.header,更改设置
menu.settings.change_resolution.apply.body,"屏幕分辨率设置已更改。
 要应用这些设置，请按“{accept_button_caption}”，否则设置将在 {time_remain_seconds} 秒内自动取消。"
menu.hack_detected.header,检测到存档修改
menu.hack_detected,"我们不能保证第三方修改存档后游戏的正常运行。
 
 收到 Bug 报告后，我们将无法确定错误是由于游戏 Bug 还是由于第三方干扰文件导致。
 
 这迫使我们花时间寻找不存在的错误，而不是修复已经存在的错误，因而会对游戏质量产生负面影响。
 
 因此，我们不得不暂时禁止修改存档，直到游戏正式发布。"
resource.not_available.by_synod,改善你与<hint=hint_relations_matriarch>女教皇的关系等级</hint>，达到{number}，然后圣商队就会向你出售此产品。
text.preposition,或
menu.ambition.screen_title,君王的野心
menu.ambition.text,君王认为是时候宣告自己的雄韬伟略了。他的抱负将左右你贵族世家的未来。
ambition.conquer,征服
ambition.allias,组建同盟
ambition.populate_city,建立一座城市
ambition.gain_population,增加人口
ambition.produce_goods,产出资源
menu.ambition.complete_title,实现抱负！
menu.ambition.complete,"你的君王实现了目标，现在天下无人不知他{soul_uuid_1}<b>{name}的声名！</b>
 
 然而，君王的野心永无止境，很快，新的抱负又会占满他的头脑……"
ambtion.button.ok,接受
ambition.checkbox.conquer,</b>征服者。<b>以强权维持王朝的繁荣。为你的王国吸纳<b>{vas_num}附庸</b>。
ambition.checkbox.allias,<b>统一者。</b>只有团结互助，我们才能强大。将你的自由城联盟扩展到<b>{all_num}省邦</b>。
ambition.checkbox.populate_city,关于建立发展城市。
ambition.checkbox.gain_population,<b>人丁兴旺。</b>人口越多，实力越强。该省邦的人口增加 <b>{pop_num} 人</b>。
ambition.checkbox.produce_goods,<b>经济发达。</b>经济决定一切。货物<b>日产量</b>价值达到<b><hint=hint_resource_gold>{prod_num}</hint></b>。（当前：<hint=hint_resource_gold>{now}</hint>）
menu.battle.auto_battle,自动战斗
menu.battle.retreat,你的军队将从战斗中撤退——此举会被视为战败，并将打击战士的情绪，但能让他们不白白牺牲。
menu.battle.manually_battle,地图上的战斗
ambition.title.conquer,利剑
ambition.title.allias,铁腕
ambition.title.gain_population,熙熙攘攘
ambition.title.produce_goods,谷仓账本
ambition.resume,继续之前的抱负
menu.resource_statistics.legend.title,统计数据含义
menu.resource_statistics.legend.in_store,城市仓库中的资源数量有多少
menu.resource_statistics.legend.production,一个工作日生产了多少资源
menu.resource_statistics.legend.used,有多少资源用于生产其他资源和建造建筑物，以及领主和奴隶消耗了多少食物和酒
menu.resource_statistics.legend.in_use,生产型建筑的仓库和战士物品栏中还剩多少资源
menu.resource_statistics.legend.in_local_market,今天本地市场、酒馆和蜜酿窝点的销售量
menu.resource_statistics.legend.caravan,与圣商队交易的结果
menu.resource_statistics.header.in_store,储存中
menu.resource_statistics.header.production,生产
menu.resource_statistics.header.used,已使用
menu.resource_statistics.header.in_use,在建筑仓库和军备库中
menu.resource_statistics.header.in_local_market,本地市场
menu.resource_statistics.header.caravan,与圣商队交易
menu.resource_statistics.no_data,统计数据将于明天显示
study.complex,综合训练
soul.tab.logs,历史
tech.war_logistic,军事后勤第 {vol} 卷
tech.prisoners,俘虏
building.menu.lvl,等级 {lvl}
building.menu.resources,建筑仓库
building.menu.workers_road_time,工人通勤时间
building.menu.to_workplace,到工作场所：
building.menu.to_warehouse,到仓库：
building.menu.priority,优先级
building.menu.produced,已生产
building.menu.workers_bonus,工人奖励：
building.menu.manager_bonus,管理人奖励：
building.menu.workers,工人
building.menu.instructions,指令
building.menu.set_inspector,指定管理人
"building.menu,inspection_bonus",奖励：
building.menu.builld_first,优先建造此建筑
building.menu.upgrade,升级
building.menu.ship_now,"立即运送产出的
 货物"
options_menu.audio.voice_volume,声音音量
building.prefer.noone,无优先级
building.prefer.nectar,蜜酿成瘾者
building.prefer.slaves,囚犯
building.prefer.loyalist,忠诚派
building.prefer.culture,{culture}
building.prefer.all,自动
display_event.communication_lost,{faction_name}：交流中断
building.menu.terror_all,全部 {count}
building.menu.terror_no,无
building.menu.terror_culture,{culture} {count}
building.menu.execution,处决
building.menu.terror,恐慌
building.menu.daily_statistic,每日统计
building.menu.intimidations,恐吓
building.menu.path_calculation,计算中
building.menu.path_cant_find,无法找到
time.hour_minut,{hour} 小时 {minut}分
time.minut,{minut} 分
actor.social_strata.dummy,平民
notification.sex_treason_with_dummy,{name_initiator} 与平民有外遇
building.menu.building_resources,建筑资源
chancellery.inspection_bonus,由视察带来的生产加成相当于对应官邸的领主管理技能等级：{bonus}%。
menu.army.new_army.warriors_count,{warriors_count} 名战士
menu.army.new_army.weapons_count,{weapons_count} 件武器
tech.poisoner,毒药秘密
menu.building.church.morning_service_stat,上次布道数据
menu.building.church.gathering_time,聚会时间：
menu.building.church.congregation,集会：
menu.building.church.sermons,布道
menu.buidling.church.fanatics,狂热信徒：+ {count}
menu.buidling.church.agnostics,不可知论者：+ {count}
building.menu.workplace.clerks,文员
building.menu.refill_auto,自动补充
building.menu.inspections_delivered,已发送指令：{count}
building.menu.living.residents,居民 ({current} / {max})
building.menu.sold_today,今日已售
building.menu.guards,卫兵
family.son_of,男性，父亲：
family.daughter_of,女性，父亲：
display_event.mountains_bandits_prepare_to_attack,山匪正准备攻击你的城市
actor.mood,心情
building.description.library,在这里，领主凭借自己的知识工作
building.description.decor,美观
building.description.altar,举行仪式和焚香的场所
building.menu.crimes_prevented,预防犯罪
norland.plot_day_4_header,新帝国
norland.plot_day_4_body,"文明在逐渐消失，这个过程可能会持续数个世纪，直到最后才会引起普通公民的警觉。但一个通晓历史的统治者必须明白，只有平息战火，将交战的王国统一起来，才能防止黑暗时代的到来。
 
 诺兰德现在正处在一个十字路口。教会长期以来一直无法应对民众面对的各类挑战。频繁的战争、饥荒和疾病已经司空见惯。技术和知识尚存，但如果不采取任何措施，它们很快就会消亡，文明也会随之消失。
 
 希望始终都在，但你必须：
 
 $将诺兰德的 <b>{goal_number}</b> 个省邦划归在你的控制之下——无论是以附庸国君王的身份发起联合，还是亲自领导一个自由城联盟。
 $宣布自己为新皇帝，挑战教会的审判庭。"
norland.plot.end_game_header,新帝国：最后的战役
norland.plot.end_game,"“诺兰德的地图就在我面前。版图上有 {goal_number} 个服从我、尊敬我的君王。是时候夺回帝国的王冠、挑战圣母索菲亚教会了。只要我的军队成功击倒审判庭，全世界都会承认我是皇帝，就连信仰石堡也会倒在我脚下。所以，最终的审判将由我降下。”
 
 $一切准备就绪后，宣布自己是新帝国的皇帝（君王行动）。
 $在战场上击败神圣审判庭以获得爵位并赢下游戏。"
ambitions.province_under_control,"<b>新帝国</b>
 
 作为附庸国的君王或者作为自由城联盟的领袖联合 <b>{goal_number}</b> 个诺兰德省邦。
 
 目前你已控制的省邦：{under_control}/{total_province}。"
display_event.global_map_ai_ask_help,{faction_name}的君王{king_name}请求援助，以对抗{danger_faction_name}
display_event.global_map_ai_declare_peace,{faction_name}的君王{king_name}提出和约
display_event.global_map_ai_invite_to_alliance,{faction_name}的君王{king_name}希望能加入联盟
main_menu.continue_without_tutorial,跳过教程直接开始
display_event.build_library,建造一所图书馆
main_menu.warning,警告！
display_event.retrieve_bishop,主教离开了省邦
display_event.holy_family_below_zero,你已经失去了女教皇的宠信！
resource.product_requirement.technology,研究技术<b>{technology}</b>
resource.product_requirement.building,建造一所建筑<b>{building}</b>
main_menu.continue_start_tutorial,从教程开始
main_menu.new_game.family.members.default,两个兄弟和一个妻子
actor.faction_from,来自{town}
new_game.province_difficulty.easy,简单
new_game.province_difficulty.normal,普通
new_game.province_difficulty.hard,困难
new_game.province_difficulty.recommended,推荐初次游玩的玩家选择此难度
display_event.loan_will_be_expired_soon,需要尽快偿还{faction_name}
main_menu.new_game.family.recommended_for_newbs,获得平衡游戏体验的推荐技能设置
new_game.province_difficulty.header,难度：
secret_deals_effect,<b>{secret_deals_knowledge}</b>：<green>与邻邦的关系不会恶化</green>。
building.menu.terror_fanatics,狂热信徒 {count}
global_map.relation_aftermath,$与邻邦的关系：<red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$与{soul_uuid_king}的关系：<red>{rel_de}</red>
global_map.aftermath,<b>结果</b>：
tech.kaiden_army,凯登军队
tech.makha_trade,马哈贸易
tech.makha_fanatic_terror,狂热信徒恐慌
tech.econom_writing,经济高效的写作
tech.faith_defender,捍卫信仰
tech.kaiden_training,凯登训练
tech.kaiden_loyalist,永恒忠诚派
tech.makha_secret_deals,秘密交易
display_event.holy_protection_will_removed_soon,神爱之家庇护即将解除！
display_event.holy_protection_was_removed,神爱之家庇护已解除！
display_event.holy_protection,神爱之家庇护
display_event.swede_typh_allowed,芜菁热症
tutorial_events.disabled,禁用
tutorial_events.articles_only,仅显示物件
tutorial_events.articles_and_advices,物件和建议
soul.from_faction,来自{faction_uuid}的{soul_uuid}
gui.living_place.appoint.header,迁移
actor.loyalty_2,忠诚度
actor.important_persons,贵宾
encyclopedia.popup_window.okay,了解
encyclopedia.popup_window.read_full,下一条
actor.opinion.interest_simple,兴趣
free_lord.first_hire,首次雇佣可享 {first_hire_discount}% 折扣
menu.knowledge.longer_time,"由于学习技能等级较低，需要更长的时间才能掌握！
 
 知识等级 {tech_level}
 领主等级 {lord_level}"
menu.knowledge.write_time,写一本书需要 <b>{learn_time} 小时</b>
menu.knowledge.learn_time,$研究一本书需要 <b>{learn_time} 小时</b>
building.patrol_sign_day,日间巡逻队
tech.slaves_contain,扣押囚犯
time.days,{days} 天
actor.action_task.spent_time_diplomacy,使节来访
display_event.culture_approve,{culture}赞成君王的行动
menu.trade.less_tax_for_amy,*由于捍卫信仰知识，税收减少 {discount}%
menu.army.tax_for_soldier,"<b>雇佣此战士后</b>
 $基于其战斗技能，<hint=hint_tutorial_church_tax>军队的教会税</hint>将增加 <hint=hint_resource_gold>{soldier_tax}</hint>。总税费现在为 <hint=hint_resource_gold>{overal_tax}</hint>/天。"
options_menu.game.camera_speed,镜头速度
actor.action_task.wise_talk,明智谈话
display_event.senility_begin,{name}：得了老年痴呆！
display_event.character_loss_skill_trait,{name}：由于{skill_name}技能退化，失去了{trait_name}天赋
display_event.character_loss_knowledge,{name}：由于上年纪，忘记了{knowledge}
knowledge.unavailable_knowledge,不可掌握的知识
building.menu.mine_resources,储备
building.menu.mine_mined,已开采铁矿：{mined} / {limit}
display_event.mine.limit_reached,该矿井的储量已耗尽
display_event.mine.limit_soon,矿井即将枯竭
display_event.fetility_loss_from_tree,土壤肥力下降
statistics_menu.province.resources,省邦资源
statistics_menu.province.trees_cuted,已砍伐树木：
statistics_menu.province.ground_fertility,土壤肥力：
statistics_menu.province.iron_mines,铁矿储量
statistics_menu.province.no_mine,该矿井尚未建成：
trade_agreements.header,贸易协议
trade_agreements.today_balance,今日贸易额：
trade_agreements.auto_trade,自动交易
trade_agreements.no_trade_agreements,你目前无生效贸易契约
statistics_menu.province.mine_n,矿井{n}：
statistics_menu.province.not_builded,未建成
knowledge.category.economic,经济发达
knowledge.category.textbooks,教材
knowledge.category.cultural_knowledge,文化知识
display_event.character_loss_skill,{name}：由于年老，{skill_name}技能已退化至{level}级
menu.tools.hint.trade_agreements,贸易
display_event.trade_agreements_result,外贸报告
menu.trade.market_saturation.header,市场饱和度
menu.trade.market_saturation.saturation,以下产品的<hint=hint_trade_dynamic_prices>市场饱和度</hint>：
menu.trade.market_saturation.price,饱和度对价格的影响：
menu.trade.market_saturation.relaxaction,每日消耗：
menu.trade.market_saturation.warning,<red>供应已经超出了<hint=hint_market_volume>本地需求</hint>，导致市场饱和、价格下跌！</red>
display_event.new_prophecy,女教皇：新预言
display_event.prophecy_started,预言成真了！{prophecy}
prophecy.wolf_attack,饿狼入侵
prophecy.bandits_capm,逃兵军团
prophecy.fields_sick_one,作物感染
prophecy.cholera_epidemy,天花传染
prophecy.xenophoby,仇外情绪爆发
prophecy.crocks_wave,流民入侵
prophecy.fanatics_wave,黄色狂热信徒
prophecy.fields_sick_all,饥荒时节
prophecy.tree_bug,蛀木虫
prophecy.rats_invasion,鼠灾肆虐
display_event.prophecy_soon,预言即将成真：{prophecy}
display_event.prophecy_complete,灾难已结束：{prophecy}
prophecy.matriarch.soon_prophecy_1,女教皇预言在 {d1}-{d2} 天内，你的省邦将会面临一场灾难<b>{prophecy}</b>
prophecy.matriarch.soon_prophecy_2,女教皇预言在 {d2} 天内，你的省邦将会面临一场灾难<b>{prophecy}</b>
prophecy.matriarch.letter_caption,预言
prophecy.matriarch.letter_text,在 {d1}-{d2} 天内，教会预言家预测你的领地将发生以下灾难：
display_event.prophecy_soon_unknown,灾难即将来临的传闻
opinion_mind.interest_to,对{name_2}的兴趣：
opinion_mind.interest_of_me,让{name_2}对我感兴趣：
opinion_mind.interest_sex_ready,<center>{name_1}<green>准备</green>和{name_2}约会（兴趣{interest_sign}<green>{interest_threshold}</green>）</center>
opinion_mind.interest_sex_not_ready,<center>{name_1}<red>还没准备好</red>和{name_2}约会（兴趣{interest_sign}<red>{interest_threshold}</red>）</center>
display_event.market_depth_increased,所有商品的市场销量都增加了
building.menu.escape_prevented,防逃脱
mutator.no_prophecy,无预言
display_notification.auto_trade,派信使签署贸易协议
knowledge.blocked_reason.production_building_count,已建成 {count} 栋生产型建筑
display_tooltip.pause,暂停
menu.knowledge.culture_knowledge,{culture_name}文化的知识。
statistics_menu.province.market_depth.header,外部市场
statistics_menu.province.market_depth.additional_depth,额外<hint=hint_market_volume_bonus>市场销量</hint>：{percent}%
display_event.old_age_begin,{name}：变老
display_event.contraband_begin,检测到投机活动
statistics_menu.contraband_label,投机
decor.dark_altar,绞刑台
decor.dark_cage,笼子
decor.dark_garbage,沾血的抹布
decor.dark_stake_with_head,受罚
decor.dark_statue_sculls,警告
decor.dark_statue_skeleton,死神
decor.dark_statue_wolf,图腾
decor.dark_tree,枯树
decor.dark_tree_2,剥皮的树
decor.dark_tree_3,树桩
decor.sub.dark,恐吓
options_menu.audio.master_volume,主音量
options_menu.audio.video_volume,视频音量
decor.sub.dark_2,骨头
actor.part_of_nature.trader,商人
display_event.forest_bandits_will_attack_soon,传闻：森林强盗计划发动攻击
menu.trade.vassal_tax_from_player,"人口：{pop}人口
 
 <b>每日总税收：</b><hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,{faction_uuid}：人口{pop}人口，税收<hint=hint_resource_gold>{sum}</hint>
menu.trade.vassal_tax_to_player_result,<b>每日总税收：</b><hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,由于<hint=hint_anxious>焦虑</hint>特质，角色一定会醒来。
actor.hint.injury.courage_threshold,<hint=hint_moral_level>勇气阈值：</hint>{number}
video.sub1,距离那场毁灭性的宗教战争，
video.sub2,已经过去了将近两百年。
video.sub3,帝国倾塌，
video.sub4,各个省邦最终变成了野蛮的王国。
video.sub5,教会重振了人们的希望，
video.sub6,和平与繁荣笼罩着昔日文明的废墟。
video.sub7,随着时间的推移，教会的影响越来越大。
video.sub8,但历史是一个循环，权力不可能长期掌握在一个人手中。
video.sub9,王国之间的战争接连爆发。
video.sub10,饥饿和贫穷迫使人们背井离乡
video.sub11,并在邻邦的聚落寻求庇护。
video.sub12,你的王朝能团结各个王国
video.sub13,阻止迫近的黑暗时代吗？
video.sub14,从此刻开始，历史由你书写。
game.end.body,"在你的聚落里，已经没有成年领主能下达明智的指令了。
 
 所有未成年的领主都将被教会收养，并加入教会。
 
 你的贵族世家的故事就此结束了。"
game.end.caption,你失败了！
building.menu.paper_in_stock,"储备纸张：
 {current}/{need}"
notification.insight.text,"角色突然意识到他们拥有以下知识：
 
 <b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,<red>对自由领主不合理的惩罚，会招致邻邦的谴责</red>
display_event.heir_can_soon_rise,王位继承人{name}可能很快就会崛起！
display_event.slaves_can_soon_rise,囚犯可能很快会发动叛乱！
display_event.loyalists_can_soon_rage,忠诚派可能会发动一场大屠杀！
display_event.soldiers_deserting,你的战士正在逃离这座城市！
display_event.fanatics_can_soon_rise,狂热信徒可能很快就会发动叛乱！
display_event.bishop_can_soon_rise,主教可能很快会发动一场狂热信徒叛乱！
mind.remain_time,将在 {remain_time} 后失效
unsupported_saves.header,检测到不支持的存档
unsupported_saves.body,"<b>《诺兰德》</b>正在积极开发中，并将不断完善。然而我们的游戏版本并不总是能够与旧存档文件保持兼容，特别是在尚未发布抢先试玩版阶段。
 
 所有不支持的存档文件已移动到“unsupported_saved”文件夹。
 
 给您带来不便，我们深表歉意。"
menu.construction.category.roads,道路
tooltip.construction.place_roads,放置道路
tooltip.construction.remove_roads,移除道路
tooltip.construction.hold_shift.start,按住
tooltip.construction.hold_shift.end,使之成为一条直线
mutator.longlive,长寿
ambition.recommend_for_start,（推荐）
notification.lord_escaped,{name}：离开了省邦
notification.messenger_escaped,信使离开了省邦
notification.messenger_return,信使已返回省邦
actor.status.back_to_home_town,返回自己的故乡
actor.status.action_task_in_process,{order_name}
army.status.attack_in_process,攻击{target_name}
army.status.reinforcement_in_process,{target_name}的援军
mind.remain_time_exhaustion,{remain_time_hours} 小时后将死于饥饿
mind.remain_time_starvation,{remain_time_hours} 小时后体力耗尽
display_event.soul_missing,{name}：失踪
ceremony.emperor_coronation,皇帝加冕礼
statistics.peoples.line.mood,心情
statistics.peoples.line.capital,首都
statistics.peoples.line.sick,病人
statistics.peoples.line.hungry,饥民
statistics.peoples.line.strongly_tired,极度疲惫
statistics.peoples.line.homeless,无家可归
statistics.peoples.line.fanatics,狂热信徒
statistics.peoples.line.nectar_addicted,蜜酿成瘾
statistics.peoples.line.loyalists,忠诚派
statistics.peoples.category.happiness,幸福度
statistics.peoples.category.groups,族群
statistics.peoples.category.cultures,文化
trade.soldiers_tax.caption,战士税
trade.vassal_tax.to_player,来自附庸的贡金
trade.vassal_tax.from_player,进献给宗主的贡金
actor.action_task.emperor_coronation,称帝
statistics.tab.resources,资源
statistics.tab.peoples,民众
display_event.emperor_inquizition_soon,审判庭已出发
statistics.resources.category.currency,货币
statistics.resources.category.food_and_drinks,饮食
statistics.resources.category.extracted,开采出的资源
statistics.resources.category.manufactured,生产出的资源
statistics.resources.category.weapon_and_armor,武器与盔甲
statistics.resources.special_hint.consumed,由领主和囚犯所消耗
menu.ending.titile.emperor.fail,失败！
menu.ending.text.emperor.fail,"你未能抵挡住审判庭的进攻。
 
 你的省邦被付之一炬，从此灰飞烟灭。所有的君王都看到了你的下场，个个噤若寒蝉。在接下来的漫长岁月中，再也无人胆敢挑战教会的权威。
 
 为了使神爱之家万世永存，审判庭制定了严刑峻法，还焚烧了所有的书籍，禁止人们读书认字。
 
 自此，黑暗时代已经降临，诺兰德陷入了野蛮蒙昧的深渊……"
menu.ending.titile.emperor.win,胜利！
