Key,Korean
tech.no.fire,{building_name}. 화재 안전 대책
tech.no.trauma,{building_name}. 안전 대책
tech.fast.building,신속 건설
tech.fast.build.less.wood,목재. 경제적인 건설
tech.fast.build.less.iron,철. 경제적인 건설
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,부랑자의 위협
tech.loyalist_more,충성도의 기반
tech.preach_better,효율적인 설교
tech.slaves_happiness,수감자의 행복
tech.tanya_paper,타나야 종이
tech.crevav_swede,순무찜
tech.drought_fight,가뭄 해소
tech.longevity,장수
tech.addiction_resist,중독 대응 방법
tech.fanatic_pretend,거짓 광신주의
tech.marah_ale,마카 에일
tech.right_nectar,올바른 넥타
tech.fertilize_cost_less,올바른 비옥화
tech.tree_more_wood,올바른 벌목
tech.better_meat,고기 요리
tech.flirt_art,구애의 기술
tech.voruns_moonshine,반 위스키
tech.dialect,{dialect_name} 언어 사전
tech.cutter,참수자
tech.axe_mastery,도끼 숙련
tech.handfighter,맨손 전투
tech.tanya_shield,타나야 방패
tech.bow_mastery,활시위 숙련
tech.mace_stun,철퇴 기절
tech.heavy_armor_wear,방어구 착용
tech.polite_trade,정중한 거래
tech.sin_mind_reducer,죄에 대해 걱정 떨치기
tech.tome,{number}권
tech.common_good,공익
tech.joy_of_education,깨우침의 즐거움
dialect.common,제국어
dialect.tanaya,타나야
dialect.voruns,반
dialect.gwelts,카이덴
dialect.makha,마카
decor.signt_with_equipment,장착한 기호
decor.bonfire,모닥불
decor.sign,기호
decor.sign_with_scull,해골 기호
decor.stone,돌
decor.pile_of_skulls,뼈 무더기
decor.bush_1,관목 1
decor.bush_2,관목 2
decor.bush_3,관목 3
decor.floor_remove,도로 제거
decor.sub.statue,조각상
decor.sub.torch,조명
decor.sub.floor,바닥
decor.sub.other,기타
decor.sub.trees,식물
decor.banner,깃발
decor.statue,조각상
decor.floor_1,밝은 돌
decor.floor_2,어두운 돌
decor.floor_3,밝은 목재
decor.floor_4,어두운 목재
decor.stone_arch,석조 아치
decor.torch,횃불
decor.plant,식물
decor.bag,부대
decor.box,상자
decor.barrel,통
restrictions.activity.beer,술 섭취
restrictions.activity.nectar,넥타 섭취
restrictions.activity.dice,주사위 게임
restrictions.activity.weapon,무기 사용
restrictions.activity.armor,방어구 착용
restrictions.eat.meat,고기 섭취
actor.hint.slave.age,나이: {age}세
actor.hint.slave.past,과거:
actor.culture,문화: {culture}
actor.hint.slave.combat_skill,전투 스킬: {skill}
actor.hint.slave.traums,부상:
actor.hint.slave.will_to_be_free,자유를 갈망 중
building.chancellery.need_charge,사무국 작업을 시작하려면 종이를 공급해야 합니다.
building.chancellery.charging,일꾼들이 종이를 옮기는 중
building.chancellery.charged,"사무국 작업 중
 {day}일분의 종이가 있습니다."
building.chacnellery.charge_abort,종이 보충 취소
building.chacnellery.charge,종이 보충
inspection.hint.today,오늘 점검함
inspection.hint.yesterday,어제 점검함
inspection.hint.not,미점검
inspection.closest_time,{day}일 {hour}시간 후 점검 종료
inspection.time,{day}일 {hour}시간
inspection.remain_hours,{hour}시간
actor.loyalty.log,충성도 변경
menu.peoples.advice,힌트:
menu.sodliers.lack_of_equipment,장비 부족:
menu.migration.terror,<hint=hint_terror_peasants>공포</hint>가 도시를 <red>장악</red>하는 동안 <hint=hint_migration>이주</hint>가 <red>중단</red>되었습니다.
menu.migration.one_village_burned,영지 내 마을이 불탄 이후 <hint=hint_migration>이주</hint>가 <red>감소</red>했습니다. 마을은 며칠 뒤 복원됩니다.
menu.migration.all_village_burned,영지 내 모든 마을이 불탄 이후 <hint=hint_migration>이주</hint>가 <red>중단</red>되었습니다. 마을은 며칠 뒤 복원됩니다.
menu.migration,$ 오늘 예상 <hint=hint_migration>이주자</hint>: {peasant_migrants_today}
menu.migration.increased,<green>이주가 증가했습니다</green>. 효과가 {days}일 더 지속됩니다.
menu.migration.decreased,<red>이주가 감소했습니다</red>. 효과가 {days}일 더 지속됩니다.
actor.hint.no_sins,죄 없음
social_strata.dummy,농민
social_strata.slaves,수감자
social_strata.soldiers,전사
social_strata.lords,영주
social_strata.animal,동물
building.social_availability,이용 가능
building.market_good_not_sell,판매 금지
menu.trade.slave_final_cost,최종 가격
menu.trade.slave_base_cost,기본 가격
menu.trade.slave_fertility_cost,생식력
menu.trade.slave_free_mind_cost,사랑하는 사람을 그리워하지 않음
menu.trade.slave_combat_cost,전투 스킬
menu.trade.slave_age_cost,나이
menu.trade.slave_disability_cost,장애
menu.trade.slave_slowdown_cost,둔화됨
menu.trade.slave_faction_cost,변동치
actor.matching.agree_to_sex,{lord_name}은(는) 이 영주와의 데이트에 동의할 것입니다.
actor.part_of_nature.heir,후계자
actor.part_of_nature.commander,지휘관
actor.part_of_nature.queen,통치자의 배우자
actor.name.hired_bandits,고용된 흉악범
actor.personality_trait_locked,밝혀지지 않음. 이 특성을 잠금 해제하려면 {skill_name} 스킬을 15까지 높여야 합니다.
king_role.strong_supporter,권력의 지지자
king_role.trader,물질주의자
king_role.religious,독실
king_role.order_supporter,질서의 수호자
king_role.suggestable,팔랑귀
king_role.liberator,해방자
king_role.lick,평등주의자
king_role.intriguant,음모자
king_role.scientist,현자
menu.missing_equipment.no_problems,문제없음
actor.deep_social.evil_joke,조롱
actor.deep_social.good_joke,농담
actor.deep_social.deep_talk,마음을 터놓은 대화
actor.deep_social.abuse,모욕
actor.deep_social.slight,무시
actor.deep_social.intrigue,음모
actor.deep_social.flattery,아첨
actor.deep_social.sorry,사과
actor.deep_social.rumors,소문
actor.inspection_queue,점검 대기열
knowledge.blocked_reason.population_required,도시 내 거주민 {number_of_peoples}/{required_peoples}명
knowledge.blocked_reason.knowledge_required,{knowledge_name} 잠금 해제됨
knowledge.blocked_reason.building_required,{building_name}' 건물 건설됨
knowledge.blocked_reason.play_days,마을이 {days}일 동안 유지됩니다.
knowledge.blocked_reason.no,조건을 충족합니다.
ceremony.wedding,결혼식
ceremony.funeral,장례식
ceremony.coronation,대관식
menu.choose_province.climate,기후:
menu.choose_province.safety,안전:
menu.choose_province.forest,숲:
menu.choose_province.villages,마을:
menu.choose_province.resources,자원:
menu.choose_province.moderate,보통
menu.choose_province.many,많음
menu.choose_province.high,높음
menu.playtest.welcome_caption,환영합니다!
menu.demo.welcome,"환영합니다!
 
 이 데모에서는 게임 내 시간 기준 {demo_days_count}일까지 완전한 게임을 경험할 수 있습니다.
 
 아직 많은 부분이 개발 단계이기에, 혹시 모를 오류나 문제가 발생할 수 있음에 미리 사과드립니다.
 
 <right>감사합니다.
 Long Jaunt 팀</right>"
menu.demo.alpha,"<b>미리 해보기</b>
 
 현재
 
 $ 일부 언어
 $ 발생 가능한 버그
 $ 최적화
 $ 기타
 
 게임의 여러 요소가 작업 중이며 개선될 예정입니다."
menu.playtest.welcome,"Norland 플레이테스트 버전 초대를 수락해 주셔서 감사합니다.
 
 아직 게임에서 종종 충돌이나 오류가 발생하고 인터페이스도 부족하지만, 이 버전을 미리 해보기로 출시하고자 합니다.
 
 게임 종료 후 2분만 시간을 내어 <b>의견</b>을 남겨주세요(메인 메뉴의 버튼).
 
 이 버전은 게임 일수가 {demo_days_count}일로 제한됩니다.
 
 <right>감사합니다.
 Long Jaunt 팀</right>"
menu.demo.under_logo,데모
menu.playtest.under_logo,플레이테스트 베타
menu.story,"Norland, 세계가 창조된 후 2898년.
 
 위대한 <b>크림슨 제국</b>이 종교 전쟁의 불길 속에서 멸망한 뒤로 200년의 세월이 흘렀습니다. 과거 제국의 영지는 야만인의 왕국이 되었으며, 전능한 <b>성모 소피아 교회</b>만이 서로의 파괴를 막아주고 있습니다.
 
 신성한 예언자들이 세계의 종말이 임박했다고 예언하는 가운데, 한 작은 왕국에서 신제국 탄생의 꿈이 피어나고 있습니다..."
menu.new_game_story,"길고 고단한 여정을 마친 {soul_uuid_king} 왕은 문간에서 기다리는 아내의 모습을 기대하며 고국에 도착했습니다. 하지만 아내 대신, 남동생이 다가왔습니다. 얼굴 표정을 보니 나쁜 느낌이 듭니다.
 
 ""왕이시여, 기쁜 소식을 전하지 못해 죄송합니다.""
 ""무슨 일인가, {soul_uuid_brother}? 지체하지 말고 사실대로 말하거라.""
 차마 왕의 눈을 마주치지 못한 채, {soul_uuid_brother}은(는) 더듬거리며 말하기 시작했습니다.
 ""지난밤 도적단의 공격이 있었습니다. 막아보려고 했으니 수가 너무 많았습니다. 도적단이 왕비님을 납치하여 몸값을 요구하고 있습니다.""
 ""당장 전령을 불러 원하는 게 뭐든 갖다줘!""
 ""왕이시여, 하지만 저희는 적에 둘러싸인 상황입니다. 지금은 봉신으로서 보호를 받고 있지만 노쇠한 왕의 시간이 얼마 남지 않았다는 것을 아시잖습니까. 금화와 자원이 부족하면, 버틸 수 없을 겁니다. 지금 필요한 것은 군대입니다.""
 ""{soul_uuid_wife}을(를) 저버리라는 말인가?""
 ""몸값을 받을 수 있다는 희망이 있는 한, 차마 왕비님을 건드리지 않을 것입니다.""
 ""잠깐 생각을 좀 해봐야겠어. 물러나서 지시를 기다리게."""
menu.new_game_story_header,이야기의 시작
menu.demo.finish.header,이야기의 끝
menu.demo.finish,"Norland 데모 버전은 여기서 끝입니다...
 
 더욱 어려운 시작 설정이나 다른 영주 스킬로 게임을 플레이해 보세요.
 
 플레이해 주셔서 감사합니다!"
menu.demo.finish.back_to_menu,메뉴로 돌아가기
menu.settings.change_resolution.apply.header,설정 변경 중
menu.settings.change_resolution.apply.body,"화면 해상도 설정이 변경되었습니다.
 설정을 적용하려면 '{accept_button_caption}'을(를) 누르세요. 누르지 않으면 {time_remain_seconds}초 후 설정이 자동으로 취소됩니다."
menu.hack_detected.header,저장 파일 수정 감지됨
menu.hack_detected,"저장 파일에 제3자의 수정이 가해지면 게임의 올바른 작동을 보장할 수 없습니다.
 
 버그 보고서가 개발사에 제출되지만, 게임 버그 때문에 발생한 오류인지 제3자의 파일 조작에 의한 오류인지 확실히 파악할 수 없습니다.
 
 이렇게 되면 실제 오류를 수정하는 대신 존재하지 않는 오류를 찾는 데 시간을 쓰게 만들어 게임의 품질에 부정적인 영향을 미칩니다.
 
 이에 따라 게임이 출시될 때까지는 어쩔 수 없이 저장 파일 수정을 금지하기로 하였습니다."
resource.not_available.by_synod,<hint=hint_relations_matriarch>총대주교와의 관계</hint>를 {number}까지 높이면 신성한 대상단이 이 제품을 판매하기 시작합니다.
text.preposition,또는
menu.ambition.screen_title,왕의 야망
menu.ambition.text,왕이 우리 귀족 가문의 미래를 결정할 야망을 알릴 때가 됐다고 결정했습니다.
ambition.conquer,정복
ambition.allias,동맹 결성
ambition.populate_city,도시 정착
ambition.gain_population,인구 증가
ambition.produce_goods,자원 생산
menu.ambition.complete_title,야망 달성!
menu.ambition.complete,"왕이 목표를 달성했습니다. 이제 모두가 왕을 {soul_uuid_1} <b>{name}(으)로 알게 됩니다!</b> 
 
 하지만 왕의 야망은 끝이 없습니다. 곧 새로운 야망이 왕의 머릿속에 생겨날 겁니다..."
ambtion.button.ok,수락
ambition.checkbox.conquer,<b>정복자.</b> 왕조를 번영하게 하는 것은 힘입니다. 왕국에 <b>{vas_num}개의 봉신</b>을 만드세요.
ambition.checkbox.allias,<b>통합자.</b> 서로를 도와야만 꿋꿋이 버틸 수 있습니다. 자유 도시 동맹을 <b>{all_num}개의 영지</b>까지 확장하세요.
ambition.checkbox.populate_city,도시 정착에 대한 내용입니다.
ambition.checkbox.gain_population,<b>다산.</b> 인구가 많을수록 우리는 강해집니다. 영지의 인구를 <b>{pop_num}명</b>까지 늘리세요.
ambition.checkbox.produce_goods,<b>경제.</b> 경제가 모든 것을 결정합니다. 상품 <b>일일 생산량</b>의 가치를 <b><hint=hint_resource_gold>{prod_num}</hint></b>까지 늘리세요.(현재 <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,자동 전투
menu.battle.retreat,군대가 전투에서 후퇴할 것입니다. 이것은 패배로 간주되어 전사들의 기분을 망치겠지만 그들의 생명은 구할 수 있습니다.
menu.battle.manually_battle,지도상 전투
ambition.title.conquer,날카로운 검
ambition.title.allias,강권
ambition.title.gain_population,큰 보금자리
ambition.title.produce_goods,장부
ambition.resume,이전 야망 재개
menu.resource_statistics.legend.title,통계의 의미
menu.resource_statistics.legend.in_store,도시 창고의 기존 자원량
menu.resource_statistics.legend.production,작업일에 생산되는 자원량
menu.resource_statistics.legend.used,"다른 자원 생산 및 건물 건설에 사용되는 자원량, 음식과 술의 경우 영주 및 노예의 소비량"
menu.resource_statistics.legend.in_use,생산 건물 창고 및 전사 인벤토리에 남은 자원량
menu.resource_statistics.legend.in_local_market,"지역 시장, 술집, 마약 소굴의 오늘 판매량"
menu.resource_statistics.legend.caravan,신성한 대상단과의 거래 결과
menu.resource_statistics.header.in_store,보유
menu.resource_statistics.header.production,생산
menu.resource_statistics.header.used,사용됨
menu.resource_statistics.header.in_use,건물 창고 재고 및 전사 보유
menu.resource_statistics.header.in_local_market,지역 시장
menu.resource_statistics.header.caravan,신성한 대상단과의 거래
menu.resource_statistics.no_data,통계는 내일 표시됩니다.
study.complex,일반 훈련
soul.tab.logs,역사
tech.war_logistic,군사 물류 {vol}권
tech.prisoners,포로
building.menu.lvl,레벨 {lvl}
building.menu.resources,창고 건설
building.menu.workers_road_time,일꾼 이동 시간
building.menu.to_workplace,근무지로:
building.menu.to_warehouse,창고로:
building.menu.priority,우선순위
building.menu.produced,생산 완료
building.menu.workers_bonus,일꾼 보너스:
building.menu.manager_bonus,관리자 보너스:
building.menu.workers,일꾼
building.menu.instructions,지시
building.menu.set_inspector,관리자 임명
"building.menu,inspection_bonus",보너스:
building.menu.builld_first,이 건물 먼저 건설
building.menu.upgrade,업그레이드
building.menu.ship_now,"현재 생산된
 상품 배송"
options_menu.audio.voice_volume,음성 볼륨
building.prefer.noone,우선순위 없음
building.prefer.nectar,넥타 중독자
building.prefer.slaves,수감자
building.prefer.loyalist,충성파
building.prefer.culture,{culture}
building.prefer.all,자동
display_event.communication_lost,{faction_name}: 소통 끊김
building.menu.terror_all,전체 {count}
building.menu.terror_no,없음
building.menu.terror_culture,{culture} {count}
building.menu.execution,처형
building.menu.terror,공포
building.menu.daily_statistic,일일 통계
building.menu.intimidations,위협
building.menu.path_calculation,계산 중
building.menu.path_cant_find,찾을 수 없음
time.hour_minut,{hour}시간 {minut}분
time.minut,{minut}분
actor.social_strata.dummy,평민
notification.sex_treason_with_dummy,{name_initiator}이(가) 평민과 바람을 피웁니다.
building.menu.building_resources,건물 자원
chancellery.inspection_bonus,점검에 따른 생산 보너스는 사무국을 담당하는 영주의 관리 스킬 레벨과 동일한 {bonus}%입니다.
menu.army.new_army.warriors_count,전사 {warriors_count}명
menu.army.new_army.weapons_count,무기 {weapons_count}개
tech.poisoner,독의 비밀
menu.building.church.morning_service_stat,최근 설교 통계
menu.building.church.gathering_time,모임 시간:
menu.building.church.congregation,신자:
menu.building.church.sermons,설교
menu.buidling.church.fanatics,광신도: +{count}
menu.buidling.church.agnostics,불가지론자: +{count}
building.menu.workplace.clerks,사무관
building.menu.refill_auto,자동 재보충
building.menu.inspections_delivered,전달된 지시: {count}
building.menu.living.residents,거주민({current} / {max})
building.menu.sold_today,오늘 판매됨
building.menu.guards,경비병
family.son_of,아버지:
family.daughter_of,아버지:
display_event.mountains_bandits_prepare_to_attack,약탈자들이 도시를 공격하려고 준비 중입니다.
actor.mood,기분
building.description.library,이곳에서는 영주가 지식으로 작업합니다.
building.description.decor,눈이 즐거움
building.description.altar,식 및 화장 장소
building.menu.crimes_prevented,범죄 방지
norland.plot_day_4_header,신제국
norland.plot_day_4_body,"문명은 천천히 사라집니다. 그 과정은 몇백 년이 걸리기도 하여 평범한 시민은 최후가 올 때까지 아무것도 알아차리지 못합니다. 하지만 역사를 잘 아는 통치자는 전쟁 중인 왕국을 통합하는 것만이 암흑기의 도래를 막을 수 있는 유일한 방법이라는 것을 알아야 합니다.
 
 Norland는 지금 중요한 기로에 있습니다. 교회는 시민들이 직면하는 여러 문제들을 오랫동안 해결하지 못하고 있습니다. 잦은 전쟁, 굶주림, 질병은 일상이 되었습니다. 아직 기술과 지식을 전부 잃은 것은 아니지만, 아무것도 하지 않으면 이 역시 곧 사라질 것입니다. 그렇게 되면 문명도 저무는 것이지요.
 
 하지만 언제나 희망은 있습니다. 그러려면 반드시 다음을 완수해야 합니다.
 
 $ 봉신국의 왕이 되거나 자유 도시 동맹의 지도자가 되어 <b>{goal_number}</b>개의 Norland 영지 통합
 $ 스스로를 새로운 황제로 선포하고 교회의 종교재판단에 도전"
norland.plot.end_game_header,신제국: 최후의 전투
norland.plot.end_game,"""내 앞에 Norland의 지도가 펼쳐져 있다. 그 위에 있는 {goal_number}명의 왕이 나를 따르고 존경한다. 제국의 왕위에 올라 성모 소피아 교회에 도전할 때가 왔다. 종교재판단이 나의 군대 앞에 무릎을 꿇으면, 전 세계가 나를 황제로 인정하고 믿음의 돌은 내 발치에 놓일 것이다. 자, 마지막 시험이 기다리고 있다.""
 
 $ 준비가 되었다면 자신을 신제국의 황제로 선포하세요(왕의 행동).
 $ 전장에서 신성 종교재판단을 무찌르고 작위를 손에 넣어 게임에서 승리하세요."
ambitions.province_under_control,"<b>신제국</b>
 
 봉신 왕국의 왕 또는 자유 국가 동맹의 지도자가 되어 Norland에 있는 <b>{goal_number}</b>개의 영지를 통합하세요.
 
 지배 중인 영지: {under_control}/{total_province}개"
display_event.global_map_ai_ask_help,{faction_name} {king_name} 왕이 {danger_faction_name} 진영을 상대로 지원을 요청합니다.
display_event.global_map_ai_declare_peace,{faction_name}의 {king_name} 왕이 평화 조약을 제안합니다.
display_event.global_map_ai_invite_to_alliance,{faction_name}의 {king_name} 왕이 동맹 합류를 제안합니다.
main_menu.continue_without_tutorial,튜토리얼 없이 시작
display_event.build_library,도서관 건설
main_menu.warning,경고!
display_event.retrieve_bishop,주교가 영지를 떠납니다.
display_event.holy_family_below_zero,총대주교의 총애를 잃었습니다.
resource.product_requirement.technology,기술 연구:<b>{technology}</b>
resource.product_requirement.building,건물 건설:<b>{building}</b>
main_menu.continue_start_tutorial,튜토리얼과 함께 시작
main_menu.new_game.family.members.default,두 형제와 부인
actor.faction_from,{town} 출신
new_game.province_difficulty.easy,쉬움
new_game.province_difficulty.normal,보통
new_game.province_difficulty.hard,어려움
new_game.province_difficulty.recommended,처음 시작하는 플레이어에게 추천합니다.
display_event.loan_will_be_expired_soon,곧 {faction_name}에게 상환해야 합니다.
main_menu.new_game.family.recommended_for_newbs,균형 잡힌 게임을 위한 권장 스킬 설정입니다.
new_game.province_difficulty.header,난이도:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>이웃 간의 관계가 나빠지지 않습니다</green>.
building.menu.terror_fanatics,광신도 {count}명
global_map.relation_aftermath,$ 이웃과의 관계: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ {soul_uuid_king}와(과)의 관계: <red>{rel_de}</red>
global_map.aftermath,<b>결과</b>:
tech.kaiden_army,카이덴 군대
tech.makha_trade,마카 무역
tech.makha_fanatic_terror,광신도 공포
tech.econom_writing,비용 효율적 집필
tech.faith_defender,신앙 방어
tech.kaiden_training,카이덴 훈련
tech.kaiden_loyalist,영원한 충성파
tech.makha_secret_deals,비밀 거래
display_event.holy_protection_will_removed_soon,사랑의 가족의 보호가 곧 해제됩니다!
display_event.holy_protection_was_removed,사랑의 가족의 보호가 해제되었습니다!
display_event.holy_protection,사랑의 가족의 보호
display_event.swede_typh_allowed,루타바가 열병
tutorial_events.disabled,비활성화
tutorial_events.articles_only,설명만
tutorial_events.articles_and_advices,설명과 Tips
soul.from_faction,{faction_uuid}의 {soul_uuid}
gui.living_place.appoint.header,거주
actor.loyalty_2,충성도
actor.important_persons,중요 인물
encyclopedia.popup_window.okay,확인
encyclopedia.popup_window.read_full,다음
actor.opinion.interest_simple,관심
free_lord.first_hire,첫 번째 고용 {first_hire_discount}% 할인
menu.knowledge.longer_time,"낮은 학습 스킬로 인해, 학습에 더 오랜 시간이 걸립니다!
 
 지식 레벨 {tech_level}
 영주 레벨 {lord_level}"
menu.knowledge.write_time,책 집필에 걸리는 시간:<b>{learn_time}시간</b>
menu.knowledge.learn_time,$ 이 책 연구에 걸리는 시간:<b>{learn_time}시간</b>
building.patrol_sign_day,주간 순찰
tech.slaves_contain,수감자 관리
time.days,{days}일차
actor.action_task.spent_time_diplomacy,사절 방문
display_event.culture_approve,{culture} 문화는 왕의 행동에 찬성합니다.
menu.trade.less_tax_for_amy,*신앙 방어 지식 덕분에 세금이 {discount}% 감소합니다.
menu.army.tax_for_soldier,"<b>이 전사 고용 시</b>
 $ 전사의 전투 스킬에 따라 <hint=hint_tutorial_church_tax>군대에 대한 교회 세금</hint>이 <hint=hint_resource_gold>{soldier_tax}</hint>만큼 증가합니다. 하루에 총 <hint=hint_resource_gold>{overal_tax}</hint>의 세금을 내야 합니다."
options_menu.game.camera_speed,카메라 속도
actor.action_task.wise_talk,현명한 대화
display_event.senility_begin,{name}: 노인성 치매에 걸렸습니다!
display_event.character_loss_skill_trait,{name}: {skill_name} 스킬 하락으로 {trait_name} 재능을 잃었습니다.
display_event.character_loss_knowledge,{name}: 노화로 {knowledge} 지식을 잊었습니다.
knowledge.unavailable_knowledge,사용 불가 지식
building.menu.mine_resources,매장량
building.menu.mine_mined,채굴한 철: {mined} / {limit}
display_event.mine.limit_reached,광산이 고갈되었습니다.
display_event.mine.limit_soon,광산이 고갈되어갑니다.
display_event.fetility_loss_from_tree,토양 비옥도가 감소했습니다.
statistics_menu.province.resources,영지 자원
statistics_menu.province.trees_cuted,벌목한 숲:
statistics_menu.province.ground_fertility,토양 비옥도:
statistics_menu.province.iron_mines,철 매장량
statistics_menu.province.no_mine,광산이 건설되지 않았습니다:
trade_agreements.header,무역 협정
trade_agreements.today_balance,오늘 무역:
trade_agreements.auto_trade,자동 무역
trade_agreements.no_trade_agreements,활성화된 무역 계약이 없습니다.
statistics_menu.province.mine_n,광산 {n}:
statistics_menu.province.not_builded,건설되지 않음
knowledge.category.economic,경제
knowledge.category.textbooks,교과서
knowledge.category.cultural_knowledge,문화 지식
display_event.character_loss_skill,{name}: 노화로 {skill_name} 스킬이 레벨 {level}(으)로 하락했습니다.
menu.tools.hint.trade_agreements,무역
display_event.trade_agreements_result,외국 무역 보고서
menu.trade.market_saturation.header,시장 포화
menu.trade.market_saturation.saturation,제품의 <hint=hint_trade_dynamic_prices>시장 포화</hint> 제품:
menu.trade.market_saturation.price,포화가 가격에 미치는 효과:
menu.trade.market_saturation.relaxaction,일일 소모량:
menu.trade.market_saturation.warning,<red>상품 수량이 <hint=hint_market_volume>지역 수요</hint>를 초과하여 시장 포화에 따른 가격 인하로 이어집니다!</red>
display_event.new_prophecy,총대주교: 새로운 예언
display_event.prophecy_started,{prophecy} 예언이 이루어졌습니다!
prophecy.wolf_attack,살육늑대 침략
prophecy.bandits_capm,탈영병 군대
prophecy.fields_sick_one,농작물 감염
prophecy.cholera_epidemy,천연두 전염병
prophecy.xenophoby,이방인 혐오 확산
prophecy.crocks_wave,부랑자 침략
prophecy.fanatics_wave,황색 광신도
prophecy.fields_sick_all,허기진 날들
prophecy.tree_bug,나무좀
prophecy.rats_invasion,쥐의 습격
display_event.prophecy_soon,{prophecy} 예언이 곧 이루어집니다.
display_event.prophecy_complete,{prophecy} 재앙이 끝났습니다.
prophecy.matriarch.soon_prophecy_1,총대주교가 {d1}~{d2}일 안에 영지에 <b>{prophecy}</b> 재앙이 닥칠 거라고 예언했습니다.
prophecy.matriarch.soon_prophecy_2,총대주교가 {d2}일 안에 영지에 <b>{prophecy}</b> 재앙이 닥칠 거라고 예언했습니다.
prophecy.matriarch.letter_caption,예언
prophecy.matriarch.letter_text,교회의 예지자들은 {d1}~{d2}일 안에 영지에 다음의 재앙이 찾아올 거라고 합니다.
display_event.prophecy_soon_unknown,임박한 재앙에 대한 소문
opinion_mind.interest_to,{name_2}에 대한 관심:
opinion_mind.interest_of_me,나에 대한 {name_2}의 관심:
opinion_mind.interest_sex_ready,<center>{name_1}이(가) {name_2}와(과) 데이트할 <green>준비</green>가 됐습니다(관심 {interest_sign} <green>{interest_threshold}</green>)</center>.
opinion_mind.interest_sex_not_ready,<center>{name_1}이(가) {name_2}와(과) 데이트할 <red>준비</red>가 되지 않았습니다(관심 {interest_sign} <red>{interest_threshold}</red>)</center>.
display_event.market_depth_increased,모든 상품의 시장 규모가 증가했습니다.
building.menu.escape_prevented,탈출 방지
mutator.no_prophecy,예언 없음
display_notification.auto_trade,무역 협정을 위해 전령 보내는 중
knowledge.blocked_reason.production_building_count,생산 건물 {count}개 건설 완료
display_tooltip.pause,일시정지
menu.knowledge.culture_knowledge,{culture_name} 문화 지식.
statistics_menu.province.market_depth.header,외부 시장
statistics_menu.province.market_depth.additional_depth,추가 <hint=hint_market_volume_bonus>시장 규모</hint>: {percent}%
display_event.old_age_begin,{name}: 나이 먹음
display_event.contraband_begin,투기 감지됨
statistics_menu.contraband_label,투기
decor.dark_altar,교수대
decor.dark_cage,우리
decor.dark_garbage,피투성이 누더기
decor.dark_stake_with_head,처형
decor.dark_statue_sculls,경고
decor.dark_statue_skeleton,죽은 신
decor.dark_statue_wolf,토템
decor.dark_tree,죽은 나무
decor.dark_tree_2,벗겨진 나무
decor.dark_tree_3,그루터기
decor.sub.dark,위협
options_menu.audio.master_volume,전체 볼륨
options_menu.audio.video_volume,동영상 볼륨
decor.sub.dark_2,뼈
actor.part_of_nature.trader,상인
display_event.forest_bandits_will_attack_soon,소문: 숲속 도적단의 공격 계획
menu.trade.vassal_tax_from_player,"인구: {pop}명
 
 <b>일일 총 세금:</b> <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,"{faction_uuid}: 인구 {pop}명, 세금: <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_result,<b>일일 총 세금:</b> <hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,이 캐릭터는 <hint=hint_anxious>불안증</hint> 특성 덕분에 반드시 깨어납니다.
actor.hint.injury.courage_threshold,<hint=hint_moral_level>용기 한계치:</hint> {number}
video.sub1,무자비한 종교 전쟁이 끝나고
video.sub2,약 200년의 시간이 흘렀습니다.
video.sub3,"제국은 무너졌고,"
video.sub4,과거 제국의 영지는 결국 야만인의 왕국이 되어버렸습니다.
video.sub5,그 가운데 교회는 옛 문명의 폐허 속에서
video.sub6,희망과 평화 그리고 번영을 되찾았습니다.
video.sub7,"시간이 흐를수록 교회의 영향력은 점점 커져갔지만,"
video.sub8,역사는 돌고 돌기 마련이라 권력은 한쪽에 오랫동안 머무르지 못하기 마련입니다.
video.sub9,"왕국 간의 전쟁이 잇다라 터졌고,"
video.sub10,사람들은 굶주림과 가난으로 인해 고향을 떠나
video.sub11,인근 정착지로 도피할 수밖에 없었습니다.
video.sub12,과연 당신의 왕조는 왕국을 통합하고
video.sub13,암흑기가 오는 것을 막을 수 있을까요?
video.sub14,지금부터 당신이 이 역사를 써내려갈 것입니다.
game.end.body,"정착지에 합리적인 지시를 내릴 수 있는 성인 영주가 없습니다.
 
 모든 미성년 영주가 교회에 입양되어 교회의 계급에 합류합니다.
 
 이렇게 당신의 귀족 가문 이야기가 끝이 납니다."
game.end.caption,패배했습니다!
building.menu.paper_in_stock,"종이 재고 보유: 
 {current} / {need}"
notification.insight.text,"캐릭터가 다음 지식을 소유했음을 갑작스럽게 깨달았습니다.
 
 <b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,<red>자유 영주를 불합리하게 처벌하면 이웃의 비난을 받게 됩니다.</red>
display_event.heir_can_soon_rise,후계자 {name}의 반란이 곧 일어날 것입니다!
display_event.slaves_can_soon_rise,수감자들이 곧 반란을 일으킬 것입니다!
