Key,Indonesia
time.hours,{hours} jam.
time.minutes,{minutes} menit.
work.melter,Pelebur
work.alchemist,Alkimawan
work.miller,Penggiling
work.pig_farmer,Penggembala Babi
work.armorsmith,Tempa Zirah
work.barman,Pemilik Kedai
work.drug_dealer,Pedagang Ramuan
work.brewer,Pembuat Bir
work.builder,Tukang Bangunan
work.caravaneer,Anggota Kafilah
work.carpenter,Tukang Kayu
work.coal_furnace,Pembuat Arang
work.farmer,Petani
work.herbalist,Ahli Rempah
work.inspector,Inspektur
work.jobless,Pengangguran
work.miner,Penambang
work.paper_factory,Pembuat Kertas
work.patrol,Patroli
work.priest,Pendeta
work.salesman,Pedagang
work.servant,Pelayan
work.weaponsmith,Pembuat Senjata
work.woodcutter,Penebang Kayu
work.clerk,Petugas Tulis
work.gallows_inspector,Pengawas Scaffold
work.chancellery_inspector,Kanselir
work.trainer,Pelatih
social_class.dummy,Petani
actor.loyalty_change_reason.happy,Suasana Hati Baik
actor.loyalty_change_reason.unhappy,Suasana Hati Buruk
actor.loyalty_change_reason.satisfied,Suasana Hati Normal
actor.loyalty_change_reason.gift,Menerima Hadiah
actor.loyalty_change_reason.threat,Menerima Ancaman
actor.loyalty_change_reason.bribe,Menerima Suap
actor.loyalty_change_reason.terror,Teror
actor.loyalty_change_reason.donate,Dipaksa Menyerahkan Holy Rings
actor.loyalty_change_reason.bad_relation_to_king,Hubungan Buruk dengan Raja
actor.loyalty_change_reason.good_relation_to_king,Hubungan Baik dengan Raja
actor.loyalty_change_reason.seduced,Digoda
actor.loyalty_change_reason.seduce_task,Dipaksa Menggoda
actor.loyalty_change_reason.seduced_me,Saya Digoda
actor.loyalty_change_reason.bad_day,Hari Buruk
battle_squad.no_orders,Tidak Ada Perintah
battle_squad.caption,Regu {commander_name}
battle_squad.bandits_squad,Regu Begal
battle_squad.average_mood,Suasana Hati Rata-rata
battle_squad.average_skill,Keterampilan Rata-rata
battle_squad.equipment,Peralatan
battle_squad.on_legs,Masih Berdiri
knowledge.title,Pengetahuan
knowledge.title_second,Dan Pemiliknya
knowledge.technology,Teknologi
knowledge.dogmas,Dogma
knowledge.holders,PEMEGANG PENGETAHUAN
knowledge.usual,Teknologi Biasa
knowledge.advanced,Teknologi Lanjutan
knowledge.ultra,Teknologi Ultra
knowledge.study,Pelajari
knowledge.write,Tulis
knowledge.rewrite,Tulis Ulang
knowledge.book.good_info,Sedang dipelajari di menu pengetahuan
knowledge.book.need_level,"Untuk mempelajari, setidaknya level {level} <hint=hint_skill_knowledge>Kecerdasan</hint> disarankan."
knowledge.book.dialect,<b>Buku ini ditulis dalam {dialect}</b>
knowledge.book.dialect_speakers,Pemakai bahasa: {speakers}
menu.knowledge.interaction,INTERAKSI
menu.knowledge.empty_menu,"Tidak ada pengetahuan untuk interaksi.
Mereka bisa didapat dari pedagang."
menu.knowledge.actor,KARAKTER
menu.knowledge.no_knowledge,Tidak ada pengetahuan
menu.knowledge.level,(Tingkat {lvl})
tech.building,{building_name}
tech.building_2,{building_name} dan {building_name_2}
tech.building_resource,{building_name} dan {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: Peningkatan
tech.efficiency,{building_name}: Efisiensi
tech.soil,Pemupukan ladang yang efisien
tech.wood,Penebangan yang efisien
tech.survive,Perawatan tanaman
tech.pigfarm,Pemberian pakan babi yang tepat
tech.repair,{building_name}. Perbaikan hemat
tech.save.res,{building_name}. Penghematan sumber daya
tech.no.break,{building_name}. Bekerja tanpa kerusakan
tech.no.fire,{building_name}. Langkah keamanan kebakaran
tech.no.trauma,{building_name}. Langkah keamanan
tech.fast.building,Konstruksi cepat
tech.fast.build.less.wood,Kayu. Konstruksi hemat
tech.fast.build.less.iron,Besi. Konstruksi hemat
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Intimidasi pengembara
tech.loyalist_more,Dasar-dasar Kesetiaan
tech.preach_better,Khotbah Efektif
tech.slaves_happiness,Kebahagiaan Narapidana
tech.tanya_paper,Kertas Tanaya
tech.crevav_swede,Rutabaga yang Dipanggang
tech.drought_fight,Melawan Kekeringan
tech.longevity,Umur Panjang
tech.addiction_resist,Cara Mengatasi Kecanduan
tech.fanatic_pretend,Fanatisme Palsu
tech.marah_ale,Ale Makha
tech.right_nectar,Nektar yang Tepat
tech.fertilize_cost_less,Pupuk dengan Benar
tech.tree_more_wood,Pemotongan yang Benar
tech.better_meat,Memasak Daging
tech.flirt_art,Seni Menggoda
tech.voruns_moonshine,Moonshine Varn
tech.dialect,Kamus Bahasa {dialect_name}
tech.cutter,Pemenggal Kepala
tech.axe_mastery,Keahlian Kapak
tech.handfighter,Pertarungan Tangan Kosong
tech.tanya_shield,Perisai Tanaya
tech.bow_mastery,Penguasaan Senar Busur
tech.mace_stun,Pukulan Membuat Pingsan Gada
tech.heavy_armor_wear,Memakai Zirah
tech.polite_trade,Perdagangan Sopan
tech.sin_mind_reducer,Cara Tidak Khawatir tentang Dosa
tech.tome,Jilid {number}
tech.common_good,Kebaikan Bersama
tech.joy_of_education,Kebahagiaan Pencerahan
dialect.common,Bahasa Kekaisaran
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Tanda yang Dilengkapi
decor.bonfire,Api Unggun
decor.sign,Tanda
decor.sign_with_scull,Tanda Tengkorak
decor.stone,Batu
decor.pile_of_skulls,Tumpukan Tulang
decor.bush_1,Semak 1
decor.bush_2,Semak 2
decor.bush_3,Semak 3
decor.floor_remove,Hapus Jalan
decor.sub.statue,Patung-patung
decor.sub.torch,Pencahayaan
decor.sub.floor,Lantai
decor.sub.other,Lainnya
decor.sub.trees,Tanaman
decor.banner,Bendera
decor.statue,Patung
decor.floor_1,Batu Cerah
decor.floor_2,Batu Gelap
decor.floor_3,Kayu Cerah
decor.floor_4,Kayu Gelap
decor.stone_arch,Lengkungan Batu
decor.torch,Obor
decor.plant,Tanaman
decor.bag,Karung
decor.box,Krate
decor.barrel,Tong
restrictions.activity.beer,Konsumsi Alkohol
restrictions.activity.nectar,Konsumsi Nektar
restrictions.activity.dice,Permainan Dadu
restrictions.activity.weapon,Penggunaan Senjata
restrictions.activity.armor,Memakai Zirah
restrictions.eat.meat,Konsumsi Daging
actor.hint.slave.age,Usia: {age} tahun
actor.hint.slave.past,Masa Lalu:
actor.culture,Budaya: {culture}
actor.hint.slave.combat_skill,Keterampilan Tempur: {skill}
actor.hint.slave.traums,Cedera:
actor.hint.slave.will_to_be_free,Rindu akan Kebebasan
building.chancellery.need_charge,"Untuk memulai pekerjaan di Kanselari, Anda perlu menyediakan kertas"
building.chancellery.charging,Para pekerja sedang membawa kertas
building.chancellery.charged,"Kanselari sedang bekerja
Kertas akan bertahan selama {day} hari"
building.chacnellery.charge_abort,Batalkan pengisian kertas
building.chacnellery.charge,Isi dengan kertas
inspection.hint.today,Diinspeksi hari ini
inspection.hint.yesterday,Diinspeksi kemarin
inspection.hint.not,Belum diinspeksi
inspection.closest_time,Inspeksi akan mulai berakhir dalam {day} h {hour} j
inspection.time,{day} h {hour} j
inspection.remain_hours,{hour} j
actor.loyalty.log,Perubahan Kesetiaan
menu.peoples.advice,Petunjuk:
menu.sodliers.lack_of_equipment,Kekurangan peralatan:
menu.migration.terror,<hint=hint_migration>Migrasi</hint> <red>telah berhenti</red> sementara <hint=hint_terror_peasants>teror</hint> <red>merajalela</red> di kota.
menu.migration.one_village_burned,<hint=hint_migration>Migrasi</hint> <red>telah menurun</red> karena sebuah desa di provinsi telah dibakar. Desa tersebut akan dipulihkan dalam beberapa hari.
menu.migration.all_village_burned,<hint=hint_migration>Migrasi</hint> <red>telah terhenti</red> karena semua desa di provinsi telah dibakar. Desa-desa tersebut akan dipulihkan dalam beberapa hari.
menu.migration,$ Imigran <hint=hint_migration>yang diharapkan</hint> hari ini: {peasant_migrants_today}
menu.migration.increased,<green>Migrasi meningkat</green>. Efek ini akan bertahan selama {days} hari lagi.
menu.migration.decreased,<red>Migrasi menurun</red>. Efek ini akan bertahan selama {days} hari lagi.
actor.hint.no_sins,Tidak Ada Dosa
social_strata.dummy,Petani
social_strata.slaves,Narapidana
social_strata.soldiers,Prajurit
social_strata.lords,Para lord
social_strata.animal,Hewan
building.social_availability,TERSEDIA UNTUK
building.market_good_not_sell,JANGAN DIJUAL
menu.trade.slave_final_cost,Harga Akhir
menu.trade.slave_base_cost,Harga Dasar
menu.trade.slave_fertility_cost,Kesuburan
menu.trade.slave_free_mind_cost,Tidak Merindukan Orang Tersayang
menu.trade.slave_combat_cost,Keterampilan Tempur
menu.trade.slave_age_cost,Usia
menu.trade.slave_disability_cost,Cacat
menu.trade.slave_slowdown_cost,Melambat
menu.trade.slave_faction_cost,Pengali
actor.matching.agree_to_sex,{lord_name} akan setuju untuk berkencan dengan lord ini
actor.part_of_nature.heir,Ahli Waris
actor.part_of_nature.commander,Komandan
actor.part_of_nature.queen,Pasangan Penguasa
actor.name.hired_bandits,Pembunuh Sewaan
actor.personality_trait_locked,Belum Diungkap. Naikkan level skill {skill_name} ke level 15 untuk membuka sifat ini.
king_role.strong_supporter,Pendukung Kekuasaan
king_role.trader,Materialis
king_role.religious,Religius
king_role.order_supporter,Pembela Ketertiban
king_role.suggestable,Mudah Terpengaruh
king_role.liberator,Pembebas
king_role.lick,Egaliter
king_role.intriguant,Pengintrik
king_role.scientist,Orang Bijak
menu.missing_equipment.no_problems,Tidak Ada Masalah
actor.deep_social.evil_joke,Ejeks
actor.deep_social.good_joke,Lelucon
actor.deep_social.deep_talk,Percakapan Hati ke Hati
actor.deep_social.abuse,Hinaan
actor.deep_social.slight,Abaikan
actor.deep_social.intrigue,Intrik
actor.deep_social.flattery,Sanjungan
actor.deep_social.sorry,Permintaan Maaf
actor.deep_social.rumors,Gosip
actor.inspection_queue,Antrian Inspeksi
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} penduduk di kota
knowledge.blocked_reason.knowledge_required,{knowledge_name} telah dibuka
knowledge.blocked_reason.building_required,"Bangunan ""{building_name}"" telah dibangun"
knowledge.blocked_reason.play_days,Kota telah ada selama {days} hari
knowledge.blocked_reason.no,Syarat telah terpenuhi.
ceremony.wedding,Pernikahan
ceremony.funeral,Pemakaman
ceremony.coronation,Penobatan
menu.choose_province.climate,Iklim:
menu.choose_province.safety,Keamanan:
menu.choose_province.forest,Hutan:
menu.choose_province.villages,Desa-desa:
menu.choose_province.resources,Sumber Daya:
menu.choose_province.moderate,Sedang
menu.choose_province.many,Banyak
menu.choose_province.high,Tinggi
menu.playtest.welcome_caption,Selamat Datang!
menu.demo.welcome,"Selamat Datang!

Demo ini mencakup pengalaman permainan lengkap, terbatas pada {demo_days_count} hari dalam permainan.

Banyak hal masih dalam proses, jadi kami minta maaf di muka atas kesalahan dan masalah yang mungkin Anda temui.

<right>Terima kasih,
Tim Long Jaunt</right>"
menu.demo.alpha,"<b>Akses Awal</b>

Banyak aspek permainan, seperti:

$ Beberapa bahasa
$ Kemungkinan bug
$ Optimalisasi
$ dll.

Masih dalam proses dan akan ditingkatkan."
menu.playtest.welcome,"Terima kasih telah menerima undangan kami untuk memainkan versi playtest Norland.

Permainan ini masih sesekali crash, ada kesalahan di dalamnya, dan kurang antarmuka yang diperbarui, tapi secara fungsional, ini adalah versi yang ingin kami rilis di Akses Awal.

Mohon luangkan 2 menit untuk <b>memberikan umpan balik</b> di akhir permainan (tombol di menu utama).

Versi ini memiliki batas {demo_days_count} hari permainan.

<right>Terima kasih,
Tim Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Beta Playtest
menu.story,"Norland, tahun 2898 sejak penciptaan dunia.

Dua ratus tahun telah berlalu sejak <b>Kekaisaran Crimson</b> yang agung binasa dalam kobaran perang agama. Mantan provinsinya telah menjadi kerajaan-kerajaan barbar, yang dicegah dari kehancuran satu sama lain hanya oleh <b>Gereja Ibu Sophia</b> yang mahakuasa.

Sementara para nabi suci berbicara tentang akhir dunia yang akan datang, di salah satu kerajaan kecil, mimpi tentang kelahiran kekaisaran baru sedang terbentuk..."
menu.new_game_story,"Setelah perjalanan panjang dan melelahkan, {soul_uuid_king} tiba di rumah dengan harapan melihat istrinya menunggu di pintu aula. Namun, alih-alih dia, saudaranya mendekatinya. Ekspresi di wajahnya tidak menjanjikan kabar baik.

""Tuanku, saya tidak membawa kabar gembira.""
""Apa yang terjadi, {soul_uuid_brother}? Jangan tunda, katakan yang sebenarnya.""
Tidak mampu menatap mata raja, {soul_uuid_brother} tergagap saat mulai berbicara:
""Begundal menyerang kami tadi malam. Kami mencoba membela diri, tapi mereka terlalu banyak. Mereka telah menculik istrimu dan sekarang mereka menuntut tebusan.""
""Lalu perintahkan utusan untuk mengirimkan apa pun yang mereka minta!""
""Tapi, tuanku, kita dikelilingi musuh. Meskipun kita berada di bawah perlindungan vasal untuk saat ini, Anda tahu bahwa waktu raja tua semakin menipis. Jika kita tidak memiliki cukup emas dan sumber daya, kita tidak akan mampu bertahan. Kita membutuhkan pasukan.""
""Jadi kau sarankan aku tinggalkan {soul_uuid_wife}?""
""Selama mereka memiliki harapan menerima tebusan, mereka tidak akan menyakitinya.""
""Aku butuh waktu untuk memikirkannya. Pergilah sekarang dan tunggu instruksiku."""
menu.new_game_story_header,Awal Cerita
menu.demo.finish.header,Akhir Cerita
menu.demo.finish,"Versi demo Norland berakhir di sini...

Anda dapat mencoba memainkan permainan dengan pengaturan awal yang lebih menantang atau skill lord yang berbeda.

Terima kasih telah bermain!"
menu.demo.finish.back_to_menu,Kembali ke Menu
menu.settings.change_resolution.apply.header,Mengubah Pengaturan
menu.settings.change_resolution.apply.body,"Pengaturan resolusi layar telah diubah.
Untuk menerapkan pengaturan ini, tekan '{accept_button_caption}', jika tidak, pengaturan akan dibatalkan secara otomatis dalam {time_remain_seconds} detik."
menu.hack_detected.header,Modifikasi File Simpan Terdeteksi
menu.hack_detected,"Kami tidak dapat menjamin fungsi permainan yang tepat setelah modifikasi pihak ketiga pada file simpan.

Laporan bug dikirimkan kepada kami, tapi kami tidak dapat menentukan dengan pasti apakah kesalahan terjadi karena bug permainan atau karena campur tangan pihak ketiga pada file.

Hal ini memaksa kami menghabiskan waktu mencari kesalahan yang tidak ada alih-alih memperbaiki yang ada, yang berdampak negatif pada kualitas permainan.

Oleh karena itu, kami terpaksa melarang modifikasi file simpan hingga permainan dirilis."
resource.not_available.by_synod,Tingkatkan <hint=hint_relations_matriarch>hubungan Anda dengan Matriark</hint> menjadi {number} agar Holy Caravan mulai menjual produk ini kepada Anda.
text.preposition,atau
menu.ambition.screen_title,Ambisi Raja
menu.ambition.text,Raja memutuskan bahwa sudah waktunya mengumumkan ambisi yang akan menentukan masa depan keluarga bangsawan Anda.
ambition.conquer,Menaklukkan
ambition.allias,Membentuk aliansi
ambition.populate_city,Menasal kota
ambition.gain_population,Meningkatkan populasi
ambition.produce_goods,Menghasilkan sumber daya
menu.ambition.complete_title,Ambisi Tercapai!
menu.ambition.complete,"Raja Anda telah mencapai tujuannya dan kini menikmati pengakuan serta rasa hormat universal.

Namun, ambisi raja tak mengenal batas, dan segera ambisi baru akan menduduki pikirannya..."
ambtion.button.ok,Terima
ambition.checkbox.conquer,<b>Penakluk.</b> Kekuasaan membawa kemakmuran bagi dinasti. Tambahkan <b>{vas_num} vassal</b> ke Kerajaan Anda.
ambition.checkbox.allias,<b>Pemersatu.</b> Hanya dengan saling membantu kita bisa teguh berdiri. Perluas aliansi kota bebas Anda menjadi <b>{all_num} provinsi</b>.
ambition.checkbox.populate_city,Ini tentang penasal kota.
ambition.checkbox.gain_population,"<b>Subur.</b> Semakin banyak populasi, semakin besar kekuatan. Tingkatkan populasi provinsi sebanyak <b>{pop_num} orang</b>."
ambition.checkbox.produce_goods,<b>Ekonomi.</b> Ekonomi menentukan segalanya. Capailah <b>produksi harian</b> barang senilai <b><hint=hint_resource_gold>{prod_num}</hint></b>. (sekarang <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Pertempuran Otomatis
menu.battle.retreat,"Pasukan Anda akan mundur dari pertempuran - ini akan dianggap kekalahan dan akan sangat memukul suasana hati para prajurit, tapi mereka akan selamatkan nyawa mereka."
menu.battle.manually_battle,Pertempuran di Peta
ambition.title.conquer,Pedang Tajam
ambition.title.allias,Tangan Besi
ambition.title.gain_population,Sarah Besar
ambition.title.produce_goods,Buku Lumbung
ambition.resume,Lanjutkan Ambisi Sebelumnya
menu.resource_statistics.legend.title,Arti Statistik
menu.resource_statistics.legend.in_store,Berapa jumlah sumber daya di gudang kota
menu.resource_statistics.legend.production,Berapa banyak sumber daya yang diproduksi dalam sehari kerja
menu.resource_statistics.legend.used,"Berapa banyak sumber daya yang digunakan untuk memproduksi sumber daya lain dan membangun bangunan, dan dalam kasus makanan dan alkohol, berapa banyak yang dikonsumsi oleh para lord dan budak"
menu.resource_statistics.legend.in_use,Berapa banyak sumber daya yang tersisa di gudang bangunan produksi dan di inventori para prajurit
menu.resource_statistics.legend.in_local_market,"Berapa banyak yang terjual hari ini di pasar lokal, kedai, dan sarang obat"
menu.resource_statistics.legend.caravan,Hasil perdagangan dengan Holy Caravan
menu.resource_statistics.header.in_store,Di Toko
menu.resource_statistics.header.production,Produksi
menu.resource_statistics.header.used,Digunakan
menu.resource_statistics.header.in_use,Di gudang bangunan dan prajurit
menu.resource_statistics.header.in_local_market,Pasar Lokal
menu.resource_statistics.header.caravan,Perdagangan dengan Holy Caravan
menu.resource_statistics.no_data,Statistik akan muncul besok
study.complex,Pelatihan Umum
soul.tab.logs,SEJARAH
tech.war_logistic,Logistik Militer Vol. {vol}
tech.prisoners,Tawan
building.menu.lvl,Tingkat. {lvl}
building.menu.resources,PENYIMPANAN BANGUNAN
building.menu.workers_road_time,WAKTU PERJALANAN PEKERJA
building.menu.to_workplace,Ke Tempat Kerja:
building.menu.to_warehouse,Ke Gudang:
building.menu.priority,Prioritas
building.menu.produced,DIPRODUKSI
building.menu.workers_bonus,Bonus Pekerja:
building.menu.manager_bonus,Bonus Manajer:
building.menu.workers,PEKERJA
building.menu.instructions,INSTRUKSI
building.menu.set_inspector,Tunjuk Manajer
"building.menu,inspection_bonus",Bonus:
building.menu.builld_first,Bangun Ini Dulu
building.menu.upgrade,Tingkatkan
building.menu.ship_now,"Kirim Barang
yang Diproduksi Sekarang"
options_menu.audio.voice_volume,VOLUME SUARA
building.prefer.noone,Tidak Ada Prioritas
building.prefer.nectar,Pecandu Nektar
building.prefer.slaves,Narapidana
building.prefer.loyalist,Loyalis
building.prefer.culture,{culture}
building.prefer.all,Otomatis
display_event.communication_lost,{faction_name}: Komunikasi Terputus
building.menu.terror_all,Semua {count}
building.menu.terror_no,Tidak
building.menu.terror_culture,{culture} {count}
building.menu.execution,PEKKAJIAN
building.menu.terror,Teror
building.menu.daily_statistic,STATISTIK HARIAN
building.menu.intimidations,Intimidasi
building.menu.path_calculation,Menghitung
building.menu.path_cant_find,Tidak Ditemukan
time.hour_minut,{hour}j {minut}m
time.minut,{minut}m
actor.social_strata.dummy,Rakyat Biasa
notification.sex_treason_with_dummy,{name_initiator} berselingkuh dengan pasangannya bersama rakyat biasa
building.menu.building_resources,SUMBER DAYA BANGUNAN
chancellery.inspection_bonus,Bonus produksi dari inspeksi setara dengan tingkat skill Manajemen lord yang bertanggung jawab atas Chancellery: {bonus}%.
menu.army.new_army.warriors_count,{warriors_count} Prajurit
menu.army.new_army.weapons_count,{weapons_count} Senjata
tech.poisoner,Rahasia Racun
menu.building.church.morning_service_stat,STATISTIK KHUTBAH TERAKHIR
menu.building.church.gathering_time,Waktu Pengumpulan:
menu.building.church.congregation,Jemaah:
menu.building.church.sermons,KHUTBAH
menu.buidling.church.fanatics,Fanatik: +{count}
menu.buidling.church.agnostics,Agnotik: +{count}
building.menu.workplace.clerks,PELAKU
building.menu.refill_auto,Isi Ulang Otomatis
building.menu.inspections_delivered,Instruksi yang Disampaikan: {count}
building.menu.living.residents,PENDUDUK ({current} / {max})
building.menu.sold_today,TERJUAL HARI INI
building.menu.guards,PENJAGA
family.son_of,Putra dari
family.daughter_of,Putri dari
display_event.mountains_bandits_prepare_to_attack,Begal sedang mempersiapkan serangan ke kota Anda
actor.mood,Suasana Hati
building.description.library,Di sini para lord bekerja dengan pengetahuan
building.description.decor,Indah dipandang
building.description.altar,Tempat upacara dan pembakaran
building.menu.crimes_prevented,Kejahatan Dicegah
norland.plot_day_4_header,Kekaisaran Baru
norland.plot_day_4_body,"Peradaban menghilang secara bertahap. Proses itu bisa berlangsung selama berabad-abad dan warga biasa tidak menyadari apa-apa hingga akhir. Namun seorang penguasa yang berpengetahuan tentang sejarah harus memahami bahwa hanya dengan menyatukan kerajaan-kerajaan yang bertikai, ia dapat mencegah datangnya zaman kegelapan.

Norland kini berada di persimpangan jalan. Pihak Gereja sudah lama tidak mampu mengatasi berbagai tantangan yang dihadapi rakyatnya. Perang yang sering, kelaparan, dan penyakit telah menjadi hal biasa. Teknologi dan pengetahuan belum hilang, tapi jika tidak ada yang dilakukan, mereka akan segera lenyap, dan bersamanya, peradaban pun akan sirna.

Masih ada harapan, tapi untuk itu, Anda harus:

$ Satukan <b>{goal_number}</b> provinsi Norland di bawah kendali Anda - entah sebagai raja negara bawahan atau sebagai pemimpin aliansi kota-kota bebas.
$ Nyatakan diri Anda sebagai Kaisar baru dan tantang Inkuisisi Pihak Gereja."
norland.plot.end_game_header,Kekaisaran Baru: Pertempuran Akhir
norland.plot.end_game,"""Peta Norland terbentang di hadapanku. Di atasnya - {goal_number} raja-raja yang taat padaku dan menghormatiku. Saatnya merebut mahkota kekaisaran dan menantang Gereja Ibu Sophia. Ketika Inkuisisi mematahkan giginya pada pasukanku, seluruh dunia akan mengakui aku sebagai Kaisar, dan Batu Iman akan jatuh di kakiku. Jadi, ujian akhir menanti.

$ Ketika Anda siap, nyatakan diri Anda sebagai kaisar kekaisaran baru (tindakan raja).
$ Kalahkan Inkuisisi Suci di medan perang untuk mengamankan gelar dan memenangkan permainan."""
ambitions.province_under_control,"<b>Kekaisaran Baru</b>

Satukan <b>{goal_number}</b> provinsi Norland - entah sebagai raja kerajaan bawahan atau sebagai pemimpin aliansi negara-negara bebas.

Provinsi di bawah kendali: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,Raja {king_name} dari {faction_name} meminta bantuan melawan {danger_faction_name}
display_event.global_map_ai_declare_peace,Raja {king_name} dari {faction_name} mengusulkan perjanjian damai
display_event.global_map_ai_invite_to_alliance,Raja {king_name} dari {faction_name} menawarkan bergabung dalam aliansi
main_menu.continue_without_tutorial,Mulai tanpa tutorial
display_event.build_library,Bangun perpustakaan
main_menu.warning,Peringatan!
display_event.retrieve_bishop,Uskup meninggalkan provinsi
display_event.holy_family_below_zero,Anda telah kehilangan ampunan Matriark!
resource.product_requirement.technology,Pelajari teknologi <b>{technology}</b>
resource.product_requirement.building,Bangun bangunan <b>{building}</b>
main_menu.continue_start_tutorial,Mulai dengan tutorial
main_menu.new_game.family.members.default,Dua bersaudara dan seorang istri
actor.faction_from,dari {town}
new_game.province_difficulty.easy,Mudah
new_game.province_difficulty.normal,Normal
new_game.province_difficulty.hard,Sulit
new_game.province_difficulty.recommended,Direkomendasikan untuk pemain pemula
display_event.loan_will_be_expired_soon,Harus membayar kembali {faction_name} segera
main_menu.new_game.family.recommended_for_newbs,Pengaturan skill yang direkomendasikan untuk permainan seimbang
new_game.province_difficulty.header,Kesulitan:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Hubungan tetangga tidak akan memburuk</green>.
building.menu.terror_fanatics,Fanatik {count}
global_map.relation_aftermath,$ Hubungan dengan tetangga: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Hubungan dengan {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Konsekuensi</b>:
tech.kaiden_army,Tentara Jawa
tech.makha_trade,Perdagangan Dayak
tech.makha_fanatic_terror,Teror Fanatik
tech.econom_writing,Penulisan yang Hemat Biaya
tech.faith_defender,Pertahanan Iman
tech.kaiden_training,Pelatihan Jawa
tech.kaiden_loyalist,Loyalis Abadi
tech.makha_secret_deals,Kesepakatan Rahasia
display_event.holy_protection_will_removed_soon,Perlindungan Keluarga Penuh Kasih akan segera dicabut!
display_event.holy_protection_was_removed,Perlindungan Keluarga Penuh Kasih telah dicabut!
display_event.holy_protection,Perlindungan Keluarga Penuh Kasih
display_event.swede_typh_allowed,Tifus Rutabaga
tutorial_events.disabled,Dinonaktifkan
tutorial_events.articles_only,Artikel saja
tutorial_events.articles_and_advices,Artikel dan Saran
soul.from_faction,{soul_uuid} dari {faction_uuid}
gui.living_place.appoint.header,Penduduk
actor.loyalty_2,Kesetiaan
actor.important_persons,ORANG PENTING
encyclopedia.popup_window.okay,Mengerti
encyclopedia.popup_window.read_full,Lanjut
actor.opinion.interest_simple,Minat
free_lord.first_hire,{first_hire_discount}% diskon pada perekrutan pertama
menu.knowledge.longer_time,"Karena skill belajar yang rendah, butuh waktu lebih lama untuk belajar!

Tingkat pengetahuan {tech_level}
Tingkat lord {lord_level}"
menu.knowledge.write_time,Menulis buku akan memakan waktu <b>{learn_time}j</b>
menu.knowledge.learn_time,$ Mempelajari buku ini akan memakan waktu <b>{learn_time}j</b>
building.patrol_sign_day,Patroli Siang
tech.slaves_contain,Menjaga narapidana
time.days,{days}h
actor.action_task.spent_time_diplomacy,Kunjungan Utusan
display_event.culture_approve,{culture} menyetujui tindakan raja
menu.trade.less_tax_for_amy,"*Berkat pengetahuan Pertahanan Iman, pajak dikurangi sebesar {discount}%"
menu.army.tax_for_soldier,"<b>Saat merekrut prajurit ini</b>
$ Berdasarkan Keterampilan Tempurnya, <hint=hint_tutorial_church_tax>pajak Gereja terhadap pasukan Anda</hint> akan meningkat sebesar <hint=hint_resource_gold>{soldier_tax}</hint>. Total pajak sekarang <hint=hint_resource_gold>{overal_tax}</hint> per hari."
options_menu.game.camera_speed,KECEPATAN KAMERA
actor.action_task.wise_talk,Percakapan Bijak
display_event.senility_begin,{name}: jatuh ke dalam demensia senil!
display_event.character_loss_skill_trait,"{name}: akibat degradasi skill {skill_name}, bakat {trait_name} telah hilang"
display_event.character_loss_knowledge,{name}: akibat penuaan lupa {knowledge}
knowledge.unavailable_knowledge,Pengetahuan Tidak Tersedia
building.menu.mine_resources,CADANGAN
building.menu.mine_mined,Besi yang ditambang: {mined} / {limit}
display_event.mine.limit_reached,Cadangan tambang telah habis
display_event.mine.limit_soon,Tambang sedang menipis
display_event.fetility_loss_from_tree,Kesuburan tanah telah menurun
statistics_menu.province.resources,Sumber daya provinsi
statistics_menu.province.trees_cuted,Hutan yang ditebang:
statistics_menu.province.ground_fertility,Kesuburan tanah:
statistics_menu.province.iron_mines,Endapan besi
statistics_menu.province.no_mine,Tambang belum dibangun:
trade_agreements.header,Perjanjian Perdagangan
trade_agreements.today_balance,Perdagangan Hari Ini:
trade_agreements.auto_trade,Perdagangan Otomatis
trade_agreements.no_trade_agreements,Anda tidak memiliki kontrak perdagangan aktif
statistics_menu.province.mine_n,Tambang {n}:
statistics_menu.province.not_builded,Belum dibangun
knowledge.category.economic,Ekonomi
knowledge.category.textbooks,Buku Teks
knowledge.category.cultural_knowledge,Pengetahuan Budaya
display_event.character_loss_skill,{name}: skill {skill_name} telah menurun ke tingkat {level} akibat penuaan
menu.tools.hint.trade_agreements,Perdagangan
display_event.trade_agreements_result,Laporan Perdagangan Luar Negeri
menu.trade.market_saturation.header,Kejenuhan Pasar
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Kejenuhan Pasar</hint> dengan Produk:
menu.trade.market_saturation.price,Dampak kejenuhan terhadap harga:
